model,weighted_expenditure_gap,max_marshallian_homogeneity_gap,max_hicksian_adding_up_gap
aids,9.692763924817882e-09,7.000000024071085e-08,5.2999999999858716e-08
quaids,1.1454108550523756e-08,6.099999994013672e-08,6.50000000490536e-08
sy_aids,1.2988652930978617e-08,3.799999999110071e-07,1.0000000028043132e-07
sy_quaids,1.0616220569303891e-08,1.1499999996722465e-07,7.200000001761353e-08
