parameter,estimate,std_error,z_value,p_value,ci_low,ci_high,significance
a1,.2510900068834304,.050829403,4.9398575,7.8179710e-07,.15146621,.35071382,***
a2,.1743038821832043,.038974438,4.4722619,7.7396580e-06,.097915389,.25069237,***
a3,.1690242076380508,.04336679,3.8975494,.000097170967,.084026866,.25402156,***
a4,.0735830116663447,.023708418,3.1036661,.0019113895,.027115365,.12005065,***
b1,.0007852896332428,.016470144,.047679584,.96197158,-.031495601,.03306618,
b2,-.0030227092638683,.010503165,-.2877903,.77350724,-.023608536,.017563118,
b3,.0138181872277265,.01186335,1.1647795,.24410824,-.0094335517,.037069924,
b4,-.0311468956461687,.0091525391,-3.4030881,.00066628814,-.049085543,-.013208249,***
g11,-.0221694298409922,.022909859,-.96768075,.33320382,-.06707193,.022733068,
g12,.0271803349299087,.022906285,1.1865885,.23538995,-.017715156,.072075829,
g13,-.0033295632582558,.010396778,-.32024953,.74877918,-.023706874,.017047746,
g14,-.0245088851839666,.012890767,-1.9012743,.05726609,-.049774326,.00075655477,*
g22,-.028171843788252,.012336494,-2.2836182,.022393975,-.052350927,-.0039927592,**
g23,-.0109232532240516,.013641361,-.80074507,.42327923,-.037659831,.015813325,
g24,.0033982342681351,.0077209198,.44013333,.65984052,-.011734491,.018530959,
g33,-.1192904280509273,.058374248,-2.0435455,.04099847,-.23370185,-.0048790057,**
g34,.0153748048009618,.015012627,1.0241249,.3057763,-.014049403,.044799011,
g44,-.0031887300644481,.012879542,-.24758101,.80445862,-.02843217,.022054709,
