model,product,reference_share,share_in_unit_interval
aids,corn,0.2510900068834304,1
aids,sorghum,0.1743038821832043,1
aids,cassava,0.1690242076380508,1
aids,oats,0.0735830116663447,1
aids,barley,0.3319988916289698,1
quaids,corn,0.2288570806053673,1
quaids,sorghum,0.1852031204838805,1
quaids,cassava,0.1737836077110776,1
quaids,oats,0.0613741306451218,1
quaids,barley,0.3507820605545527,1
sy_aids,corn,0.3889595630780625,1
sy_aids,sorghum,0.1096955207987808,1
sy_aids,cassava,0.030919667342554,1
sy_aids,oats,0.5087085577856151,1
sy_aids,barley,-0.0382833090050123,0
sy_quaids,corn,0.1148073106881472,1
sy_quaids,sorghum,0.2541168063280625,1
sy_quaids,cassava,0.2388209891326515,1
sy_quaids,oats,0.1899122252711831,1
sy_quaids,barley,0.2023426685799558,1
