construction,depth,commodity,year,kg_per_capita,note
annual_growth_path_linear,0.0,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2024,6.66848,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2024,6.65957,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2024,6.66848,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2025,6.75625,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2025,6.75389,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2025,6.75625,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2026,6.8478,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2026,6.84955,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2026,6.8478,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2027,6.94312,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2027,6.94656,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2027,6.94312,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2028,7.04096,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2028,7.04494,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2028,7.04096,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2029,7.14204,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2029,7.14472,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2029,7.14204,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2030,7.24662,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2030,7.24591,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2030,7.24662,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2031,7.35399,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2031,7.34853,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2031,7.35399,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2032,7.46314,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2032,7.45261,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2032,7.46314,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2033,7.57607,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2033,7.55816,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2033,7.57607,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2034,7.69236,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2034,7.66521,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2034,7.69236,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2035,7.81076,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2035,7.77377,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2035,7.81076,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2036,7.92912,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2036,7.88387,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2036,7.92912,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2037,8.04412,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2037,7.99553,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2037,8.04412,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2038,8.15845,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2038,8.10877,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2038,8.15845,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2039,8.27352,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2039,8.22362,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2039,8.27352,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2040,8.38843,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2040,8.34009,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2040,8.38843,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2041,8.50351,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2041,8.45821,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2041,8.50351,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2042,8.61831,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2042,8.578,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2042,8.61831,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2043,8.73372,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2043,8.69949,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2043,8.73372,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2044,8.85127,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2044,8.8227,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2044,8.85127,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2045,8.96945,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2045,8.94766,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2045,8.96945,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2046,9.09017,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2046,9.07438,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2046,9.09017,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2047,9.21279,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2047,9.2029,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2047,9.21279,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2048,9.33909,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2048,9.33324,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2048,9.33909,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2049,9.46777,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2049,9.46543,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2049,9.46777,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.0,CATM,2050,9.59949,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.0,CATM,2050,9.59949,Target-path diagnostic; model not solved here.
log_level_path,0.0,CATM,2050,9.59949,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2024,6.59256,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2024,6.60679,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2024,6.59123,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2025,6.60766,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2025,6.64725,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2025,6.60249,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2026,6.62659,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2026,6.68796,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2026,6.61499,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2027,6.64933,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2027,6.72891,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2027,6.62859,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2028,6.67484,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2028,6.77012,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2028,6.64222,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2029,6.70368,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2029,6.81159,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2029,6.65634,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2030,6.73606,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2030,6.8533,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2030,6.67104,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2031,6.77138,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2031,6.89527,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2031,6.68567,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2032,6.80885,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2032,6.9375,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2032,6.69941,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2033,6.85003,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2033,6.97999,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2033,6.71362,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2034,6.89458,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2034,7.02273,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2034,6.72788,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2035,6.94151,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2035,7.06574,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2035,6.74118,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2036,6.98913,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2036,7.10901,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2036,6.75198,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2037,7.03488,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2037,7.15255,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2037,6.758,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2038,7.08086,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2038,7.19636,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2038,6.7611,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2039,7.12817,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2039,7.24043,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2039,6.76217,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2040,7.17611,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2040,7.28477,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2040,6.7606,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2041,7.22493,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2041,7.32938,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2041,6.75652,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2042,7.27429,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2042,7.37427,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2042,6.7496,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2043,7.32487,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2043,7.41943,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2043,6.74033,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2044,7.37783,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2044,7.46487,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2044,6.72954,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2045,7.432,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2045,7.51059,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2045,6.7162,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2046,7.48884,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2046,7.55658,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2046,6.70131,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2047,7.54785,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2047,7.60286,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2047,6.68432,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2048,7.61037,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2048,7.64942,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2048,6.66607,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2049,7.67539,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2049,7.69627,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2049,6.64561,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.25,CATM,2050,7.7434,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.25,CATM,2050,7.7434,Target-path diagnostic; model not solved here.
log_level_path,0.25,CATM,2050,6.62305,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2023,6.56657,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2024,6.51663,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2024,6.54007,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2024,6.51487,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2025,6.45906,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2025,6.51367,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2025,6.45222,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2026,6.40539,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2026,6.48738,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2026,6.39009,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2027,6.35553,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2027,6.4612,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2027,6.32831,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2028,6.30871,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2028,6.43512,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2028,6.26607,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2029,6.26532,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2029,6.40915,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2029,6.20368,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2030,6.2255,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2030,6.38328,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2030,6.14118,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2031,6.18877,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2031,6.35752,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2031,6.07809,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2032,6.15456,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2032,6.33186,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2032,6.01384,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2033,6.124,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2033,6.30631,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2033,5.94936,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2034,6.09681,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2034,6.28086,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2034,5.88433,Target-path diagnostic; model not solved here.
annual_growth_path_linear,0.5,CATM,2035,6.07226,Target-path diagnostic; model not solved here.
endpoint_level_linear,0.5,CATM,2035,6.25551,Target-path diagnostic; model not solved here.
log_level_path,0.5,CATM,2035,5.81807,Target-path diagnostic; model not solved here.
