obs_id,province,provincechn,year,population_10k,expenditure_nominal,exp_food_nominal,deflator_total_2015,monetary_deflator,m,covered_food_exp,nonfood_exp,covered_daily_kcal,covered_food_budget_share,total_cpi_yoy,food_cpi_yoy,nonfood_cpi_yoy_approx,total_price_index_2023,food_price_index_2023,nonfood_price_index_2023,nonfood_relative_price_index_2023,national_nonfood_price_index_2023,food_budget_share_all,x_grain,p_grain_model,x_oil,p_oil_model,x_vegfruit,p_vegfruit_model,x_pork,p_pork_model,x_meatother,p_meatother_model,x_dairyegg,p_dairyegg_model,x_nonfood,p_nonfood_model
11_2015,11.0,北京,2015,2188,33802.7684,7584.2,100.0,0.8782835782156846,38487.30551090741,2602.514393396893,35884.79111751052,1243.678248221881,0.06762007261483485,101.8,101.8,101.8,87.82835782156846,82.4844498132478,89.38942760315621,101.77740973451787,89.40141690138984,0.22436623859482466,0.27928291419322815,952.492628970482,0.1325254555849315,6189.55093593473,0.05847404245978083,11473.723595937738,0.07153634571731508,3304.870252080553,0.03473977016467123,12414.868094046691,0.045280595991013695,3922.285227397536,401.4433482762729,89.38942760315621
11_2016,11.0,北京,2016,2195,34926.77449414173,7503.451563615795,101.4,0.8905795483107042,39218.02893452088,2162.823824116737,37055.205110404146,1140.2831664411156,0.05514871305051628,101.4,103.3,100.88013017944662,89.05795483107042,85.20643665708498,90.17617093272617,101.25560496395502,90.65303673800929,0.21483379648682843,0.257820426562503,911.1511033171773,0.11956476897123287,5695.686536840867,0.05455606020453424,8727.856728181494,0.06598099315824658,3669.684200013934,0.03269425902826027,11579.839888954426,0.039525075295780816,3795.71302307327,410.9201436158597,90.17617093272617
11_2017,11.0,北京,2017,2194,36220.42951993351,7305.8597933268475,103.3266,0.9075005597286077,39912.29441309149,1978.9444033147965,37933.350009776696,1046.6663579564986,0.04958232625848966,101.9,99.4,102.53167633674003,90.75005597286076,84.69519803714248,92.45913971360824,101.88328670701712,92.7380565829835,0.20170549853104722,0.23266685748709856,927.8872298287143,0.10227710818356164,5543.935868897587,0.053832028791054795,9346.568366768566,0.06376801697580824,3147.1397567026142,0.03166907502028767,11427.318233333835,0.039120092520438354,3331.1238078959123,410.2715007653659,92.45913971360824
11_2018,11.0,北京,2018,2192,37623.70452010451,7615.783204557327,105.897835,0.9301880737218228,40447.41658487019,2082.560905688558,38364.85567918163,1190.6335817790089,0.051488106819350316,102.5,102.9,102.39848302887128,93.01880737218228,87.15135878021962,94.67675648827952,101.78238053457677,94.77829382780914,0.20241981223533626,0.28270336221454545,879.4997542140694,0.08888179909315069,5440.327658401072,0.06259543929219177,9275.71025497311,0.08198711577764385,2686.130838980439,0.032751109211369867,11579.307718573196,0.046397965300602736,3670.3507823580994,405.21937064807446,94.67675648827952
11_2019,11.0,北京,2019,2190,39727.32772669886,7835.527241230617,108.33349,0.9515823994174246,41748.69958820237,2327.756317162467,39420.943271039905,1221.4405886009642,0.055756379003964476,102.3,106.2,101.34180523596578,95.15823994174247,92.55474302459325,95.94713416408183,100.82903406244415,96.10518994139846,0.19723267809842465,0.2990679260443452,832.251557304981,0.08458353453698629,4942.802433042951,0.06964763426446574,11611.676427500845,0.0734307940511507,3763.6311465252966,0.03563571098676713,11537.902259916926,0.048354694416767124,3402.426686774663,410.861081099359,95.94713416408183
11_2020,11.0,北京,2020,2189,35310.138455570355,7600.533851196582,110.175156,0.967759300207521,36486.48837370888,2305.6927914412568,34180.79558226762,1325.5442029271433,0.06319305842276322,101.7,106.1,100.49311345568654,96.7759300207521,98.20058234909344,96.42026239299054,99.63248337919843,96.48961070116405,0.21525075187003576,0.3296421438348593,784.1354173872052,0.09269882345342464,4571.168590822027,0.07043756775884932,8273.924973478881,0.07711796269430138,5364.40194662875,0.0392419875829589,12283.614999793828,0.05363361613917808,2702.5288281914004,354.4980560512607,96.42026239299054
11_2021,11.0,北京,2021,2189,39178.689356404444,8355.187680208837,111.387085,0.9784046525098036,40043.44138787901,2208.488471119797,37834.95291675921,1351.975188136109,0.055152314450882776,101.1,99.0,101.66923753546108,97.84046525098036,97.2185765256025,98.0297456046444,100.19345814963012,97.84046525098036,0.21325847846012835,0.33796887899956124,802.3101852856556,0.08498342465753424,5223.899098782642,0.06739924657534246,7347.770117225862,0.09318982191780824,3523.435038217715,0.04028374520547945,12864.571756362982,0.052162476712328765,2905.7703312972867,385.95380089374305,98.0297456046444
11_2022,11.0,北京,2022,2184,37641.96816381714,8133.903445599379,113.39205,0.9960159362549801,37792.536036472404,1896.1077684955226,35896.42826797688,1190.337225247285,0.050171488006670095,101.8,103.9,101.22113461526966,99.60159362549801,101.01010101010101,99.22682076148351,99.62372804452943,99.60159362549801,0.21608602956680648,0.29045760454528635,800.2778869169978,0.07438381159315068,5058.407794032156,0.05874473892142465,7540.367240505511,0.08833436521964386,2851.2572557112735,0.03672699116046575,12466.697650638795,0.046521101183671226,2895.720773140035,361.76134630235634,99.22682076148351
11_2023,11.0,北京,2023,2186,41799.109015962975,8908.694801891948,113.84562,1.0,41799.109015962975,1964.07948790253,39835.02952806045,1200.5742352605328,0.04698854913755346,100.4,99.0,100.77920388115128,100.0,100.0,100.0,100.0,100.0,0.21313121288039275,0.28137973277819794,832.5932501877371,0.07752926983561644,5516.518798605855,0.0625574987029863,7132.452277843986,0.0917772657090411,2532.376701962099,0.03950706376858904,12340.483134409262,0.04753628683583561,2860.41924000051,398.3502952806045,100.0
12_2015,12.0,天津,2015,1439,24162.4592,7709.899999999999,100.0,0.8662841861891512,27892.070044926553,2727.5462217170775,25164.523823209474,1507.152601244341,0.09778930776108553,101.7,101.7,101.70000000000002,86.62841861891512,80.63145603231898,89.35863229395531,103.15163744019225,89.40141690138984,0.3190858983426653,0.3916584675059102,1018.9491232795402,0.135591645230137,5781.40814318676,0.06437066645275343,10694.97964012559,0.07950842770783562,3665.7348264391735,0.03869395884849315,10791.602935828834,0.04375313487704109,3361.7227353625044,281.61267890076846,89.35863229395531
