obs_id,province,provincechn,year,population_10k,group,group_label,x,p,m
11_2015,11,北京,2015,2188,grain,Staples,0.27928291419322815,952.492628970482,38487.30551090741
11_2015,11,北京,2015,2188,oil,Oils and fats,0.1325254555849315,6189.55093593473,38487.30551090741
11_2015,11,北京,2015,2188,vegfruit,Vegetables and fruits,0.05847404245978083,11473.723595937738,38487.30551090741
11_2015,11,北京,2015,2188,pork,Pork,0.07153634571731508,3304.870252080553,38487.30551090741
11_2015,11,北京,2015,2188,meatother,Non-pork meat/aquatic,0.03473977016467123,12414.868094046691,38487.30551090741
11_2015,11,北京,2015,2188,dairyegg,Dairy and eggs,0.045280595991013695,3922.285227397536,38487.30551090741
11_2015,11,北京,2015,2188,nonfood,Other/non-covered residual,401.4433482762729,89.38942760315621,38487.30551090741
11_2016,11,北京,2016,2195,grain,Staples,0.257820426562503,911.1511033171773,39218.02893452088
11_2016,11,北京,2016,2195,oil,Oils and fats,0.11956476897123287,5695.686536840867,39218.02893452088
11_2016,11,北京,2016,2195,vegfruit,Vegetables and fruits,0.05455606020453424,8727.856728181494,39218.02893452088
11_2016,11,北京,2016,2195,pork,Pork,0.06598099315824658,3669.684200013934,39218.02893452088
11_2016,11,北京,2016,2195,meatother,Non-pork meat/aquatic,0.03269425902826027,11579.839888954426,39218.02893452088
11_2016,11,北京,2016,2195,dairyegg,Dairy and eggs,0.039525075295780816,3795.71302307327,39218.02893452088
11_2016,11,北京,2016,2195,nonfood,Other/non-covered residual,410.9201436158597,90.17617093272617,39218.02893452088
11_2017,11,北京,2017,2194,grain,Staples,0.23266685748709856,927.8872298287143,39912.29441309149
11_2017,11,北京,2017,2194,oil,Oils and fats,0.10227710818356164,5543.935868897587,39912.29441309149
11_2017,11,北京,2017,2194,vegfruit,Vegetables and fruits,0.053832028791054795,9346.568366768566,39912.29441309149
11_2017,11,北京,2017,2194,pork,Pork,0.06376801697580824,3147.1397567026142,39912.29441309149
11_2017,11,北京,2017,2194,meatother,Non-pork meat/aquatic,0.03166907502028767,11427.318233333835,39912.29441309149
11_2017,11,北京,2017,2194,dairyegg,Dairy and eggs,0.039120092520438354,3331.1238078959123,39912.29441309149
11_2017,11,北京,2017,2194,nonfood,Other/non-covered residual,410.2715007653659,92.45913971360824,39912.29441309149
11_2018,11,北京,2018,2192,grain,Staples,0.28270336221454545,879.4997542140694,40447.41658487019
11_2018,11,北京,2018,2192,oil,Oils and fats,0.08888179909315069,5440.327658401072,40447.41658487019
11_2018,11,北京,2018,2192,vegfruit,Vegetables and fruits,0.06259543929219177,9275.71025497311,40447.41658487019
11_2018,11,北京,2018,2192,pork,Pork,0.08198711577764385,2686.130838980439,40447.41658487019
11_2018,11,北京,2018,2192,meatother,Non-pork meat/aquatic,0.032751109211369867,11579.307718573196,40447.41658487019
11_2018,11,北京,2018,2192,dairyegg,Dairy and eggs,0.046397965300602736,3670.3507823580994,40447.41658487019
11_2018,11,北京,2018,2192,nonfood,Other/non-covered residual,405.21937064807446,94.67675648827952,40447.41658487019
11_2019,11,北京,2019,2190,grain,Staples,0.2990679260443452,832.251557304981,41748.69958820237
11_2019,11,北京,2019,2190,oil,Oils and fats,0.08458353453698629,4942.802433042951,41748.69958820237
