scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,pgdp_index_2023_100,model_m_real_2023_yuan_per_person,m_support_flag,u,group,group_label_cn,xhat_2000kcal_units_per_day,kcal_per_cap_day,kg_per_cap_year,protein_g_per_cap_day,fat_g_per_cap_day,carb_g_per_cap_day
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14449.447478653716,in_support,0.2899772534314118,grain,主粮,0.4883659254681703,976.7318509363406,158.80579113623543,29.624881599068363,6.546039529581926,199.82949219345747
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14449.447478653716,in_support,0.2899772534314118,oil,食用油,0.13951637030819244,279.0327406163849,11.327655469356078,0.0,31.00363784626499,0.0
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14449.447478653716,in_support,0.2899772534314118,vegfruit,蔬菜水果,0.04289850090333045,85.7970018066609,126.84418779877103,3.579252524759944,0.5231919675613861,19.994285246918295
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14449.447478653716,in_support,0.2899772534314118,meatsea,肉类水产,0.1637908153021696,327.5816306043392,51.21623912468233,18.82093740786024,26.99412185713468,2.3376960646715252
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14449.447478653716,in_support,0.2899772534314118,dairyegg,奶类蛋类,0.027204807095732017,54.40961419146404,20.4260327498031,4.5048351875810395,3.2992354500396797,1.6742885976956932
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14449.447478653716,in_support,0.2899772534314118,all_food,覆盖食品合计,0.861776419077595,1723.5528381551896,368.61990627884796,56.529906719269576,68.36622665058266,223.83576210274296
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19160.544023797545,in_support,0.6858484594701673,grain,主粮,0.39936218539485613,798.7243707897122,129.86374456966402,24.225804546306126,5.353036556980958,163.41095589791476
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19160.544023797545,in_support,0.6858484594701673,oil,食用油,0.12309917584526953,246.19835169053906,9.994705635307168,0.0,27.355372410059896,0.0
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19160.544023797545,in_support,0.6858484594701673,vegfruit,蔬菜水果,0.05341734278388388,106.83468556776776,157.94676543730367,4.456896045296079,0.6514802168956794,24.8969443281984
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19160.544023797545,in_support,0.6858484594701673,meatsea,肉类水产,0.16743082423212394,334.8616484642479,52.3544443862447,19.239204940800562,27.5940263416137,2.3896479066305827
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19160.544023797545,in_support,0.6858484594701673,dairyegg,奶类蛋类,0.03211037937789656,64.22075875579313,24.109256076453306,5.317147311469762,3.8941537642588018,1.976196407896217
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19160.544023797545,in_support,0.6858484594701673,all_food,覆盖食品合计,0.77541990763403,1550.8398152680602,374.26891610497285,53.23905284387253,64.84806928980903,192.67374454063997
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.9484490275303297,grain,主粮,0.37768724873969206,755.3744974793841,122.81553484853872,22.910976056867643,5.062506475444515,154.54200874322822
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.9484490275303297,oil,食用油,0.11901251118938941,238.02502237877883,9.662899918613533,0.0,26.447224708753204,0.0
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.9484490275303297,vegfruit,蔬菜水果,0.056036138428391495,112.07227685678299,165.69013640700433,4.675396242856747,0.6834191615450191,26.117521877928287
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.9484490275303297,meatsea,肉类水产,0.17077897837501135,341.5579567500227,53.40138870294563,19.623935912674035,28.145830670585593,2.4374342660140558
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.9484490275303297,dairyegg,奶类蛋类,0.03354462817918679,67.08925635837358,25.186125060799682,5.554644105512892,4.068090836216059,2.064465602594373
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.9484490275303297,all_food,覆盖食品合计,0.7570595049116711,1514.1190098233421,376.75608493790185,52.764952317911316,64.40707185254439,185.16143048976494
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27340.779048202316,in_support,1.145173047120601,grain,主粮,0.3705555033303991,741.1110066607982,120.49644907116952,22.4783555517772,4.966912813131994,151.62384228387538
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27340.779048202316,in_support,1.145173047120601,oil,食用油,0.11762312009738847,235.24624019477693,9.550092055510351,0.0,26.13847113275299,0.0
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27340.779048202316,in_support,1.145173047120601,vegfruit,蔬菜水果,0.056926670481556835,113.85334096311367,168.32330103080028,4.749698118972521,0.6942801288809636,26.53258421151974
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27340.779048202316,in_support,1.145173047120601,meatsea,肉类水产,0.17312376546528532,346.24753093057063,54.13458717985894,19.893371600990196,28.532271560614266,2.470900120270375
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27340.779048202316,in_support,1.145173047120601,dairyegg,奶类蛋类,0.03413753869348105,68.27507738696211,25.631296737263334,5.652823965361948,4.139995458828428,2.10095559901462
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27340.779048202316,in_support,1.145173047120601,all_food,覆盖食品合计,0.7523665980681107,1504.7331961362215,378.1357260746024,52.77424923710186,64.47193109420864,182.72828221468012
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31039.857505217115,in_support,1.3021452409965586,grain,主粮,0.36764980343261827,735.2996068652366,119.55157976926398,22.30209219894057,4.927964914844985,150.43488845896735
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31039.857505217115,in_support,1.3021452409965586,oil,食用油,0.11703266456862303,234.06532913724607,9.502151611066045,0.0,26.007258793027344,0.0
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31039.857505217115,in_support,1.3021452409965586,vegfruit,蔬菜水果,0.057305223637566294,114.61044727513259,169.44262377172512,4.781282843633553,0.6988969795015826,26.709021607302653
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31039.857505217115,in_support,1.3021452409965586,meatsea,肉类水产,0.17475621904801264,349.5124380960253,54.64504396523278,20.080954199227257,28.80131381952824,2.4941992308405267
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31039.857505217115,in_support,1.3021452409965586,dairyegg,奶类蛋类,0.03444501394988849,68.89002789977698,25.862156659740695,5.703738693391466,4.177284209392977,2.1198788104185815
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31039.857505217115,in_support,1.3021452409965586,all_food,覆盖食品合计,0.7511889246367087,1502.3778492734175,379.0035557770286,52.86806793519285,64.61271871629513,181.75798810752912
2x_2023_pgdp,2.0,154554.21055958356,200.0,37920.58310719742,in_support,1.5437902146165787,grain,主粮,0.3655756636959674,731.1513273919347,118.877115428841,22.176272314886823,4.900163219440095,149.58619228935666
2x_2023_pgdp,2.0,154554.21055958356,200.0,37920.58310719742,in_support,1.5437902146165787,oil,食用油,0.11657966594963368,233.15933189926736,9.4653716097467,0.0,25.906592433251927,0.0
2x_2023_pgdp,2.0,154554.21055958356,200.0,37920.58310719742,in_support,1.5437902146165787,vegfruit,蔬菜水果,0.05759577421864951,115.19154843729902,170.3017366007494,4.805525040423974,0.7024405469221687,26.844442451260036
2x_2023_pgdp,2.0,154554.21055958356,200.0,37920.58310719742,in_support,1.5437902146165787,meatsea,肉类水产,0.17679717356344524,353.59434712689045,55.283236127059155,20.315476978275527,29.137680512573976,2.523328650155635
2x_2023_pgdp,2.0,154554.21055958356,200.0,37920.58310719742,in_support,1.5437902146165787,dairyegg,奶类蛋类,0.03474972682013497,69.49945364026993,26.090942515308022,5.754195998792118,4.214237954371313,2.1386320139399126
2x_2023_pgdp,2.0,154554.21055958356,200.0,37920.58310719742,in_support,1.5437902146165787,all_food,覆盖食品合计,0.7512980042478308,1502.5960084956614,380.0184022817043,53.05147033237844,64.86111466655947,181.09259540471226
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44291.742691845844,in_support,1.7267006147467803,grain,主粮,0.3649501069239504,729.9002138479008,118.67369821052144,22.13832526670419,4.891778278673199,149.3302270682563
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44291.742691845844,in_support,1.7267006147467803,oil,食用油,0.11642262054789752,232.84524109579505,9.452620731839083,0.0,25.871693455088337,0.0
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44291.742691845844,in_support,1.7267006147467803,vegfruit,蔬菜水果,0.05769657686072715,115.3931537214543,170.59979431822353,4.813935546701848,0.7036699402933458,26.891424903721138
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44291.742691845844,in_support,1.7267006147467803,meatsea,肉类水产,0.17798005678675122,355.96011357350244,55.65311541430519,20.451400174369144,29.332629745922468,2.5402112906809107
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44291.742691845844,in_support,1.7267006147467803,dairyegg,奶类蛋类,0.03489684745423954,69.79369490847907,26.201404275974692,5.778557656899132,4.232079860390424,2.1476863843421814
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44291.742691845844,in_support,1.7267006147467803,all_food,覆盖食品合计,0.7519462085735658,1503.8924171471315,380.58063295086396,53.182218644674315,65.03185128036777,180.90954964700055
3x_2023_pgdp,3.0,231831.31583937534,300.0,50284.20658346352,extrapolation,1.8735449616712914,grain,主粮,0.3647219252059606,729.4438504119212,118.59949856562717,22.124483481219173,4.8887197390249675,149.23685970895494
3x_2023_pgdp,3.0,231831.31583937534,300.0,50284.20658346352,extrapolation,1.8735449616712914,oil,食用油,0.11635379543268472,232.70759086536944,9.447032662202185,0.0,25.856398985041047,0.0
3x_2023_pgdp,3.0,231831.31583937534,300.0,50284.20658346352,extrapolation,1.8735449616712914,vegfruit,蔬菜水果,0.05774079030623591,115.48158061247182,170.73052659248137,4.8176245121233245,0.7042091693820387,26.912032063007274
3x_2023_pgdp,3.0,231831.31583937534,300.0,50284.20658346352,extrapolation,1.8735449616712914,meatsea,肉类水产,0.17873213151229553,357.46426302459105,55.888283905969686,20.537819863467035,29.456578068357768,2.5509452388757494
3x_2023_pgdp,3.0,231831.31583937534,300.0,50284.20658346352,extrapolation,1.8735449616712914,dairyegg,奶类蛋类,0.03498171657013448,69.96343314026896,26.26512607832443,5.792611106286848,4.24237227653544,2.1529095565756546
3x_2023_pgdp,3.0,231831.31583937534,300.0,50284.20658346352,extrapolation,1.8735449616712914,all_food,覆盖食品合计,0.7525303590273112,1505.0607180546224,380.9304678046048,53.27253896309638,65.14827823834126,180.85274656741362
