scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,energy_kcal_per_cap_day,carbohydrate_g_per_cap_day,fat_g_per_cap_day,protein_g_per_cap_day,food_kg_per_cap_year,carb_energy_share_pct,fat_energy_share_pct,protein_energy_share_pct
0.5x_2023_pgdp,0.5,38638.55263989589,1723.5528381551896,223.835762102743,68.36622665058266,56.52990671926958,368.61990627884796,51.947525401617824,35.6992850021255,13.119390474800078
0.75x_2023_pgdp,0.75,57957.828959843835,1550.8398152680602,192.67374454063997,64.84806928980903,53.23905284387253,374.26891610497285,49.695330915227146,37.63332730191746,13.731670368462973
1x_2023_pgdp,1.0,77277.10527979178,1514.1190098233424,185.16143048976494,64.40707185254439,52.764952317911316,376.7560849379019,48.915951596530945,38.28388937145244,13.93944649676318
1.25x_2023_pgdp,1.25,96596.38159973972,1504.7331961362217,182.72828221468012,64.47193109420864,52.77424923710186,378.1357260746024,48.57426756686983,38.561479293326414,14.028865548420924
1.5x_2023_pgdp,1.5,115915.65791968767,1502.3778492734175,181.75798810752912,64.61271871629512,52.86806793519285,379.0035557770286,48.3920841073186,38.70627277471437,14.075837968660412
2x_2023_pgdp,2.0,154554.21055958356,1502.5960084956616,181.09259540471226,64.86111466655947,53.05147033237844,380.01840228170425,48.20792664982914,38.84943316091078,14.12261713259612
2.5x_2023_pgdp,2.5,193192.76319947944,1503.8924171471317,180.90954964700055,65.03185128036777,53.182218644674315,380.5806329508639,48.117683840758794,38.918120395446415,14.145218910155934
3x_2023_pgdp,3.0,231831.31583937534,1505.0607180546226,180.85274656741362,65.14827823834126,53.27253896309638,380.93046780460486,48.06523601285034,38.957531554138384,14.158243139042042
