model,group,rmse_x,mae_x,mean_x
AIDADS_sat,grain,0.067239185709732,0.048639571695589204,0.4162108514051832
AIDADS_sat,oil,0.03153516977421286,0.025223260502051436,0.1280012295893504
AIDADS_sat,vegfruit,0.010855412149813651,0.007976456341101137,0.05127216060514116
AIDADS_sat,meatsea,0.05235149077622231,0.042040266993962044,0.14412771433776117
AIDADS_sat,dairyegg,0.010753547068604935,0.008843340530612056,0.029622519078042715
AIDADS_sat,nonfood,3.807907886598455,3.1493604165990603,188.9050588369303
MAIDADS_sat,grain,0.06207967973256849,0.049639386364150925,0.4162108514051832
MAIDADS_sat,oil,0.030605198024766803,0.025249272534922873,0.1280012295893504
MAIDADS_sat,vegfruit,0.007871826238472594,0.0061804682624622105,0.05127216060514116
MAIDADS_sat,meatsea,0.046654123116526676,0.037174241441343264,0.14412771433776117
MAIDADS_sat,dairyegg,0.009157146792751982,0.007572953383642741,0.029622519078042715
MAIDADS_sat,nonfood,3.587029756741364,2.9201606407252396,188.9050588369303
