variant,model,train_years,test_years,group,rmse_x,mae_x,mean_x,n_test,relative_rmse
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,dairyegg,0.013000274583631254,0.01063842953609006,0.03487623368244984,31,0.37275454402558256
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,grain,0.06776454532224069,0.05494442448892737,0.4046680667811247,31,0.1674571108643789
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,meatsea,0.07291137497555963,0.056866969890750706,0.18364987193467303,31,0.3970129366683974
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,nonfood,4.193045507890552,3.5053284796064195,205.93108133751335,31,0.020361401885800365
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,oil,0.03196522970056271,0.025994677453733267,0.1263853705744587,31,0.25291874807401626
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,vegfruit,0.011753521471535256,0.009390042870593718,0.05631432753317057,31,0.20871280873614506
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,dairyegg,0.012340506778353065,0.010026924636518003,0.03487623368244984,31,0.3538371399479114
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,grain,0.0639861314094767,0.05353789332271416,0.4046680667811247,31,0.15812004124379123
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,meatsea,0.06728853717730172,0.05199768921909794,0.18364987193467303,31,0.3663957751151455
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,nonfood,4.246184320901962,3.5399122692286236,205.93108133751335,31,0.020619443618336685
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,oil,0.03063458489461546,0.024628799779636133,0.1263853705744587,31,0.24239027630628654
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,vegfruit,0.010094667797486499,0.00801752075187694,0.05631432753317057,31,0.1792557638469621
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,dairyegg,0.013079313206657946,0.010691054231764361,0.03487623368244984,31,0.3750208043031786
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,grain,0.06739552260221754,0.05499499941356473,0.4046680667811247,31,0.16654519626000083
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,meatsea,0.07390625040696333,0.057793600594755884,0.18364987193467303,31,0.40243017666384695
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,nonfood,4.262353662906339,3.55555218782205,205.93108133751335,31,0.020697961838604152
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,oil,0.031963246283178905,0.025849016969694365,0.1263853705744587,31,0.25290305466444846
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2022,2023,vegfruit,0.011786469444519708,0.009429476607319801,0.05631432753317057,31,0.20929788138866043
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,dairyegg,0.012402938805143905,0.010077216928713934,0.03487623368244984,31,0.3556272422668512
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,grain,0.0636999272217417,0.053520675639339016,0.4046680667811247,31,0.15741278457782404
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,meatsea,0.06805659668028131,0.05253199469452199,0.18364987193467303,31,0.3705779697166903
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,nonfood,4.291171320051338,3.5794554707394233,205.93108133751335,31,0.020837900195445815
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,oil,0.030788669833711806,0.02458269632122944,0.1263853705744587,31,0.24360944382857164
robust_real_derived_cpi_nonfood,MAIDADS_sat,2015-2022,2023,vegfruit,0.010156627112903258,0.008053574542636766,0.05631432753317057,31,0.18035600455178563
