variant,model,group,rmse_x,mae_x,mean_x
robust_real_derived_cpi_nonfood,AIDADS_sat,grain,0.06802423817942241,0.048647997463944576,0.4162108514051832
robust_real_derived_cpi_nonfood,AIDADS_sat,oil,0.031512609742702015,0.025278827584155384,0.1280012295893504
robust_real_derived_cpi_nonfood,AIDADS_sat,vegfruit,0.010853677324971845,0.007986352083784341,0.05127216060514116
robust_real_derived_cpi_nonfood,AIDADS_sat,meatsea,0.051720303758665494,0.041857494288103994,0.14412771433776117
robust_real_derived_cpi_nonfood,AIDADS_sat,dairyegg,0.010732844285266987,0.008817588233042123,0.029622519078042715
robust_real_derived_cpi_nonfood,AIDADS_sat,nonfood,3.771905044506244,3.1143639477013823,187.40895904594552
robust_real_derived_cpi_nonfood,MAIDADS_sat,grain,0.06405047618941012,0.04792792466867625,0.4162108514051832
robust_real_derived_cpi_nonfood,MAIDADS_sat,oil,0.030887873196596964,0.025592376685129082,0.1280012295893504
robust_real_derived_cpi_nonfood,MAIDADS_sat,vegfruit,0.00887229311041723,0.007159348057772657,0.05127216060514116
robust_real_derived_cpi_nonfood,MAIDADS_sat,meatsea,0.04310590734350837,0.03504584787712729,0.14412771433776117
robust_real_derived_cpi_nonfood,MAIDADS_sat,dairyegg,0.008243498374796217,0.006644645980269465,0.029622519078042715
robust_real_derived_cpi_nonfood,MAIDADS_sat,nonfood,3.366531627067201,2.666870584610941,187.40895904594552
