model,price_measure,n_positive_own_hicksian,max_own_hicksian,max_price_derivative_column_sum_abs,sum_d_share_d_y,max_slutsky_symmetry_abs_diff,max_symmetric_slutsky_eigenvalue,min_symmetric_slutsky_eigenvalue,passes_own_price_sign,passes_derivative_adding_up,passes_expenditure_adding_up,passes_symmetry,passes_local_negativity
restricted_aids,completed,1,1.5328704227415275,6.938893903907228e-17,0.0,5.551115123125783e-17,0.36880751661103844,-1.0580546814223784,False,True,True,True,False
restricted_aids,landed_proxy,2,0.6102125150424733,2.0816681711721685e-17,0.0,6.938893903907228e-18,0.17118720959795408,-0.16573639339248805,False,True,True,True,False
restricted_aids,loo_quarter_winsor,0,-0.1913927935406412,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.08736433151730046,-1.4042635822006884,True,True,True,True,False
restricted_aids_curvature,completed,0,-0.03442807596177089,3.469446951953614e-17,0.0,8.326672684688674e-17,-1.4177322315329096e-16,-1.0863870970105929,True,True,True,True,True
restricted_aids_curvature,landed_proxy,0,-0.0410522713630499,5.204170427930421e-17,0.0,6.938893903907228e-18,8.365781624187834e-19,-0.1664173053195625,True,True,True,True,True
restricted_aids_curvature,loo_quarter_winsor,0,-0.5844200216268618,1.3877787807814457e-16,0.0,6.765421556309548e-17,1.184659006171721e-16,-1.4046704440791447,True,True,True,True,True
restricted_quaids,completed,1,1.4906792400657514,4.163336342344337e-17,0.0,5.551115123125783e-17,0.3614918749248175,-1.0431506759177145,False,True,True,True,False
restricted_quaids,landed_proxy,2,0.6767697032889934,1.734723475976807e-17,0.0,6.938893903907228e-18,0.17510787162889993,-0.14600014060026914,False,True,True,True,False
restricted_quaids,loo_quarter_winsor,0,-0.2702797885293593,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.08510986476855623,-1.3801874731456278,True,True,True,True,False
restricted_quaids_curvature,completed,0,-0.03749543387659804,1.6653345369377348e-16,0.0,8.326672684688674e-17,9.36523285077085e-17,-1.0713540860695576,True,True,True,True,True
restricted_quaids_curvature,landed_proxy,0,-0.022721908945637637,4.5102810375396984e-17,0.0,6.938893903907228e-18,-7.597195959045889e-18,-0.14679249431917102,True,True,True,True,True
restricted_quaids_curvature,loo_quarter_winsor,0,-0.6464315742271349,8.326672684688674e-17,0.0,2.7755575615628914e-17,1.4331000405301306e-16,-1.380454201390553,True,True,True,True,True
