model,price_measure,product,product_cn,mean_budget_share,d_share_d_y,expenditure_elasticity
restricted_aids,completed,corn,玉米,0.2505071851276069,0.0028397400687885056,1.0113359625487068
restricted_aids,completed,barley,大麦,0.33251562780119315,0.01912824578183267,1.0575258549750606
restricted_aids,completed,sorghum,高粱,0.17414285238535754,-0.0065849255548865995,0.9621866446731047
restricted_aids,completed,cassava,木薯干,0.17018099176341783,0.015279485206552989,1.0897837358228246
restricted_aids,completed,oats,燕麦,0.07265334292242441,-0.030662545502287565,0.5779609819877457
restricted_aids_curvature,completed,corn,玉米,0.2505071851276069,0.0028608424884564434,1.011420201328753
restricted_aids_curvature,completed,barley,大麦,0.33251562780119315,0.01913226726776048,1.0575379491011454
restricted_aids_curvature,completed,sorghum,高粱,0.17414285238535754,-0.0066280344845396095,0.9619390954394582
restricted_aids_curvature,completed,cassava,木薯干,0.17018099176341783,0.015303210127535907,1.0899231457577243
restricted_aids_curvature,completed,oats,燕麦,0.07265334292242441,-0.03066828539921322,0.5778819780948101
restricted_quaids,completed,corn,玉米,0.2505071851276069,0.01243187362059439,1.0496268145532899
restricted_quaids,completed,barley,大麦,0.33251562780119315,0.009496247211202683,1.028558799699124
restricted_quaids,completed,sorghum,高粱,0.17414285238535754,-0.010674051065008414,0.9387052013975974
restricted_quaids,completed,cassava,木薯干,0.17018099176341783,0.011774876752494235,1.0691903169119112
restricted_quaids,completed,oats,燕麦,0.07265334292242441,-0.023028946519282893,0.683029774089376
restricted_quaids_curvature,completed,corn,玉米,0.2505071851276069,0.01280419885286665,1.0511131001944884
restricted_quaids_curvature,completed,barley,大麦,0.33251562780119315,0.009661280196391411,1.0290551161768786
restricted_quaids_curvature,completed,sorghum,高粱,0.17414285238535754,-0.01153679311722408,0.9337509811100686
restricted_quaids_curvature,completed,cassava,木薯干,0.17018099176341783,0.012098102310267284,1.071089621613475
restricted_quaids_curvature,completed,oats,燕麦,0.07265334292242441,-0.023026788242301262,0.6830594805955714
restricted_aids,loo_quarter_winsor,corn,玉米,0.2505071851276069,0.004002930510012988,1.015979304178337
restricted_aids,loo_quarter_winsor,barley,大麦,0.33251562780119315,0.01678085556718301,1.0504663665829748
restricted_aids,loo_quarter_winsor,sorghum,高粱,0.17414285238535754,-0.007367688347645058,0.9576916982424221
restricted_aids,loo_quarter_winsor,cassava,木薯干,0.17018099176341783,0.016780073063280367,1.0986013354923192
restricted_aids,loo_quarter_winsor,oats,燕麦,0.07265334292242441,-0.030196170792831305,0.584380159560266
restricted_aids_curvature,loo_quarter_winsor,corn,玉米,0.2505071851276069,0.0040188360624655506,1.016042797576518
restricted_aids_curvature,loo_quarter_winsor,barley,大麦,0.33251562780119315,0.016569713724251128,1.0498313833663118
restricted_aids_curvature,loo_quarter_winsor,sorghum,高粱,0.17414285238535754,-0.006863412487230125,0.9605874579793708
restricted_aids_curvature,loo_quarter_winsor,cassava,木薯干,0.17018099176341783,0.016688526409476656,1.0980633984826973
restricted_aids_curvature,loo_quarter_winsor,oats,燕麦,0.07265334292242441,-0.030413663708963208,0.5813865888946447
restricted_quaids,loo_quarter_winsor,corn,玉米,0.2505071851276069,0.014069686535330644,1.0561648023315724
restricted_quaids,loo_quarter_winsor,barley,大麦,0.33251562780119315,0.005853398540801331,1.0176033787630006
restricted_quaids,loo_quarter_winsor,sorghum,高粱,0.17414285238535754,-0.012331688112969542,0.9291863665717328
restricted_quaids,loo_quarter_winsor,cassava,木薯干,0.17018099176341783,0.01581767056848924,1.0929461651656058
restricted_quaids,loo_quarter_winsor,oats,燕麦,0.07265334292242441,-0.023409067531651673,0.677797791677023
restricted_quaids_curvature,loo_quarter_winsor,corn,玉米,0.2505071851276069,0.014090453237691113,1.0562477009612061
restricted_quaids_curvature,loo_quarter_winsor,barley,大麦,0.33251562780119315,0.005726756665627573,1.0172225188436903
restricted_quaids_curvature,loo_quarter_winsor,sorghum,高粱,0.17414285238535754,-0.012043035924211073,0.9308439263555804
restricted_quaids_curvature,loo_quarter_winsor,cassava,木薯干,0.17018099176341783,0.0157630118851648,1.0926249854453676
restricted_quaids_curvature,loo_quarter_winsor,oats,燕麦,0.07265334292242441,-0.023537185864272413,0.6760343720260162
restricted_aids,landed_proxy,corn,玉米,0.2505071851276069,-0.0006416768669142393,0.9974384891731254
restricted_aids,landed_proxy,barley,大麦,0.33251562780119315,0.02545523013333873,1.076553485024644
restricted_aids,landed_proxy,sorghum,高粱,0.17414285238535754,-0.0036499877191954865,0.9790402668315178
restricted_aids,landed_proxy,cassava,木薯干,0.17018099176341783,0.006963125658639208,1.0409160011731464
restricted_aids,landed_proxy,oats,燕麦,0.07265334292242441,-0.028126691205868214,0.6128644591632834
restricted_aids_curvature,landed_proxy,corn,玉米,0.2505071851276069,-0.0009664956701600605,0.9961418445156863
restricted_aids_curvature,landed_proxy,barley,大麦,0.33251562780119315,0.025676979260602646,1.0772203683489865
restricted_aids_curvature,landed_proxy,sorghum,高粱,0.17414285238535754,-0.004833767333538971,0.9722425166044575
restricted_aids_curvature,landed_proxy,cassava,木薯干,0.17018099176341783,0.010530709810611154,1.061879471388031
restricted_aids_curvature,landed_proxy,oats,燕麦,0.07265334292242441,-0.03040742606751477,0.5814724437389991
restricted_quaids,landed_proxy,corn,玉米,0.2505071851276069,0.014181433720743956,1.0566108860850438
restricted_quaids,landed_proxy,barley,大麦,0.33251562780119315,0.013251429717177562,1.0398520508789453
restricted_quaids,landed_proxy,sorghum,高粱,0.17414285238535754,-0.010537135090750832,0.9394914293270367
restricted_quaids,landed_proxy,cassava,木薯干,0.17018099176341783,0.00413599214274948,1.0243034906536403
restricted_quaids,landed_proxy,oats,燕麦,0.07265334292242441,-0.021031720489920167,0.7105195763341987
restricted_quaids_curvature,landed_proxy,corn,玉米,0.2505071851276069,0.013656490422247957,1.0545153641612772
restricted_quaids_curvature,landed_proxy,barley,大麦,0.33251562780119315,0.013639719015429255,1.041019783357624
restricted_quaids_curvature,landed_proxy,sorghum,高粱,0.17414285238535754,-0.012054774112365824,0.9307765208434163
restricted_quaids_curvature,landed_proxy,cassava,木薯干,0.17018099176341783,0.008960383174817652,1.052652079894294
restricted_quaids_curvature,landed_proxy,oats,燕麦,0.07265334292242441,-0.024201818500129042,0.6668863740245163
