model,price_measure,price_product,ratio_quantity_product,morishima_elasticity
restricted_aids,completed,corn,barley,1.3354936619136772
restricted_aids,completed,corn,sorghum,-0.11988642370909575
restricted_aids,completed,corn,cassava,1.3462666165496164
restricted_aids,completed,corn,oats,1.4900234261420238
restricted_aids,completed,barley,corn,2.7285738519517864
restricted_aids,completed,barley,sorghum,1.798596492613357
restricted_aids,completed,barley,cassava,4.534342240335135
restricted_aids,completed,barley,oats,2.7118440285808907
restricted_aids,completed,sorghum,corn,-2.144922061892178
restricted_aids,completed,sorghum,barley,-1.620239928563736
restricted_aids,completed,sorghum,cassava,-2.2198651236646403
restricted_aids,completed,sorghum,oats,-1.0876043160462017
restricted_aids,completed,cassava,corn,3.6514394277980085
restricted_aids,completed,cassava,barley,4.568310377158747
restricted_aids,completed,cassava,sorghum,2.5821765303994333
restricted_aids,completed,cassava,oats,5.0944341721607795
restricted_aids,completed,oats,corn,3.973606092979875
restricted_aids,completed,oats,barley,3.925133200328804
restricted_aids,completed,oats,sorghum,3.9478107115337973
restricted_aids,completed,oats,cassava,4.547953577617379
restricted_aids_curvature,completed,corn,barley,1.4953656515573839
restricted_aids_curvature,completed,corn,sorghum,0.7843906351203583
restricted_aids_curvature,completed,corn,cassava,1.2536912223467325
restricted_aids_curvature,completed,corn,oats,1.7459767124913352
restricted_aids_curvature,completed,barley,corn,2.688378577321884
restricted_aids_curvature,completed,barley,sorghum,2.0672404754069214
restricted_aids_curvature,completed,barley,cassava,4.509398906600532
restricted_aids_curvature,completed,barley,oats,2.6910173669091635
restricted_aids_curvature,completed,sorghum,corn,-0.0974045680231172
restricted_aids_curvature,completed,sorghum,barley,0.07153933521205594
restricted_aids_curvature,completed,sorghum,cassava,0.02966408007304258
restricted_aids_curvature,completed,sorghum,oats,0.4128152867066316
restricted_aids_curvature,completed,cassava,corn,3.8297381143322298
restricted_aids_curvature,completed,cassava,barley,4.925914041327676
restricted_aids_curvature,completed,cassava,sorghum,3.635098510102418
restricted_aids_curvature,completed,cassava,oats,5.635079785627157
restricted_aids_curvature,completed,oats,corn,4.064177028103291
