model,price_measure,term,coef
restricted_aids,completed,alpha_corn,0.26049652408965346
restricted_aids,completed,alpha_barley,0.36391650811412773
restricted_aids,completed,alpha_sorghum,0.14006829829262157
restricted_aids,completed,alpha_cassava,0.13361806742885052
restricted_aids,completed,beta_corn,0.0028397400687885056
restricted_aids,completed,beta_barley,0.01912824578183267
restricted_aids,completed,beta_sorghum,-0.0065849255548865995
restricted_aids,completed,beta_cassava,0.015279485206552989
restricted_aids,completed,gamma_corn_barley,0.10787709953056311
restricted_aids,completed,gamma_corn_sorghum,-0.19694736903751545
restricted_aids,completed,gamma_corn_cassava,0.05704468730687928
restricted_aids,completed,gamma_corn_oats,0.034797821387344684
restricted_aids,completed,gamma_barley_sorghum,-0.08695694596715936
restricted_aids,completed,gamma_barley_cassava,0.380593304405732
restricted_aids,completed,gamma_barley_oats,0.030071576713757875
restricted_aids,completed,gamma_sorghum_cassava,-0.14654924286675855
restricted_aids,completed,gamma_sorghum_oats,0.019698010769625806
restricted_aids,completed,gamma_cassava_oats,0.12138277664931789
restricted_aids_curvature,completed,theta_0,0.25011739913058856
restricted_aids_curvature,completed,theta_1,0.36147840449119367
restricted_aids_curvature,completed,theta_2,0.16323445878443485
restricted_aids_curvature,completed,theta_3,0.12158565263815778
restricted_aids_curvature,completed,theta_4,0.0028608424884564434
restricted_aids_curvature,completed,theta_5,0.01913226726776048
restricted_aids_curvature,completed,theta_6,-0.0066280344845396095
restricted_aids_curvature,completed,theta_7,0.015303210127535907
restricted_aids_curvature,completed,theta_8,0.4939660903115257
restricted_aids_curvature,completed,theta_9,-0.35093693193869613
restricted_aids_curvature,completed,theta_10,0.7353029190696281
restricted_aids_curvature,completed,theta_11,0.06685686568435621
restricted_aids_curvature,completed,theta_12,0.01512637766796472
restricted_aids_curvature,completed,theta_13,0.03601049235476505
restricted_aids_curvature,completed,theta_14,-0.09634741343185328
restricted_aids_curvature,completed,theta_15,-0.6276054762076094
restricted_aids_curvature,completed,theta_16,0.46502072003279565
restricted_aids_curvature,completed,theta_17,-0.0011128188426232871
restricted_quaids,completed,alpha_corn,0.24329531068446486
restricted_quaids,completed,alpha_barley,0.3815562943797909
restricted_quaids,completed,alpha_sorghum,0.14641052546930922
restricted_quaids,completed,alpha_cassava,0.13962116994457469
restricted_quaids,completed,beta_corn,0.012431873620594393
restricted_quaids,completed,beta_barley,0.00949624721120268
restricted_quaids,completed,beta_sorghum,-0.010674051065008416
restricted_quaids,completed,beta_cassava,0.011774876752494234
restricted_quaids,completed,lambda_corn,0.002320645323665287
restricted_quaids,completed,lambda_barley,-0.0023259622571484818
restricted_quaids,completed,lambda_sorghum,-0.0010023041001736544
restricted_quaids,completed,lambda_cassava,-0.0008513607582510108
restricted_quaids,completed,gamma_corn_barley,0.07930901949988808
restricted_quaids,completed,gamma_corn_sorghum,-0.18909154525287097
restricted_quaids,completed,gamma_corn_cassava,0.05339511114842895
restricted_quaids,completed,gamma_corn_oats,0.03625529524489951
restricted_quaids,completed,gamma_barley_sorghum,-0.09267538696070347
restricted_quaids,completed,gamma_barley_cassava,0.3864845618409191
restricted_quaids,completed,gamma_barley_oats,0.024784297074376304
restricted_quaids,completed,gamma_sorghum_cassava,-0.15073196440134248
restricted_quaids,completed,gamma_sorghum_oats,0.02909064240978075
restricted_quaids,completed,gamma_cassava_oats,0.12368525360923822
restricted_quaids_curvature,completed,theta_0,0.2325430698322444
restricted_quaids_curvature,completed,theta_1,0.37856099499142865
restricted_quaids_curvature,completed,theta_2,0.1709565064221984
restricted_quaids_curvature,completed,theta_3,0.12690174209494523
restricted_quaids_curvature,completed,theta_4,0.01280419885286665
restricted_quaids_curvature,completed,theta_5,0.009661280196391411
restricted_quaids_curvature,completed,theta_6,-0.01153679311722408
restricted_quaids_curvature,completed,theta_7,0.012098102310267284
restricted_quaids_curvature,completed,theta_8,0.0024047540833124614
restricted_quaids_curvature,completed,theta_9,-0.0022875668103743037
restricted_quaids_curvature,completed,theta_10,-0.0011982464431945644
restricted_quaids_curvature,completed,theta_11,-0.0007799554802251675
restricted_quaids_curvature,completed,theta_12,0.46694954591454524
restricted_quaids_curvature,completed,theta_13,-0.3087221437452608
restricted_quaids_curvature,completed,theta_14,0.7316234530216102
restricted_quaids_curvature,completed,theta_15,0.06431083909711566
restricted_quaids_curvature,completed,theta_16,0.01585726841398803
restricted_quaids_curvature,completed,theta_17,0.04628417461475331
restricted_quaids_curvature,completed,theta_18,-0.09674931813425071
restricted_quaids_curvature,completed,theta_19,-0.6314315167952342
restricted_quaids_curvature,completed,theta_20,0.4610979250304007
restricted_quaids_curvature,completed,theta_21,-0.0009251974539312056
restricted_aids,loo_quarter_winsor,alpha_corn,0.21782714074066142
restricted_aids,loo_quarter_winsor,alpha_barley,0.38330900821943287
restricted_aids,loo_quarter_winsor,alpha_sorghum,0.1922989648728815
restricted_aids,loo_quarter_winsor,alpha_cassava,0.12468730380362424
restricted_aids,loo_quarter_winsor,beta_corn,0.004002930510012988
restricted_aids,loo_quarter_winsor,beta_barley,0.01678085556718301
restricted_aids,loo_quarter_winsor,beta_sorghum,-0.007367688347645058
restricted_aids,loo_quarter_winsor,beta_cassava,0.016780073063280367
restricted_aids,loo_quarter_winsor,gamma_corn_barley,0.4286711670900635
restricted_aids,loo_quarter_winsor,gamma_corn_sorghum,0.20228277711194217
restricted_aids,loo_quarter_winsor,gamma_corn_cassava,-0.07123670927781474
restricted_aids,loo_quarter_winsor,gamma_corn_oats,-0.010466253340583391
restricted_aids,loo_quarter_winsor,gamma_barley_sorghum,-0.2717525328200948
restricted_aids,loo_quarter_winsor,gamma_barley_cassava,0.296858178036768
restricted_aids,loo_quarter_winsor,gamma_barley_oats,0.036017014795831435
restricted_aids,loo_quarter_winsor,gamma_sorghum_cassava,0.038086018315970485
restricted_aids,loo_quarter_winsor,gamma_sorghum_oats,-0.07910369496309787
restricted_aids,loo_quarter_winsor,gamma_cassava_oats,0.06917724401532391
restricted_aids_curvature,loo_quarter_winsor,theta_0,0.21750524639876143
restricted_aids_curvature,loo_quarter_winsor,theta_1,0.38288971920118403
restricted_aids_curvature,loo_quarter_winsor,theta_2,0.19261483601640933
restricted_aids_curvature,loo_quarter_winsor,theta_3,0.1243788132591624
restricted_aids_curvature,loo_quarter_winsor,theta_4,0.0040188360624655506
restricted_aids_curvature,loo_quarter_winsor,theta_5,0.016569713724251128
restricted_aids_curvature,loo_quarter_winsor,theta_6,-0.006863412487230125
restricted_aids_curvature,loo_quarter_winsor,theta_7,0.016688526409476656
restricted_aids_curvature,loo_quarter_winsor,theta_8,0.8590592127859975
restricted_aids_curvature,loo_quarter_winsor,theta_9,-0.5949706076088269
restricted_aids_curvature,loo_quarter_winsor,theta_10,0.6105296214223982
restricted_aids_curvature,loo_quarter_winsor,theta_11,-0.2863038173729124
restricted_aids_curvature,loo_quarter_winsor,theta_12,0.020952083193093312
restricted_aids_curvature,loo_quarter_winsor,theta_13,0.13915352645471035
restricted_aids_curvature,loo_quarter_winsor,theta_14,0.03410971792487659
restricted_aids_curvature,loo_quarter_winsor,theta_15,-0.534761775435464
restricted_aids_curvature,loo_quarter_winsor,theta_16,-0.43644880427213406
restricted_aids_curvature,loo_quarter_winsor,theta_17,2.772610966759072e-05
restricted_quaids,loo_quarter_winsor,alpha_corn,0.1985813553775919
restricted_quaids,loo_quarter_winsor,alpha_barley,0.40353603651341996
restricted_quaids,loo_quarter_winsor,alpha_sorghum,0.20222328961840158
restricted_quaids,loo_quarter_winsor,alpha_cassava,0.1258687704052242
restricted_quaids,loo_quarter_winsor,beta_corn,0.014069686535330635
restricted_quaids,loo_quarter_winsor,beta_barley,0.00585339854080134
restricted_quaids,loo_quarter_winsor,beta_sorghum,-0.012331688112969539
restricted_quaids,loo_quarter_winsor,beta_cassava,0.01581767056848924
restricted_quaids,loo_quarter_winsor,lambda_corn,0.002513727500866638
restricted_quaids,loo_quarter_winsor,lambda_barley,-0.002726671088439949
restricted_quaids,loo_quarter_winsor,lambda_sorghum,-0.0012305394401928148
restricted_quaids,loo_quarter_winsor,lambda_cassava,-0.00024002624256087775
restricted_quaids,loo_quarter_winsor,gamma_corn_barley,0.4023774240530708
restricted_quaids,loo_quarter_winsor,gamma_corn_sorghum,0.2202296195100641
restricted_quaids,loo_quarter_winsor,gamma_corn_cassava,-0.08288798875096819
restricted_quaids,loo_quarter_winsor,gamma_corn_oats,-0.007456186534215041
restricted_quaids,loo_quarter_winsor,gamma_barley_sorghum,-0.2850254289879979
restricted_quaids,loo_quarter_winsor,gamma_barley_cassava,0.3068224810020834
restricted_quaids,loo_quarter_winsor,gamma_barley_oats,0.032179637764201935
restricted_quaids,loo_quarter_winsor,gamma_sorghum_cassava,0.04230807410061587
restricted_quaids,loo_quarter_winsor,gamma_sorghum_oats,-0.07426209065451732
restricted_quaids,loo_quarter_winsor,gamma_cassava_oats,0.06781744430429913
restricted_quaids_curvature,loo_quarter_winsor,theta_0,0.19837025313678028
restricted_quaids_curvature,loo_quarter_winsor,theta_1,0.40282494242692396
restricted_quaids_curvature,loo_quarter_winsor,theta_2,0.20303826841629255
restricted_quaids_curvature,loo_quarter_winsor,theta_3,0.12545841168249902
restricted_quaids_curvature,loo_quarter_winsor,theta_4,0.014090453237691113
restricted_quaids_curvature,loo_quarter_winsor,theta_5,0.005726756665627573
restricted_quaids_curvature,loo_quarter_winsor,theta_6,-0.012043035924211073
restricted_quaids_curvature,loo_quarter_winsor,theta_7,0.0157630118851648
restricted_quaids_curvature,loo_quarter_winsor,theta_8,0.0025118020193181942
restricted_quaids_curvature,loo_quarter_winsor,theta_9,-0.002703682156315864
restricted_quaids_curvature,loo_quarter_winsor,theta_10,-0.0012781929288288875
restricted_quaids_curvature,loo_quarter_winsor,theta_11,-0.00022966720220814665
restricted_quaids_curvature,loo_quarter_winsor,theta_12,0.8489456081364481
restricted_quaids_curvature,loo_quarter_winsor,theta_13,-0.572447395603765
restricted_quaids_curvature,loo_quarter_winsor,theta_14,0.6063776379052667
restricted_quaids_curvature,loo_quarter_winsor,theta_15,-0.3081519128971975
restricted_quaids_curvature,loo_quarter_winsor,theta_16,0.030682712906948607
restricted_quaids_curvature,loo_quarter_winsor,theta_17,0.12912167871561325
restricted_quaids_curvature,loo_quarter_winsor,theta_18,0.04743910145332903
restricted_quaids_curvature,loo_quarter_winsor,theta_19,-0.5418347363583736
restricted_quaids_curvature,loo_quarter_winsor,theta_20,-0.4281670596769958
restricted_quaids_curvature,loo_quarter_winsor,theta_21,-2.16350704364962e-06
restricted_aids,landed_proxy,alpha_corn,0.20693855335893618
restricted_aids,landed_proxy,alpha_barley,0.3745624337100983
restricted_aids,landed_proxy,alpha_sorghum,0.13437751040147108
restricted_aids,landed_proxy,alpha_cassava,0.24355074054833453
restricted_aids,landed_proxy,beta_corn,-0.0006416768669142393
restricted_aids,landed_proxy,beta_barley,0.02545523013333873
restricted_aids,landed_proxy,beta_sorghum,-0.0036499877191954865
restricted_aids,landed_proxy,beta_cassava,0.006963125658639208
restricted_aids,landed_proxy,gamma_corn_barley,-0.03383388151021725
restricted_aids,landed_proxy,gamma_corn_sorghum,0.02014382675582447
restricted_aids,landed_proxy,gamma_corn_cassava,-0.04712064434658868
restricted_aids,landed_proxy,gamma_corn_oats,-0.02815155972019126
restricted_aids,landed_proxy,gamma_barley_sorghum,-0.05071493020838137
restricted_aids,landed_proxy,gamma_barley_cassava,-0.02950964426333059
restricted_aids,landed_proxy,gamma_barley_oats,-0.01586279066699998
restricted_aids,landed_proxy,gamma_sorghum_cassava,-0.08404396282512656
restricted_aids,landed_proxy,gamma_sorghum_oats,0.01711678592406497
restricted_aids,landed_proxy,gamma_cassava_oats,-0.08439174136716913
restricted_aids_curvature,landed_proxy,theta_0,0.21057319145483347
restricted_aids_curvature,landed_proxy,theta_1,0.37193088093816523
restricted_aids_curvature,landed_proxy,theta_2,0.14785289572488874
restricted_aids_curvature,landed_proxy,theta_3,0.202706416416455
restricted_aids_curvature,landed_proxy,theta_4,-0.0009664956701600605
restricted_aids_curvature,landed_proxy,theta_5,0.025676979260602646
restricted_aids_curvature,landed_proxy,theta_6,-0.004833767333538971
restricted_aids_curvature,landed_proxy,theta_7,0.010530709810611154
restricted_aids_curvature,landed_proxy,theta_8,0.3159639021274956
