quantity_product,corn,barley,sorghum,cassava,oats
corn,-0.6480649369626799,-0.13151360747236315,0.0679566113995913,-0.1478872543674823,-0.13663265711275227
barley,-0.11938911439464131,-0.6368549383238564,-0.15997028344141975,-0.12235915443762596,-0.038646877751442925
sorghum,0.103743589360824,-0.27054715708436594,-0.5122300926055372,-0.2614465284317991,-0.03176232784357908
cassava,-0.23415845129743315,-0.2339757362456456,-0.2831427110096235,-0.22838354574514624,-0.08221902709018221
oats,-0.36722883885077795,-0.012032867791367585,-0.008081332421325096,-0.11083121645756877,-0.08329818821795953
