world_scenario,casm_scenario,year,casm_commodity,world_commodities,casm_target_Mt,casm_world_equilibrium_FOO_Mt,relative_error_pct,mapping_note
HDS,B1,2024,OILS,SBO+RBO+NBO,0,28.9062,,aggregate vegetable oils
HDS,B1,2024,MILK,BUT+CHE+NDM+FMK+WDM+ODA,49.9861,37.3627,-25.2538,dairy products; not raw-milk equivalent
HDS,B1,2030,RICE,RIC,134.754,114.877,-14.7506,one-to-one
HDS,B1,2030,WHEA,WHE,78.3191,96.6029,23.3452,one-to-one
HDS,B1,2030,PIGM,PRK,34.4589,39.783,15.4507,one-to-one
HDS,B1,2030,CATM,BFV,7.54159,7.86196,4.2481,one-to-one
HDS,B1,2030,CHKM,PLM,27.5574,28.1666,2.21052,one-to-one
HDS,B1,2030,OILS,SBO+RBO+NBO,0,27.7434,,aggregate vegetable oils
HDS,B1,2030,MILK,BUT+CHE+NDM+FMK+WDM+ODA,63.1708,43.7703,-30.7113,dairy products; not raw-milk equivalent
HDS,B1,2035,RICE,RIC,119.081,115.567,-2.95093,one-to-one
HDS,B1,2035,WHEA,WHE,69.119,98.0934,41.9195,one-to-one
HDS,B1,2035,PIGM,PRK,27.7118,34.5688,24.7441,one-to-one
HDS,B1,2035,CATM,BFV,6.15192,6.66597,8.35587,one-to-one
HDS,B1,2035,CHKM,PLM,30.881,30.9792,0.317915,one-to-one
HDS,B1,2035,OILS,SBO+RBO+NBO,0,26.4536,,aggregate vegetable oils
HDS,B1,2035,MILK,BUT+CHE+NDM+FMK+WDM+ODA,76.5058,49.675,-35.0704,dairy products; not raw-milk equivalent
HDS,B1,2040,RICE,RIC,105.251,116.401,10.5934,one-to-one
HDS,B1,2040,WHEA,WHE,60.9845,99.5346,63.213,one-to-one
HDS,B1,2040,PIGM,PRK,22.1458,30.0454,35.671,one-to-one
HDS,B1,2040,CATM,BFV,4.97159,5.65067,13.6593,one-to-one
HDS,B1,2040,CHKM,PLM,34.3254,34.0898,-0.686341,one-to-one
HDS,B1,2040,OILS,SBO+RBO+NBO,0,25.2963,,aggregate vegetable oils
HDS,B1,2040,MILK,BUT+CHE+NDM+FMK+WDM+ODA,91.9163,56.4091,-38.6299,dairy products; not raw-milk equivalent
HDS,B1,2045,RICE,RIC,93.0089,117.293,26.1094,one-to-one
HDS,B1,2045,WHEA,WHE,53.7963,100.961,87.6727,one-to-one
HDS,B1,2045,PIGM,PRK,17.5559,26.0923,48.6241,one-to-one
HDS,B1,2045,CATM,BFV,3.96227,4.79104,20.9165,one-to-one
