scenario,commodity,region,year,variable,value
BS,RIC,USA,2024,PRD,7.22934
BS,RIC,E15,2024,PRD,1.46202
BS,RIC,JPN,2024,PRD,7.56883
BS,RIC,MEX,2024,PRD,0.271112
BS,RIC,BRZ,2024,PRD,6.8528
BS,RIC,ARG,2024,PRD,0.818441
BS,RIC,CHN,2024,PRD,146.344
BS,RIC,AUS,2024,PRD,0.340257
BS,RIC,KOR,2024,PRD,3.72875
BS,RIC,IND,2024,PRD,133.164
BS,RIC,ROW,2024,PRD,216.066
BS,WHE,USA,2024,PRD,47.2753
BS,WHE,E15,2024,PRD,134.51
BS,WHE,JPN,2024,PRD,1.10016
BS,WHE,CAN,2024,PRD,31.9312
BS,WHE,MEX,2024,PRD,3.45323
BS,WHE,BRZ,2024,PRD,7.95567
BS,WHE,ARG,2024,PRD,17.534
BS,WHE,CHN,2024,PRD,137.663
BS,WHE,AUS,2024,PRD,24.6466
BS,WHE,NZL,2024,PRD,0.450469
BS,WHE,IND,2024,PRD,113.997
BS,WHE,ROW,2024,PRD,240.121
BS,CRN,USA,2024,PRD,393.974
BS,CRN,E15,2024,PRD,61.4182
BS,CRN,CAN,2024,PRD,15.0938
BS,CRN,MEX,2024,PRD,26.6317
BS,CRN,BRZ,2024,PRD,130.475
BS,CRN,ARG,2024,PRD,63.9559
BS,CRN,CHN,2024,PRD,290.56
BS,CRN,AUS,2024,PRD,0.42459
BS,CRN,NZL,2024,PRD,0.162352
BS,CRN,KOR,2024,PRD,0.0909269
BS,CRN,IND,2024,PRD,34.8265
BS,CRN,ROW,2024,PRD,229.847
BS,OCG,USA,2024,PRD,13.4773
BS,OCG,E15,2024,PRD,78.7456
BS,OCG,JPN,2024,PRD,0.262153
BS,OCG,CAN,2024,PRD,11.602
BS,OCG,MEX,2024,PRD,5.3227
BS,OCG,BRZ,2024,PRD,6.76807
BS,OCG,ARG,2024,PRD,7.56433
BS,OCG,CHN,2024,PRD,48.8148
BS,OCG,AUS,2024,PRD,13.8045
BS,OCG,NZL,2024,PRD,0.397267
BS,OCG,KOR,2024,PRD,0.204965
BS,OCG,IND,2024,PRD,18.0549
BS,OCG,ROW,2024,PRD,89.5808
BS,SBS,USA,2024,PRD,112.755
BS,SBS,E15,2024,PRD,2.97778
BS,SBS,JPN,2024,PRD,0.254592
BS,SBS,CAN,2024,PRD,7.00608
BS,SBS,MEX,2024,PRD,0.184919
BS,SBS,BRZ,2024,PRD,151.785
BS,SBS,ARG,2024,PRD,53.2501
BS,SBS,CHN,2024,PRD,20.8758
BS,SBS,AUS,2024,PRD,0.0676414
BS,SBS,KOR,2024,PRD,0.14188
BS,SBS,IND,2024,PRD,11.7792
BS,SBS,ROW,2024,PRD,37.6659
BS,SBO,USA,2024,PRD,12.3848
BS,SBO,E15,2024,PRD,2.76627
BS,SBO,JPN,2024,PRD,0.458562
BS,SBO,CAN,2024,PRD,0.310741
BS,SBO,MEX,2024,PRD,1.20602
BS,SBO,BRZ,2024,PRD,11.005
BS,SBO,ARG,2024,PRD,7.41522
BS,SBO,CHN,2024,PRD,15.7044
BS,SBO,AUS,2024,PRD,0.0136748
BS,SBO,KOR,2024,PRD,0.181527
BS,SBO,IND,2024,PRD,2.05858
BS,SBO,ROW,2024,PRD,9.81714
BS,SBM,USA,2024,PRD,49.4346
BS,SBM,E15,2024,PRD,11.5018
BS,SBM,JPN,2024,PRD,1.75964
BS,SBM,CAN,2024,PRD,1.32165
BS,SBM,MEX,2024,PRD,5.16338
BS,SBM,BRZ,2024,PRD,42.3693
BS,SBM,ARG,2024,PRD,29.1813
BS,SBM,CHN,2024,PRD,79.4737
BS,SBM,AUS,2024,PRD,0.0546993
BS,SBM,KOR,2024,PRD,0.66427
BS,SBM,IND,2024,PRD,9.14924
BS,SBM,ROW,2024,PRD,31.9068
BS,NBS,USA,2024,PRD,1.00189
BS,NBS,E15,2024,PRD,10.194
BS,NBS,CAN,2024,PRD,0.0925734
BS,NBS,BRZ,2024,PRD,0.0698218
BS,NBS,ARG,2024,PRD,3.86634
BS,NBS,CHN,2024,PRD,2.00998
BS,NBS,AUS,2024,PRD,0.0314596
BS,NBS,IND,2024,PRD,0.104873
BS,NBS,ROW,2024,PRD,39.0155
BS,NBO,USA,2024,PRD,0.158134
BS,NBO,E15,2024,PRD,3.88584
BS,NBO,MEX,2024,PRD,0.0159442
BS,NBO,BRZ,2024,PRD,0.0306204
BS,NBO,ARG,2024,PRD,1.74859
BS,NBO,CHN,2024,PRD,0.211932
BS,NBO,AUS,2024,PRD,0.015884
BS,NBO,IND,2024,PRD,0.0340062
BS,NBO,ROW,2024,PRD,16.2442
BS,NBM,USA,2024,PRD,0.191949
BS,NBM,E15,2024,PRD,4.97152
BS,NBM,MEX,2024,PRD,0.0159442
BS,NBM,BRZ,2024,PRD,0.0306204
BS,NBM,ARG,2024,PRD,1.78879
BS,NBM,CHN,2024,PRD,0.322333
BS,NBM,AUS,2024,PRD,0.0168767
BS,NBM,IND,2024,PRD,0.0434524
BS,NBM,ROW,2024,PRD,16.1016
BS,RBS,USA,2024,PRD,1.91788
BS,RBS,E15,2024,PRD,20.0345
BS,RBS,CAN,2024,PRD,19.298
BS,RBS,ARG,2024,PRD,0.0467905
BS,RBS,CHN,2024,PRD,16.3952
BS,RBS,AUS,2024,PRD,5.88333
BS,RBS,IND,2024,PRD,11.6886
BS,RBS,ROW,2024,PRD,13.9311
BS,RBO,USA,2024,PRD,0.87447
BS,RBO,E15,2024,PRD,10.2708
BS,RBO,JPN,2024,PRD,0.900947
BS,RBO,CAN,2024,PRD,4.74958
BS,RBO,MEX,2024,PRD,0.433493
BS,RBO,CHN,2024,PRD,7.27781
BS,RBO,AUS,2024,PRD,0.458695
BS,RBO,IND,2024,PRD,3.99029
BS,RBO,ROW,2024,PRD,5.10466
BS,RBM,USA,2024,PRD,1.26257
BS,RBM,E15,2024,PRD,13.939
BS,RBM,JPN,2024,PRD,1.20964
BS,RBM,CAN,2024,PRD,6.46735
BS,RBM,MEX,2024,PRD,0.623996
BS,RBM,CHN,2024,PRD,11.012
BS,RBM,AUS,2024,PRD,0.643181
BS,RBM,IND,2024,PRD,6.24293
BS,RBM,ROW,2024,PRD,7.31813
BS,DDG,USA,2024,PRD,45.4639
BS,DDG,E15,2024,PRD,3.33971
BS,DDG,CAN,2024,PRD,1.60053
BS,DDG,ARG,2024,PRD,0.2916
BS,DDG,CHN,2024,PRD,5.65838
BS,DDG,ROW,2024,PRD,0.10731
BS,ETH,USA,2024,PRD,53.1674
BS,ETH,E15,2024,PRD,5.31417
BS,ETH,JPN,2024,PRD,0.03961
BS,ETH,CAN,2024,PRD,1.74736
BS,ETH,MEX,2024,PRD,0.1467
BS,ETH,BRZ,2024,PRD,30.5539
BS,ETH,ARG,2024,PRD,1.09727
BS,ETH,CHN,2024,PRD,9.06866
BS,ETH,AUS,2024,PRD,0.2983
BS,ETH,NZL,2024,PRD,0.00222
BS,ETH,KOR,2024,PRD,0.14084
BS,ETH,IND,2024,PRD,6.6328
BS,ETH,ROW,2024,PRD,35.2218
BS,BDI,USA,2024,PRD,12.8332
BS,BDI,E15,2024,PRD,16.7403
BS,BDI,JPN,2024,PRD,0.0207
BS,BDI,CAN,2024,PRD,0.37754
BS,BDI,BRZ,2024,PRD,6.705
BS,BDI,ARG,2024,PRD,1.32042
BS,BDI,CHN,2024,PRD,2.90493
BS,BDI,AUS,2024,PRD,0.0132
BS,BDI,KOR,2024,PRD,0.62924
BS,BDI,IND,2024,PRD,0.17077
BS,BDI,ROW,2024,PRD,23.7335
BS,OTO,USA,2024,PRD,0.271
BS,OTO,E15,2024,PRD,1.562
BS,OTO,JPN,2024,PRD,0.005
BS,OTO,MEX,2024,PRD,0.265
BS,OTO,BRZ,2024,PRD,1.484
BS,OTO,ARG,2024,PRD,0.135
BS,OTO,CHN,2024,PRD,4.512
BS,OTO,AUS,2024,PRD,0.032
BS,OTO,IND,2024,PRD,3.391
BS,OTO,ROW,2024,PRD,90.182
BS,CTN,USA,2024,PRD,2.70496
BS,CTN,E15,2024,PRD,0.287421
BS,CTN,MEX,2024,PRD,0.236717
BS,CTN,BRZ,2024,PRD,3.35317
BS,CTN,ARG,2024,PRD,0.325726
BS,CTN,CHN,2024,PRD,5.62529
BS,CTN,AUS,2024,PRD,0.903845
BS,CTN,IND,2024,PRD,5.39479
BS,CTN,ROW,2024,PRD,4.23751
BS,SUG,USA,2024,PRD,7.805
BS,SUG,E15,2024,PRD,15.4843
BS,SUG,JPN,2024,PRD,0.6
BS,SUG,CAN,2024,PRD,0.105
BS,SUG,MEX,2024,PRD,4.901
BS,SUG,BRZ,2024,PRD,44.519
BS,SUG,ARG,2024,PRD,1.55
BS,SUG,CHN,2024,PRD,8.97
BS,SUG,AUS,2024,PRD,4.15632
BS,SUG,IND,2024,PRD,31.7
BS,SUG,ROW,2024,PRD,53.5309
BS,SCA,USA,2024,PRD,28.5673
BS,SCA,JPN,2024,PRD,1.22869
BS,SCA,MEX,2024,PRD,50.5642
BS,SCA,BRZ,2024,PRD,684.671
BS,SCA,ARG,2024,PRD,18.7121
BS,SCA,CHN,2024,PRD,104.149
BS,SCA,AUS,2024,PRD,29.663
BS,SCA,IND,2024,PRD,415.002
BS,SCA,ROW,2024,PRD,407.101
BS,SBE,USA,2024,PRD,31.7185
BS,SBE,E15,2024,PRD,109.487
BS,SBE,JPN,2024,PRD,3.66216
BS,SBE,CAN,2024,PRD,1.16224
BS,SBE,CHN,2024,PRD,8.97191
BS,SBE,ROW,2024,PRD,108.528
BS,BFV,USA,2024,PRD,11.8712
BS,BFV,E15,2024,PRD,6.7903
BS,BFV,JPN,2024,PRD,0.52241
BS,BFV,CAN,2024,PRD,1.62619
BS,BFV,MEX,2024,PRD,2.23563
BS,BFV,BRZ,2024,PRD,9.34121
BS,BFV,ARG,2024,PRD,3.39142
BS,BFV,CHN,2024,PRD,7.64094
BS,BFV,AUS,2024,PRD,2.66134
BS,BFV,NZL,2024,PRD,0.809433
BS,BFV,KOR,2024,PRD,0.376981
BS,BFV,IND,2024,PRD,4.45037
BS,BFV,ROW,2024,PRD,20.8176
BS,PRK,USA,2024,PRD,12.3943
BS,PRK,E15,2024,PRD,20.5874
BS,PRK,JPN,2024,PRD,1.32165
BS,PRK,CAN,2024,PRD,2.21168
BS,PRK,MEX,2024,PRD,1.58747
BS,PRK,BRZ,2024,PRD,5.37906
BS,PRK,ARG,2024,PRD,0.82406
BS,PRK,CHN,2024,PRD,59.4967
BS,PRK,AUS,2024,PRD,0.469694
BS,PRK,NZL,2024,PRD,0.0453104
BS,PRK,KOR,2024,PRD,1.41551
BS,PRK,IND,2024,PRD,0.316886
BS,PRK,ROW,2024,PRD,19.2737
BS,PLM,USA,2024,PRD,23.5209
BS,PLM,E15,2024,PRD,13.732
BS,PLM,JPN,2024,PRD,1.71188
BS,PLM,CAN,2024,PRD,1.5379
BS,PLM,MEX,2024,PRD,3.90519
BS,PLM,BRZ,2024,PRD,15.4461
BS,PLM,ARG,2024,PRD,2.36559
BS,PLM,CHN,2024,PRD,26.9665
BS,PLM,AUS,2024,PRD,1.45413
BS,PLM,NZL,2024,PRD,0.231877
BS,PLM,KOR,2024,PRD,1.02207
BS,PLM,IND,2024,PRD,3.86699
BS,PLM,ROW,2024,PRD,43.9071
BS,MLK,USA,2024,PRD,104.738
BS,MLK,E15,2024,PRD,153.072
BS,MLK,JPN,2024,PRD,7.84826
BS,MLK,CAN,2024,PRD,11.4035
BS,MLK,MEX,2024,PRD,13.1555
BS,MLK,BRZ,2024,PRD,37.3432
BS,MLK,ARG,2024,PRD,11.4246
BS,MLK,CHN,2024,PRD,43.019
BS,MLK,AUS,2024,PRD,8.62574
BS,MLK,NZL,2024,PRD,21.3505
BS,MLK,KOR,2024,PRD,1.95441
BS,MLK,IND,2024,PRD,216.144
BS,MLK,ROW,2024,PRD,213.705
BS,BUT,USA,2024,PRD,0.975549
BS,BUT,E15,2024,PRD,2.37092
BS,BUT,JPN,2024,PRD,0.0781782
BS,BUT,CAN,2024,PRD,0.119301
BS,BUT,MEX,2024,PRD,0.218683
BS,BUT,BRZ,2024,PRD,0.114743
BS,BUT,ARG,2024,PRD,0.0329037
BS,BUT,CHN,2024,PRD,0.102591
BS,BUT,AUS,2024,PRD,0.0702872
BS,BUT,NZL,2024,PRD,0.493569
BS,BUT,KOR,2024,PRD,0.0546331
BS,BUT,IND,2024,PRD,5.4317
BS,BUT,ROW,2024,PRD,2.09843
BS,CHE,USA,2024,PRD,6.48819
BS,CHE,E15,2024,PRD,10.9452
BS,CHE,JPN,2024,PRD,0.174567
BS,CHE,CAN,2024,PRD,0.497695
BS,CHE,MEX,2024,PRD,0.338814
BS,CHE,BRZ,2024,PRD,0.774602
BS,CHE,ARG,2024,PRD,0.481697
BS,CHE,CHN,2024,PRD,0.21262
BS,CHE,AUS,2024,PRD,0.4775
BS,CHE,NZL,2024,PRD,0.418184
BS,CHE,KOR,2024,PRD,0.0427963
BS,CHE,IND,2024,PRD,0.00678625
BS,CHE,ROW,2024,PRD,5.20647
BS,NDM,USA,2024,PRD,1.13365
BS,NDM,E15,2024,PRD,1.49806
BS,NDM,JPN,2024,PRD,0.148866
BS,NDM,CAN,2024,PRD,0.0844266
BS,NDM,MEX,2024,PRD,0.0474778
BS,NDM,BRZ,2024,PRD,0.164873
BS,NDM,ARG,2024,PRD,0.0416809
BS,NDM,CHN,2024,PRD,0.0313247
BS,NDM,AUS,2024,PRD,0.144956
BS,NDM,NZL,2024,PRD,0.372635
BS,NDM,KOR,2024,PRD,0.0304238
BS,NDM,IND,2024,PRD,0.380993
BS,NDM,ROW,2024,PRD,0.247371
BS,FMK,USA,2024,PRD,22.293
BS,FMK,E15,2024,PRD,39.7895
BS,FMK,JPN,2024,PRD,4.75919
BS,FMK,CAN,2024,PRD,2.69411
BS,FMK,MEX,2024,PRD,3.41448
BS,FMK,BRZ,2024,PRD,29.3513
BS,FMK,ARG,2024,PRD,1.69102
BS,FMK,CHN,2024,PRD,35.4968
BS,FMK,AUS,2024,PRD,2.85147
BS,FMK,NZL,2024,PRD,0.219367
BS,FMK,KOR,2024,PRD,0.558177
BS,FMK,IND,2024,PRD,149.957
BS,FMK,ROW,2024,PRD,154.134
BS,WDM,USA,2024,PRD,0.067396
BS,WDM,E15,2024,PRD,0.598733
BS,WDM,JPN,2024,PRD,0.0471636
BS,WDM,CAN,2024,PRD,0.00807099
BS,WDM,MEX,2024,PRD,0.238672
BS,WDM,BRZ,2024,PRD,0.606067
BS,WDM,ARG,2024,PRD,0.197259
BS,WDM,CHN,2024,PRD,1.21449
BS,WDM,AUS,2024,PRD,0.0352925
BS,WDM,NZL,2024,PRD,1.37612
BS,WDM,KOR,2024,PRD,0.00411501
BS,WDM,IND,2024,PRD,0.00553047
BS,WDM,ROW,2024,PRD,0.648452
BS,ODA,USA,2024,PRD,0.68064
BS,ODA,E15,2024,PRD,2.4089
BS,ODA,JPN,2024,PRD,0.0193365
BS,ODA,CAN,2024,PRD,0.0429752
BS,ODA,MEX,2024,PRD,0.0617721
BS,ODA,BRZ,2024,PRD,0.0136008
