elasticity_type,demand_good,shock_good,estimate,delta_se,delta_p,ci_low,ci_high,bootstrap_mean,bootstrap_se,bootstrap_p,bootstrap_reps_successful,bootstrap_reps_failed
expenditure,1,0,.449012964963913,.15592445,.0039807563,.0098980563,.8014344,.54484248,.21862915,.039998412,15,4
marshallian,1,1,-.3328574895858765,.069319002,1.5722882e-06,-.45733064,-.11127537,-.34246236,.088667572,.00017403933,15,4
hicksian,1,1,-.2411437928676605,.060011756,.00005862553,-.34161952,-.087744437,-.22967455,.073375985,.0010147208,15,4
marshallian,1,2,-.0485767684876919,.02199949,.027238268,-.14771026,-.0090499036,-.064126357,.038462065,.20659682,15,4
hicksian,1,2,-.0159467216581106,.022180153,.47216338,-.14397435,.01966694,-.034527253,.045604438,.72658277,15,4
marshallian,1,3,.0392732284963131,.086351395,.649248,-.17996798,.19569533,.0014644265,.10773756,.71546465,15,4
hicksian,1,3,.1953797042369843,.066377707,.0032457239,.0029877429,.29970789,.18925197,.087732062,.025946971,15,4
marshallian,1,4,-.0316921211779118,.02884569,.27190858,-.077007405,.051311161,-.030448932,.035306863,.36938855,15,4
hicksian,1,4,.0005052325432189,.026907554,.98501933,-.047989745,.052068844,.0083632628,.033104215,.98782325,15,4
marshallian,1,5,-.0934052914381027,.034280173,.0064347978,-.14524864,.026006985,-.09014038,.047721047,.050310023,15,4
hicksian,1,5,-.0387301556766033,.030515229,.2043671,-.09576495,.047228895,-.023170996,.037228648,.29818565,15,4
marshallian,1,6,.0182454753667116,.050576594,.71828681,-.13790186,.22656016,-.019128896,.097453997,.85148704,15,4
hicksian,1,6,.0999357327818871,.041056447,.014928635,.014992305,.27823326,.089757569,.069951206,.1531051,15,4
expenditure,2,0,.6212623119354248,.14908147,.000030827272,-.35009634,1.8372182,.76110101,.60129112,.30150384,15,4
marshallian,2,1,-.1717183589935303,.065671578,.0089278435,-2.0743208,.17040834,-.3928569,.55119205,.75539017,15,4
hicksian,2,1,-.0448216535151005,.06721957,.50490326,-1.7401751,.098603718,-.23527201,.46715346,.92356318,15,4
marshallian,2,2,-.3865070939064026,.17944109,.031244125,-.90790069,-.039039921,-.30714178,.25330675,.12704822,15,4
hicksian,2,2,-.341359555721283,.16687948,.040801097,-.85643774,-.028347386,-.2698203,.24508053,.1636662,15,4
marshallian,2,3,.1819766163825989,.11801702,.12308517,-.72919989,.81488526,.068282463,.33446342,.58638281,15,4
hicksian,2,3,.3979683220386505,.12009981,.00092087808,-.10837028,1.3987887,.33016267,.33681291,.23737602,15,4
