demographic,effect_type,good,effect,n_valid
hhsize,elasticity,1,.274537565719055,3181
hhsize,elasticity,2,.2172760604182229,3170
hhsize,elasticity,3,-.2095190761322256,3179
hhsize,elasticity,4,.23109396758439,3161
hhsize,elasticity,5,.1144764679850363,3153
hhsize,elasticity,6,-.196691933506419,3164
child_ratio,0-to-1 discrete,1,-.246729492634719,3184
child_ratio,0-to-1 discrete,2,-.3104865451466126,3171
child_ratio,0-to-1 discrete,3,.0346512175209525,3179
child_ratio,0-to-1 discrete,4,.2185620874914937,3160
child_ratio,0-to-1 discrete,5,-.2799132459300306,3155
child_ratio,0-to-1 discrete,6,.4902195949218351,3159
elderly_ratio,0-to-1 discrete,1,.0676063293021369,3181
elderly_ratio,0-to-1 discrete,2,.3277007677132014,3168
elderly_ratio,0-to-1 discrete,3,-.0656975650008856,3180
elderly_ratio,0-to-1 discrete,4,-.0697523757818502,3162
elderly_ratio,0-to-1 discrete,5,.0027886857579268,3153
elderly_ratio,0-to-1 discrete,6,.0031498358950402,3164
female_head,0-to-1 discrete,1,-.0579307905992333,3183
female_head,0-to-1 discrete,2,-.1043435495700085,3174
female_head,0-to-1 discrete,3,.1147338465500904,3176
female_head,0-to-1 discrete,4,-.0801463128315424,3162
female_head,0-to-1 discrete,5,-.1121979390776122,3155
female_head,0-to-1 discrete,6,.016540912663802,3164
head_no_education,0-to-1 discrete,1,.1262924631249849,3181
head_no_education,0-to-1 discrete,2,-.2469732888418139,3174
head_no_education,0-to-1 discrete,3,-.0673111197613662,3179
head_no_education,0-to-1 discrete,4,.2739389449489025,3158
head_no_education,0-to-1 discrete,5,.0516937150897309,3153
head_no_education,0-to-1 discrete,6,-.1313936186607144,3168
head_primary_education,0-to-1 discrete,1,.0759366450039623,3177
head_primary_education,0-to-1 discrete,2,-.0617408530539367,3170
head_primary_education,0-to-1 discrete,3,-.0587329473653341,3180
head_primary_education,0-to-1 discrete,4,.2774915156437012,3147
head_primary_education,0-to-1 discrete,5,.1218822582970378,3149
head_primary_education,0-to-1 discrete,6,-.1259692478695956,3173
age_missing,0-to-1 discrete,1,-.0273224980395769,3184
age_missing,0-to-1 discrete,2,-.1714133467230232,3179
age_missing,0-to-1 discrete,3,.0003190888218072,3179
age_missing,0-to-1 discrete,4,-.0874797909338387,3165
age_missing,0-to-1 discrete,5,-.1233382503231734,3158
age_missing,0-to-1 discrete,6,.1556679221029342,3159
female_head_missing,0-to-1 discrete,1,-.1303612913361296,3182
female_head_missing,0-to-1 discrete,2,-1.234452444789936,3175
female_head_missing,0-to-1 discrete,3,.1885081384004098,3177
female_head_missing,0-to-1 discrete,4,-1.70923676531297,3171
female_head_missing,0-to-1 discrete,5,.1485860369439546,3149
female_head_missing,0-to-1 discrete,6,.5975731560513887,3148
education_missing,0-to-1 discrete,1,.0828296805172322,3179
education_missing,0-to-1 discrete,2,4.623836795814085,3120
education_missing,0-to-1 discrete,3,-.1354411724231328,3180
education_missing,0-to-1 discrete,4,3.382125750162206,2922
education_missing,0-to-1 discrete,5,-.1743058211591368,3153
education_missing,0-to-1 discrete,6,-.5272901717424925,3165
province_2,0-to-1 discrete,1,.0042783915320727,3181
province_2,0-to-1 discrete,2,-.5188133178535551,3171
province_2,0-to-1 discrete,3,.1479820091527185,3179
province_2,0-to-1 discrete,4,.4287721759790338,3145
province_2,0-to-1 discrete,5,-.1311103474771616,3153
province_2,0-to-1 discrete,6,-.1607230297181831,3164
province_3,0-to-1 discrete,1,-.7390136722209419,3182
province_3,0-to-1 discrete,2,.0491906887929663,3170
province_3,0-to-1 discrete,3,.9624176545178879,3172
province_3,0-to-1 discrete,4,-.28999307463744,3161
province_3,0-to-1 discrete,5,-.8590544611697297,3186
province_3,0-to-1 discrete,6,.5969396192784435,3145
province_4,0-to-1 discrete,1,-.098467033928583,3181
province_4,0-to-1 discrete,2,-.4562253216680174,3173
province_4,0-to-1 discrete,3,-.1439159159802711,3184
province_4,0-to-1 discrete,4,.4508646966904716,3161
province_4,0-to-1 discrete,5,.464777323898194,3153
province_4,0-to-1 discrete,6,-.0506146805633461,3164
province_5,0-to-1 discrete,1,-.7156932731020795,3195
province_5,0-to-1 discrete,2,-.2566813796042817,3175
province_5,0-to-1 discrete,3,1.04185599724974,3162
province_5,0-to-1 discrete,4,-.5210626330712108,3166
province_5,0-to-1 discrete,5,-.3837563862701538,3153
province_5,0-to-1 discrete,6,.2248926885220166,3156
province_6,0-to-1 discrete,1,-.3090877451116779,3181
province_6,0-to-1 discrete,2,-.4528268181500764,3170
province_6,0-to-1 discrete,3,.5361610733616211,3174
province_6,0-to-1 discrete,4,-.2926555547027633,3168
province_6,0-to-1 discrete,5,-.4107295614339336,3156
province_6,0-to-1 discrete,6,.1245610658090493,3155
province_7,0-to-1 discrete,1,-.8474389778393113,3181
province_7,0-to-1 discrete,2,-.3706654428677577,3170
province_7,0-to-1 discrete,3,1.50984065335581,3175
province_7,0-to-1 discrete,4,-.4187864572874716,3162
province_7,0-to-1 discrete,5,-.976080026545772,3153
province_7,0-to-1 discrete,6,.7275180954620115,3137
province_8,0-to-1 discrete,1,-.1568936120523758,3181
province_8,0-to-1 discrete,2,-.7804439182534335,3189
province_8,0-to-1 discrete,3,.2083951911520447,3177
province_8,0-to-1 discrete,4,-.431794505449119,3173
province_8,0-to-1 discrete,5,-.5514967558918719,3155
province_8,0-to-1 discrete,6,.7350867455700182,3161
