good,scale,latent_parameter,latent_std_error,precommitted_quantity,std_error,statistic,p_value
1,.2958734391639247,.070939459,28.371244,.020953964,8.3521957,.0025087972,.9979983
2,.118798816027227,-.13474452,7.7468967,-.015911311,.90381294,-.017604651,.98595423
3,.0731294137585233,-1.5777422,174.68936,-.06715098,2.0033591,-.033519194,.97326058
4,.124385626640291,-.13733158,8.5048075,-.016975489,1.0381725,-.016351318,.98695409
5,.5694532379803229,-.29783732,12.634164,-.16476117,6.5922861,-.024993025,.98006052
6,.1960973119675171,-.42904782,31.489975,-.079326317,5.1646018,-.015359619,.98774529
