good,N,observed_mean,fitted_mean,rmse,mae,correlation,negative_fitted_rate
1,3200,.2250993143772149,.22421516,.15499158,.11872938,.29459724,.0059374999
2,3200,.0420443337345849,.042220406,.060895793,.034835204,.35420904,.0093750004
3,3200,.282120906061064,.28390306,.19234401,.15509339,.24987602,.0065624998
4,3200,.0728098000950437,.072661273,.092166066,.06047941,.2169297,.0121875
5,3200,.1389125793861614,.13888648,.114218,.082372434,.32233375,.0146875
6,3200,.2390130663459311,.23811361,.16662176,.13095436,.37972221,.01125
