evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,hicksian,3,5,.3483892844306221,.015329694,.026561875,.57713151,.56385064,-.036730625,.06739001
sample_average,hicksian,3,6,.3483892844306221,.10465052,.043152116,2.4251537,.015301906,.020073922,.18922712
sample_average,hicksian,4,1,.0793858057825335,-.070735343,.11787481,-.60008878,.54844707,-.30176571,.16029502
sample_average,hicksian,4,2,.0793858057825335,.28473318,.1252068,2.2741032,.02295978,.039332371,.53013402
sample_average,hicksian,4,3,.0793858057825335,.098715924,.22377828,.44113272,.65911692,-.33988145,.53731328
sample_average,hicksian,4,4,.0793858057825335,-.43643677,.18869783,-2.312887,.020728851,-.80627769,-.066595815
sample_average,hicksian,4,5,.0793858057825335,.23290336,.096656039,2.40961,.01596958,.043461006,.42234573
sample_average,hicksian,4,6,.0793858057825335,-.10918036,.13343951,-.81820112,.41324234,-.37071702,.15235628
sample_average,hicksian,5,1,.1206137492291449,-.0024997883,.082324028,-.030365232,.97577578,-.16385192,.15885234
sample_average,hicksian,5,2,.1206137492291449,-.022579934,.044934858,-.50250375,.61531323,-.11065064,.065490767
sample_average,hicksian,5,3,.1206137492291449,.044279374,.076592676,.57811499,.56318647,-.10583951,.19439827
sample_average,hicksian,5,4,.1206137492291449,.15329282,.063565791,2.4115617,.015884368,.028706159,.27787948
sample_average,hicksian,5,5,.1206137492291449,-.27364761,.080075003,-3.4173911,.00063224387,-.4305917,-.11670347
sample_average,hicksian,5,6,.1206137492291449,.10115512,.064924948,1.5580317,.11922573,-.026095431,.22840568
sample_average,hicksian,6,1,.2483373725296764,.01063476,.045076516,.23592685,.81348944,-.077713586,.098983102
sample_average,hicksian,6,2,.2483373725296764,.10874027,.028507987,3.814379,.00013652581,.052865639,.1646149
sample_average,hicksian,6,3,.2483373725296764,.14681286,.057172403,2.5678971,.010231749,.034757003,.25886872
sample_average,hicksian,6,4,.2483373725296764,-.034901597,.041726872,-.83642977,.40291318,-.11668476,.046881568
sample_average,hicksian,6,5,.2483373725296764,.049129531,.03041227,1.6154511,.10621306,-.01047742,.10873649
sample_average,hicksian,6,6,.2483373725296764,-.28041583,.066956751,-4.188014,.000028140594,-.41164863,-.14918301
