category,category_label,monthly_purchase_value,expenditure_weight,matched_item_fields,included_in_index
1,melons,80590.16671327298,0.3572330722599198,2,1
2,citrus,6357.095824674809,0.028179180720385194,2,1
3,berries_and_other_fresh,39942.28655336312,0.17705268918613584,2,1
4,pome_and_stone_fruit,64032.05768802967,0.2838357286491618,2,1
5,nuts_and_seeds,24692.817854567467,0.10945617244254849,2,1
6,canned_preserved_fruit,6374.434176610106,0.02825603665681484,2,1
7,other_dried_fruit,3606.622043046921,0.015987120085033946,2,1
0,unclassified_placeholder,904.2018118796042,0.003992066572628144,2,0
