demand_good,shock_good,original_hicksian,projected_hicksian,adjustment,original_max_eigenvalue,projected_max_eigenvalue,frobenius_adjustment
1,1,-.196417300278748,-.31075215,-.11433486,.0084240893,1.8740177e-17,.10070153
1,2,-.0057185023955892,.14044172,.14616023,.0084240893,1.8740177e-17,.10070153
1,3,.124423601021082,.025974331,-.098449267,.0084240893,1.8740177e-17,.10070153
1,4,.0102851531510917,-.033883993,-.044169147,.0084240893,1.8740177e-17,.10070153
1,5,-.0153895506034277,.10893952,.12432908,.0084240893,1.8740177e-17,.10070153
1,6,.0828165991055912,.06928058,-.01353602,.0084240893,1.8740177e-17,.10070153
2,1,-.0167767757066086,.41202384,.42880061,.0084240893,1.8740177e-17,.10070153
2,2,-.3115145826115439,-.36171564,-.050201077,.0084240893,1.8740177e-17,.10070153
2,3,.3587543886419359,.16124654,-.19750786,.0084240893,1.8740177e-17,.10070153
2,4,.0566758825714064,.075560167,.018884286,.0084240893,1.8740177e-17,.10070153
2,5,-.041130959516281,-.18794943,-.14681847,.0084240893,1.8740177e-17,.10070153
2,6,-.0460079533789088,-.099165447,-.053157493,.0084240893,1.8740177e-17,.10070153
3,1,.077287620896393,.016134351,-.06115327,.0084240893,1.8740177e-17,.10070153
3,2,.0759588190407363,.034140617,-.041818202,.0084240893,1.8740177e-17,.10070153
3,3,-.1882843410471049,-.051373292,.13691105,.0084240893,1.8740177e-17,.10070153
3,4,.0250134453406614,.0094707506,-.015542695,.0084240893,1.8740177e-17,.10070153
3,5,.050873468196483,.005118838,-.04575463,.0084240893,1.8740177e-17,.10070153
3,6,-.0408490124271689,-.013491266,.027357746,.0084240893,1.8740177e-17,.10070153
4,1,.0296699751558254,-.097746454,-.12741643,.0084240893,1.8740177e-17,.10070153
4,2,.0557286497333227,.074297316,.01856867,.0084240893,1.8740177e-17,.10070153
4,3,.1161643221717704,.043982878,-.072181448,.0084240893,1.8740177e-17,.10070153
4,4,-.1738005645161985,-.37412995,-.20032939,.0084240893,1.8740177e-17,.10070153
4,5,.0581456259945444,.1346266,.076480962,.0084240893,1.8740177e-17,.10070153
4,6,-.0859080085392645,.21896963,.30487764,.0084240893,1.8740177e-17,.10070153
5,1,-.025567965575046,.18099047,.20655844,.0084240893,1.8740177e-17,.10070153
5,2,-.0232923273417556,-.10643514,-.083142817,.0084240893,1.8740177e-17,.10070153
5,3,.136067500860389,.013690977,-.12237652,.0084240893,1.8740177e-17,.10070153
5,4,.0334873565058156,.077534445,.044047084,.0084240893,1.8740177e-17,.10070153
5,5,-.2034419382906547,-.1383961,.065045841,.0084240893,1.8740177e-17,.10070153
5,6,.0827473738412518,-.027384644,-.11013202,.0084240893,1.8740177e-17,.10070153
6,1,.0941388922956606,.078752294,-.015386601,.0084240893,1.8740177e-17,.10070153
6,2,-.0178261852431688,-.038422521,-.020596337,.0084240893,1.8740177e-17,.10070153
6,3,-.0747525617942611,-.024688644,.050063919,.0084240893,1.8740177e-17,.10070153
6,4,-.0338515784203165,.086283781,.12013536,.0084240893,1.8740177e-17,.10070153
6,5,.0566155429049604,-.018736504,-.07535205,.0084240893,1.8740177e-17,.10070153
6,6,-.0243241097428745,-.0831884,-.058864292,.0084240893,1.8740177e-17,.10070153
