elasticity_type,demand_good,shock_good,elasticity,std_dev,p10,p50,p90,n_valid
expenditure,1,0,.5517728429779196,.18409452,.39270514,.58697861,.69610047,3200
expenditure,2,0,.6107280269757279,1.7582994,.44721228,.79804033,.88822794,3173
expenditure,3,0,1.465218682803729,.1920884,1.3342061,1.420729,1.6405156,3199
expenditure,4,0,.924313256982328,.097808823,.89157355,.93803263,.95688277,3192
expenditure,5,0,.6693193991481784,12.40957,.87106365,.92511851,.95034927,3182
expenditure,6,0,.9669564307158198,.062799409,.95257699,.97437382,.98105794,3200
marshallian,1,1,-.253360520962558,.30368575,-.48321712,-.31950781,.023290595,3200
hicksian,1,1,-.1203029405615099,.25941488,-.28087249,-.18631586,.08483801,3200
marshallian,2,1,-.4815667023165974,2.0324075,-.68186802,-.26220286,-.14604074,3173
hicksian,2,1,-.344148912629508,2.3844998,-.60216826,-.09142787,.076393932,3173
marshallian,3,1,-.197345570550342,.11472289,-.30396986,-.17475772,-.10562014,3199
hicksian,3,1,.1345111198601548,.10062027,.0087982817,.14463802,.2471973,3199
marshallian,4,1,-.2532335522089174,.33078244,-.36473751,-.20761965,-.14472669,3192
hicksian,4,1,-.0455779598500162,.35346001,-.17252366,-.0019613367,.090863533,3192
marshallian,5,1,-1.226063235286792,46.733227,-.46416545,-.26788855,-.17487964,3182
hicksian,5,1,-1.069420159742812,49.182098,-.25971738,-.064283125,.041106321,3182
marshallian,6,1,-.2150800927355732,.41455019,-.30988073,-.16764551,-.12318353,3200
hicksian,6,1,.0020816463428437,.42879653,-.10396817,.033226926,.12648055,3200
marshallian,1,2,-.0405000840685835,.018747611,-.058443453,-.038743917,-.02226349,3200
hicksian,1,2,-.0171810631627903,.031622034,-.049476743,-.017526189,.020815697,3200
marshallian,2,2,1.090927590114131,9.4245701,-.39464667,.088205762,1.9691074,3173
hicksian,2,2,1.125267679447972,9.4198046,-.3302412,.12004694,1.9756521,3173
marshallian,3,2,-.0503824480070596,.020933233,-.072146051,-.045237336,-.0344918,3199
hicksian,3,2,.010487438130219,.0305617,-.023674259,.009314117,.046676025,3199
marshallian,4,2,-.0764096578168244,.098878324,-.109231,-.062731564,-.043417789,3192
hicksian,4,2,-.0374994052982725,.1056358,-.077304222,-.026706975,.010792335,3192
marshallian,5,2,-.0069163255205458,.25107536,-.0046780887,-.0017109779,.00048602265,3182
hicksian,5,2,.0177150096804181,.96532977,.0084426301,.033929538,.066832714,3182
marshallian,6,2,-.0891851678596574,.16885418,-.12731802,-.069533996,-.051469687,3200
hicksian,6,2,-.0487714083225018,.17129502,-.08287096,-.034945857,-.008422724,3200
marshallian,1,3,.007468458551519,.079017647,-.091849446,.014892544,.10009727,3200
hicksian,1,3,.1609401107612146,.12528746,.013794196,.17555024,.29527277,3200
marshallian,2,3,-.3117779405823561,1.5588624,-.47742122,-.14596011,-.067263134,3173
hicksian,2,3,-.1406464078219496,2.1614757,-.36013389,.066460676,.2299577,3173
marshallian,3,3,-.6014025642716223,.24362741,-.77593833,-.65260577,-.38082731,3199
hicksian,3,3,-.197967172800016,.20011847,-.32086909,-.22754492,-.063077778,3199
marshallian,4,3,-.2883948353440235,.36750859,-.41395667,-.23565918,-.16073143,3192
hicksian,4,3,-.0276912608960056,.40251935,-.17806222,.020627236,.14976287,3192
marshallian,5,3,-.4968051970202966,17.815716,-.20763035,-.12213363,-.088620953,3182
hicksian,5,3,-.3165332478345005,21.649015,.011768583,.12612209,.22340323,3182
marshallian,6,3,-.3290777627937269,.61017507,-.47110334,-.25511247,-.1907426,3200
hicksian,6,3,-.0568613170570352,.6264804,-.16981129,-.0020277339,.086009599,3200
marshallian,1,4,-.04483355442886,.020414623,-.064169005,-.041316476,-.027449155,3200
hicksian,1,4,-.004987877341701,.037860993,-.044954482,-.00067629985,.033213958,3200
marshallian,2,4,-.197833433468174,.89378148,-.28232926,-.10378338,-.056616999,3173
hicksian,2,4,-.1531643540734139,1.0118508,-.25486454,-.049443562,.016359575,3173
marshallian,3,4,-.1042233679951062,.044805259,-.14077578,-.095886551,-.070351548,3199
hicksian,3,4,.0024302489224128,.03942544,-.039462976,.0051630437,.043493271,3199
marshallian,4,4,.0577715858841901,1.3610513,-.39555949,-.13336071,.51369709,3192
hicksian,4,4,.1263188077726156,1.3505358,-.29608092,-.065518104,.55054462,3192
marshallian,5,4,-.2361775202841417,8.8372841,-.093121283,-.054327115,-.035551988,3182
hicksian,5,4,-.1922952534783208,9.9792166,-.040768947,.0079620257,.047763299,3182
marshallian,6,4,-.0764252229429454,.1448725,-.10932011,-.059309531,-.044019792,3200
hicksian,6,4,-.006100838198961,.15123522,-.048708338,.0078875776,.040284339,3200
marshallian,1,5,-.1244319006555174,.042245444,-.16940285,-.11711058,-.083564512,3200
hicksian,1,5,-.0504501035019142,.077999495,-.12704214,-.042388495,.030036932,3200
marshallian,2,5,.0258660556163349,.19851089,-.0017421795,.0096987374,.050087336,3173
hicksian,2,5,.1099011907103571,.12158562,.047506284,.11650752,.18991576,3173
marshallian,3,5,-.14472412142963,.082495555,-.22121884,-.12413281,-.089738749,3199
