group,statistic,value
1,rep_five_MAD_outliers,9
1,range_five_MAD_outliers,3
1,combined_direct_five_MAD_outliers,5
1,representative_direct_villages,222
1,calibrated_midrange_villages,79
1,villages_without_direct_quote,60
1,invalid_representative_quotes,10
1,invalid_high_low_quotes,5
1,outlets_high_below_low,51
1,midrange_log_calibration,-.2950333640950953
2,rep_five_MAD_outliers,2
2,range_five_MAD_outliers,0
2,combined_direct_five_MAD_outliers,0
2,representative_direct_villages,166
2,calibrated_midrange_villages,78
2,villages_without_direct_quote,117
2,invalid_representative_quotes,1
2,invalid_high_low_quotes,0
2,outlets_high_below_low,27
2,midrange_log_calibration,-.3222603345598939
3,rep_five_MAD_outliers,3
3,range_five_MAD_outliers,6
3,combined_direct_five_MAD_outliers,1
3,representative_direct_villages,159
3,calibrated_midrange_villages,93
3,villages_without_direct_quote,109
3,invalid_representative_quotes,2
3,invalid_high_low_quotes,6
3,outlets_high_below_low,16
3,midrange_log_calibration,-.1271022436150338
4,rep_five_MAD_outliers,2
4,range_five_MAD_outliers,7
4,combined_direct_five_MAD_outliers,0
4,representative_direct_villages,163
4,calibrated_midrange_villages,120
4,villages_without_direct_quote,78
4,invalid_representative_quotes,3
4,invalid_high_low_quotes,2
4,outlets_high_below_low,16
4,midrange_log_calibration,-.033461951508688
5,rep_five_MAD_outliers,0
5,range_five_MAD_outliers,1
5,combined_direct_five_MAD_outliers,0
5,representative_direct_villages,172
5,calibrated_midrange_villages,45
5,villages_without_direct_quote,144
5,invalid_representative_quotes,3
5,invalid_high_low_quotes,2
5,outlets_high_below_low,2
5,midrange_log_calibration,-.4430478192572072
6,rep_five_MAD_outliers,7
6,range_five_MAD_outliers,1
6,combined_direct_five_MAD_outliers,0
6,representative_direct_villages,133
6,calibrated_midrange_villages,64
6,villages_without_direct_quote,164
6,invalid_representative_quotes,3
6,invalid_high_low_quotes,1
6,outlets_high_below_low,2
6,midrange_log_calibration,.0375888076133984
