specification,elasticity_type,demand_good,shock_good,elasticity,std_dev,p10,p50,p90,n_valid
expenditure_exogenous,expenditure,1,0,.9168663609943644,.035318241,.88724822,.9228881,.94296533,3200
expenditure_exogenous,expenditure,2,0,.8102308563418168,.43504819,.68589401,.88092571,.9335407,3166
expenditure_exogenous,expenditure,3,0,1.03829902648716,.013117858,1.0275128,1.0351558,1.0525011,3200
expenditure_exogenous,expenditure,4,0,.9567079648102836,.032702189,.93617797,.96363419,.97477889,3192
expenditure_exogenous,expenditure,5,0,1.045571590105189,.096114695,1.0238557,1.0357907,1.0616374,3173
expenditure_exogenous,expenditure,6,0,1.048995260525441,.053286582,1.027916,1.0382483,1.0725417,3200
expenditure_exogenous,hicksian,1,1,-.0945824774841679,.25541961,-.23595168,-.14780827,.07858672,3200
expenditure_exogenous,hicksian,1,2,-.0055627474821845,.031923898,-.039818227,-.0049321637,.030848103,3200
expenditure_exogenous,hicksian,1,3,.138931634858233,.084798269,.041148208,.14670941,.22949648,3200
expenditure_exogenous,hicksian,1,4,-.0086359855820704,.043117292,-.051701549,-.0037408541,.032594141,3200
expenditure_exogenous,hicksian,1,5,-.039909183546836,.079238854,-.11147429,-.033574168,.036326095,3200
expenditure_exogenous,hicksian,1,6,.009758759218169,.1103355,-.10283723,.020305233,.12691715,3200
expenditure_exogenous,hicksian,2,1,-.1636697127105944,.89217269,-.43324542,-.025278604,.11915083,3166
expenditure_exogenous,hicksian,2,2,.7204872051451906,3.8475626,-.3439447,.092059523,1.7859095,3166
expenditure_exogenous,hicksian,2,3,-.0163589994936198,.69742823,-.24035689,.083212316,.23829728,3166
expenditure_exogenous,hicksian,2,4,-.1127773415922227,.42752442,-.23369628,-.048227224,.017820233,3166
expenditure_exogenous,hicksian,2,5,.0269608793576097,.26253992,-.060922246,.059395492,.13731624,3166
expenditure_exogenous,hicksian,2,6,-.4546420307483826,1.5806804,-.85267401,-.20211896,-.037915777,3166
expenditure_exogenous,hicksian,3,1,.1108467940787325,.063593544,.031207124,.11261172,.18351781,3200
expenditure_exogenous,hicksian,3,2,.0134801092120305,.026557945,-.016888158,.011216468,.046917159,3200
