model,order,gmm_steps,return_code,N,parameters,converged,J,J_df,J_p,rss,aic,bic,Engel_order_p,precommitment_p,raw_bic_minimum,family_test_preferred,bic_preferred,easi_order_preferred
aids,1,1,0,3118,106,1,100.73566,19,,404.99536,-56699.441,-55888.074,,,0,1,0,0
easi,1,1,0,3118,106,1,.26870757,19,,397.09335,-57006.629,-56195.266,,,1,1,1,1
easi,2,1,430,3118,111,0,.31979969,24,,,,,,,0,0,0,0
easi,3,1,0,3118,116,1,1.2252945,29,,105776062464,245465.89,246353.81,.0051154746,,0,0,0,0
quaids,2,1,0,3118,111,1,296.98663,24,,1057.8081,-41721.816,-40872.18,.081685811,,0,0,0,0
