model,order,gmm_steps,return_code,N,parameters,converged,J,J_df,J_p,rss,aic,bic,Engel_order_p,precommitment_p,raw_bic_minimum,family_test_preferred,bic_preferred,easi_order_preferred
aids,1,1,0,3118,106,1,105.26036,19,,404.86194,-56704.578,-55893.215,,,0,1,0,0
easi,1,1,0,3118,106,1,.30361038,19,,398.88461,-56936.461,-56125.098,,,1,1,1,1
easi,2,1,430,3118,111,0,.33416432,24,,,,,,,0,0,0,0
easi,3,1,0,3118,116,1,1.2840285,29,,208923312,148385.22,149273.13,.0022098895,,0,0,0,0
quaids,2,1,0,3118,111,1,319.72913,24,,1024.4807,-42220.898,-41371.262,.25135589,,0,0,0,0
