group,households,positive_unit_values,mean,p50,p99,positive_self_unit_values,self_price_mean,self_price_p50,self_price_p99,purchase_consumed_mean,self_consumed_mean,gift_consumed_mean
1,3565,3402,3.243659728263323,2.7777777777777777,11.589999999999979,1810,3.8888990556464162,2.3,34.61465517241414,43.96176188084869,332.524950167173,3.4505584760285273
2,3565,2655,4.619137060215785,4.0,16.460952380952396,585,4.927097122388818,4.0,26.225350318471197,4.692059226131104,2.1375514704898,0.15134275249469414
3,3565,2971,15.522880701514072,13.399999999999999,46.4545454545455,1046,21.986707773127506,19.924242424242422,69.59999999999975,20.12193574797104,8.50068125992195,2.182480746550707
4,3565,2216,8.987426323642634,7.985196078431374,30.000000000000004,760,12.678513150493606,10.0,50.819999999999936,6.909150387403429,5.418176359491536,0.4842222219361859
5,3565,2982,4.573161096996457,3.583333333333333,20.0,1948,3.2774395287692455,2.5555555555555554,15.0,16.1124340969811,32.00763188256464,1.247660246324412
6,3565,2873,3.3771800883515115,2.727272727272727,13.035000000000025,610,5.20198777921429,3.0,30.0,23.633351219178593,8.28008375172429,1.4724558293532781
