group,source,villages
1,own village median: at least 3 producers,267
1,same-town other eligible-village median,64
1,nearest eligible producer village in county,21
1,retail times province median eligible-village wedge,9
2,own village median: at least 3 producers,87
2,same-town other eligible-village median,73
2,nearest eligible producer village in county,111
2,retail times province median eligible-village wedge,63
2,retail times survey-year median eligible-village wedge,27
3,own village median: at least 3 producers,159
3,same-town other eligible-village median,52
3,nearest eligible producer village in county,24
3,retail times province median eligible-village wedge,81
3,retail times survey-year median eligible-village wedge,45
4,own village median: at least 3 producers,121
4,same-town other eligible-village median,72
4,nearest eligible producer village in county,60
4,retail times province median eligible-village wedge,72
4,retail times survey-year median eligible-village wedge,36
5,own village median: at least 3 producers,283
5,same-town other eligible-village median,69
5,nearest eligible producer village in county,9
6,own village median: at least 3 producers,96
6,same-town other eligible-village median,94
6,nearest eligible producer village in county,63
6,retail times province median eligible-village wedge,108
