diagnostic,value,threshold,passed
adding_up_max_abs_error,0,9.9999999e-09,1
positive_fitted_share_rate,.98375,1,0
positive_expenditure_elasticities,.9896584142901912,1,0
negative_hicksian_own_elasticities,.6981614958738117,1,0
slutsky_symmetry_max_abs_error,1.53930687641e-14,.000099999997,1
slutsky_max_eigenvalue,.0086772434569092,0,0
adding_up_homogeneity_symmetry_imposed,1,1,1
