margin,demand_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,n_valid,support_rate,min_share_floor,system,analysis_sample,structural_interpretation,interpretation
unconditional,2,-.7154153,.10977769,.14668278,.15774398,14.727664,-.80612576,.55259037,.88008404,.19834115,.024882799,2773,.88963747,0,purchase,full,1,expenditure
unconditional,3,1.0185229,1.0591755,1.0579592,1.0186739,.069220446,.92695177,1.0277591,1.1010206,0,0,2773,.88963747,0,purchase,full,1,expenditure
unconditional,4,1.0797733,1.0550897,1.0566593,1.0793606,.036857523,1.0308255,1.0804114,1.1288083,0,0,2773,.88963747,0,purchase,full,1,expenditure
unconditional,5,1.2364395,1.2199334,1.2177953,1.216372,.34844616,.99610698,1.2047231,1.4126463,.00072124053,0,2773,.88963747,0,purchase,full,1,expenditure
unconditional,6,1.2418463,1.0907186,1.0922602,1.1970452,.97884434,1.0048696,1.1248046,1.4826357,.00072124053,0,2773,.88963747,0,purchase,full,1,expenditure
unconditional,1,-.25573817,-.18423747,-.20960227,-.26496789,.16499382,-.36878404,-.30084157,-.10769401,.95131624,.029570863,2773,.88963747,0,purchase,full,1,hicksian_own
unconditional,2,2.0227606,.64552623,.58516645,.58455718,24.500317,-.51075983,-.093515411,2.0907264,.56292826,.060223583,2773,.88963747,0,purchase,full,1,hicksian_own
unconditional,3,-.22311589,-.18575613,-.18914498,-.22495304,.0843357,-.33470953,-.21537781,-.14260276,.98773891,.015867291,2773,.88963747,0,purchase,full,1,hicksian_own
unconditional,4,-.49228564,-.40293124,-.41688022,-.50748771,.3304157,-.77827775,-.54965097,-.16587575,.94771004,.017309774,2773,.88963747,0,purchase,full,1,hicksian_own
unconditional,5,.14279553,-.15340126,-.15980953,.022382658,1.7123957,-.41106009,-.18071303,.69114304,.67760551,.070681572,2773,.88963747,0,purchase,full,1,hicksian_own
unconditional,6,.16807212,-.032546852,-.034465928,.060219914,1.8244586,-.16474137,-.082981259,.40818346,.67472053,.15975478,2773,.88963747,0,purchase,full,1,hicksian_own
latent,1,-.48332235,-.23979068,-.23979068,-.48332235,2.0819025,-1.3273077,.068143018,.336739,.37777779,.088888891,45,.015603329,0,self,full,0,expenditure
latent,2,.91322899,.92331535,.92331535,.91322899,.043029588,.82816619,.92635411,.95335698,0,0,45,.015603329,0,self,full,0,expenditure
latent,3,9.6882553,5.1455722,5.1455722,9.6882553,12.845164,2.6755097,5.3973098,26.021709,0,0,45,.015603329,0,self,full,0,expenditure
latent,4,14.915938,2.2257183,2.2257183,14.915938,77.340622,1.5159788,2.0959184,4.3854318,0,0,45,.015603329,0,self,full,0,expenditure
latent,5,-2.5753341,-1.3002267,-1.2522498,-2.0643494,4.9376206,-4.9412246,-1.0425569,.0024564618,.8888889,.06666667,45,.015603329,0,self,full,0,expenditure
latent,6,-.22105306,.0027947275,-.0021002844,-.19242594,.63686752,-1.01375,-.055318475,.39960471,.51111114,.022222223,45,.015603329,0,self,full,0,expenditure
latent,1,.047612168,-.084013671,-.084013671,.047612168,1.2479451,-.40910274,-.2488196,.58350521,.75555557,.022222223,45,.015603329,0,self,full,0,hicksian_own
latent,2,-.39286119,-.37902582,-.37844133,-.39232817,.033879589,-.41613328,-.40885997,-.34224328,1,0,45,.015603329,0,self,full,0,hicksian_own
latent,3,1.3634526,.19524759,.17882982,1.051627,2.8625462,-.22606857,.32225496,4.5205841,.35555556,.088888891,45,.015603329,0,self,full,0,hicksian_own
latent,4,53.203663,2.4688272,2.4280236,6.7586384,312.35867,.80874532,2.6948586,11.258802,0,0,45,.015603329,0,self,full,0,hicksian_own
latent,5,1.0563785,.22883934,.18261339,.70033205,3.0817063,-.29448241,.045277532,2.5717614,.44444445,.11111111,45,.015603329,0,self,full,0,hicksian_own
latent,6,-.72360158,-.70258433,-.70258433,-.72360158,.050243255,-.78998941,-.7125954,-.65839875,1,0,45,.015603329,0,self,full,0,hicksian_own
unconditional,1,-.55764633,.00072371349,.033972606,.056457616,10.742105,-.9240101,.47035792,.70542705,.21662469,.03190596,1191,.4129681,0,self,full,0,expenditure
unconditional,2,.056316141,.95011973,.9530763,.94095737,27.873796,.80412644,.97552758,1.0364944,.012594459,0,1191,.4129681,0,self,full,0,expenditure
unconditional,3,4.3898745,1.8939804,1.9163369,3.1351113,25.130867,1.7178245,2.2355874,5.4254193,0,0,1191,.4129681,0,self,full,0,expenditure
unconditional,4,1.9277798,1.4431334,1.445593,1.650676,4.4737296,1.3210098,1.444863,2.116817,0,0,1191,.4129681,0,self,full,0,expenditure
unconditional,5,-.76216364,.32874593,.34472021,.21454088,25.188404,-.32090393,.48710743,.70610732,.16288833,.034424853,1191,.4129681,0,self,full,0,expenditure
unconditional,6,1.4088105,1.0724022,1.0820134,1.2921458,5.6906204,-.11301062,1.2673439,2.7116725,.11670865,.012594459,1191,.4129681,0,self,full,0,expenditure
unconditional,1,.44456026,-.086037748,-.11287089,-.1005649,10.347035,-.4758085,-.36056834,.50776333,.83627206,.019311503,1191,.4129681,0,self,full,0,hicksian_own
unconditional,2,3.6852782,-.33978406,-.35555097,-.27807045,123.30354,-.72996378,-.45977843,.38733104,.83627206,.026028547,1191,.4129681,0,self,full,0,hicksian_own
unconditional,3,-.012990467,-.37631389,-.37598577,-.30591559,6.1207266,-.59079951,-.44889927,.058852181,.89084804,.011754828,1191,.4129681,0,self,full,0,hicksian_own
unconditional,4,1.4920037,.30853364,.3124994,.87140739,9.3357573,.1015195,.32603705,2.0784199,.00083963055,.03190596,1191,.4129681,0,self,full,0,hicksian_own
unconditional,5,.27895382,-.25034925,-.25324771,-.17877075,11.648953,-.34453014,-.27062693,-.06729243,.92275399,.020151133,1191,.4129681,0,self,full,0,hicksian_own
unconditional,6,-.32441491,-.73489493,-.71701789,-.46929768,2.9426138,-.97889072,-.58897716,.069095254,.88832915,.020151133,1191,.4129681,0,self,full,0,hicksian_own
latent,1,.5842939,.50849241,.53166282,.60652941,.33177793,.40244284,.65065235,.75721377,.029739777,.010223049,1076,.74566877,0,total,direct_prices,1,expenditure
