model,order,gmm_steps,return_code,N,parameters,converged,J,J_df,J_p,rss,aic,bic,Engel_order_p,precommitment_p,raw_bic_minimum,family_test_preferred,bic_preferred,easi_order_preferred
aids,1,1,0,3200,105,1,123.4554,20,,303.7023,-63218.738,-62412.301,,,0,1,0,0
easi,1,1,0,3200,105,1,.26210904,20,,298.15411,-63513.734,-62707.301,,,1,1,1,1
easi,2,1,430,3200,110,0,.20688888,25,,,,,,,0,0,0,0
easi,3,1,0,3200,115,1,.98142713,30,,1989444992,187922.44,188805.69,.040946044,,0,0,0,0
quaids,2,1,0,3200,110,1,190.50758,25,,555.97473,-53533.938,-52689.102,.17387147,,0,0,0,0
