elasticity_type,demand_good,shock_good,elasticity,std_dev,p10,p50,p90,n_valid
expenditure,1,0,.5311383677282554,.58531719,.26925159,.64576399,.77475119,3181
expenditure,2,0,.7443530532017043,2.8368914,.70246553,.88368374,.9337188,3170
expenditure,3,0,1.401215448877489,2.0088968,1.195914,1.2802001,1.5421579,3179
expenditure,4,0,.5880000503089401,1.2763643,.42932993,.72588736,.81964177,3161
expenditure,5,0,.6205106590474989,1.4012883,.46198803,.75236464,.83365786,3153
expenditure,6,0,1.362932496498199,1.1055297,1.155699,1.2373289,1.5185224,3164
marshallian,1,1,-.1486271218242746,.96800601,-.55729812,-.34067798,.29444116,3181
hicksian,1,1,-.0010346152027867,.92376119,-.28235883,-.19863556,.32040843,3181
marshallian,2,1,-.5531618723584633,6.1084785,-.66625798,-.25134581,-.1376029,3170
hicksian,2,1,-.3821551891893905,6.6691852,-.5491966,-.066609912,.14001301,3170
marshallian,3,1,-.2128283021389306,1.1386969,-.31841516,-.1327471,-.075680189,3179
hicksian,3,1,.1187804894047187,.52312958,.028435972,.13829859,.22956137,3179
marshallian,4,1,-.2756726772781995,.79451138,-.41747442,-.17637995,-.099457964,3161
hicksian,4,1,-.1350292633587487,1.1339238,-.36396196,-.026855415,.16141269,3161
marshallian,5,1,-.3845693475152352,1.4885674,-.56069493,-.24185579,-.15588437,3153
hicksian,5,1,-.2351614935800333,1.6924932,-.49398798,-.091058075,.11078412,3153
marshallian,6,1,-.3210968353857958,1.0903453,-.45896688,-.19946708,-.11873888,3164
hicksian,6,1,-.0002981747181521,.66885793,-.076893993,.049338713,.16154319,3164
marshallian,1,2,-.0479622341162707,.061024647,-.079766698,-.03516404,-.018511102,3181
hicksian,1,2,-.0252194986040575,.088106796,-.074132748,-.011657739,.028409677,3181
marshallian,2,2,1.272955907918798,24.905897,-.41923118,.039915733,1.7041346,3170
hicksian,2,2,1.310945352707996,24.903688,-.3519659,.075662769,1.7148681,3170
marshallian,3,2,-.0450790155589259,.23733994,-.060100425,-.031283729,-.01976159,3179
hicksian,3,2,.0140827265000733,.14254059,-.013046013,.018212244,.051943991,3179
marshallian,4,2,-.0817219587452341,.26107037,-.1174638,-.054408923,-.032800384,3161
hicksian,4,2,-.0561374620077735,.30892819,-.10400029,-.027954634,.015403902,3161
marshallian,5,2,-.0077301862664271,.034389947,-.01709822,-.0056726551,.0025704335,3153
hicksian,5,2,.0182169410100165,.090673506,-.010063811,.022083705,.055155057,3153
marshallian,6,2,-.130529110311147,.42596847,-.1881431,-.082844287,-.053810153,3164
hicksian,6,2,-.0691178238514182,.33626884,-.10049568,-.038084868,-.0091729686,3164
marshallian,1,3,.0269940777690734,.13424675,-.030573217,.0054537668,.080260679,3181
hicksian,1,3,.1556384867894653,.15496853,.043439593,.1731458,.26724893,3181
marshallian,2,3,-.2327356081531692,2.5614223,-.28640667,-.10762014,-.058331907,3170
hicksian,2,3,-.0247850491996964,3.3802774,-.13870865,.12452006,.28640506,3170
marshallian,3,3,-.4221411123549035,3.3045008,-.75826532,-.61881882,-.20729385,3179
hicksian,3,3,-.0557040235691253,3.289165,-.27105159,-.24648452,.02692971,3179
marshallian,4,3,-.2618013589214842,.81039101,-.35958576,-.18243182,-.12163038,3161
hicksian,4,3,-.1085535826720852,1.2140329,-.23980837,-.001224037,.13722722,3161
