sample,outcome,good,price,coefficient,se,p_value,average_elasticity,N,price_joint_p
local_price,own_quantity_ppml,2,own_opportunity,.2221383547404116,.12409505,.073443249,.22213836,2192,.20131141
local_price,own_quantity_ppml,2,community_retail,.0275652753114856,.22289489,.90157706,.027565274,2192,.20131141
external_price,own_quantity_share,2,own_opportunity,.3722457010935111,.15290773,.014914582,.33202565,1465,.023776295
external_price,own_quantity_share,2,community_retail,.3123000481920352,.21281925,.14225568,.27855694,1465,.023776295
external_price,own_quantity_ppml,2,own_opportunity,.4038075035897227,.22117592,.067890964,.40380749,1465,.11315337
external_price,own_quantity_ppml,2,community_retail,.2241764476113361,.30616388,.46404001,.22417645,1465,.11315337
full,own_quantity_share,3,own_opportunity,.3428426444691856,.24325649,.15872064,.28579557,3091,.37030792
full,own_quantity_share,3,community_retail,-.1040639748812849,.25439104,.68248761,-.086748317,3091,.37030792
full,own_quantity_ppml,3,own_opportunity,.2066585597817771,.20524953,.31399968,.20665856,3091,.58431458
full,own_quantity_ppml,3,community_retail,-.1257256123691447,.21696664,.56227225,-.12572561,3091,.58431458
local_price,own_quantity_share,3,own_opportunity,.3372659957115006,.21258453,.11262523,.25581163,2012,.28076544
local_price,own_quantity_share,3,community_retail,.0490144849220819,.25359407,.84674025,.037176814,2012,.28076544
local_price,own_quantity_ppml,3,own_opportunity,.1311871683022287,.17994817,.46598479,.13118717,2012,.63215786
local_price,own_quantity_ppml,3,community_retail,-.1531840261181473,.20261711,.44963294,-.15318403,2012,.63215786
external_price,own_quantity_share,3,own_opportunity,.4827548657899036,.47439343,.30885592,.42740458,649,.20190953
external_price,own_quantity_share,3,community_retail,-.5066068286922678,.33432698,.12969559,-.44852179,649,.20190953
external_price,own_quantity_ppml,3,own_opportunity,1.202171366062815,.40717745,.0031526238,1.2021713,649,.012376172
external_price,own_quantity_ppml,3,community_retail,-.7824509193685951,.37221107,.035538398,-.78245091,649,.012376172
full,own_quantity_share,4,own_opportunity,.9277658804735767,.276813,.00080346595,.67169821,3061,.000018762043
full,own_quantity_share,4,community_retail,.4346338511798514,.22414239,.052489519,.31467289,3061,.000018762043
full,own_quantity_ppml,4,own_opportunity,.5813708983058344,.25711653,.023751935,.58137089,3061,.033976104
full,own_quantity_ppml,4,community_retail,.0683116525003839,.24929219,.78406739,.068311654,3061,.033976104
local_price,own_quantity_share,4,own_opportunity,.6853051150783408,.31802422,.031170953,.42843631,2120,.03472976
local_price,own_quantity_share,4,community_retail,.2266753678958234,.23109798,.32666048,.141712,2120,.03472976
local_price,own_quantity_ppml,4,own_opportunity,.5816713864222582,.26283851,.026895091,.58167136,2120,.085569099
local_price,own_quantity_ppml,4,community_retail,-.0861673545913702,.24952248,.72984701,-.086167358,2120,.085569099
external_price,own_quantity_share,4,own_opportunity,.8980786545236503,.53578311,.093699396,.73591167,1116,.14781523
external_price,own_quantity_share,4,community_retail,.0991590898146536,.33577207,.76775199,.081253827,1116,.14781523
external_price,own_quantity_ppml,4,own_opportunity,.6610796747541863,.66407561,.31949872,.66107965,1116,.4315708
external_price,own_quantity_ppml,4,community_retail,-.3916608857449819,.40539899,.3339881,-.3916609,1116,.4315708
full,own_quantity_share,5,own_opportunity,-.1132507061200692,.16446349,.49107066,-.056715306,3116,.76849473
full,own_quantity_share,5,community_retail,-.0422434246029831,.12771583,.74082494,-.021155266,3116,.76849473
full,own_quantity_ppml,5,own_opportunity,-.1085253172048649,.089776784,.22672625,-.10852532,3116,.37337905
full,own_quantity_ppml,5,community_retail,-.0537898420209076,.062873542,.392261,-.053789843,3116,.37337905
local_price,own_quantity_share,5,own_opportunity,-.1132507061200692,.16446349,.49107066,-.056715306,3116,.76849473
local_price,own_quantity_share,5,community_retail,-.0422434246029831,.12771583,.74082494,-.021155266,3116,.76849473
local_price,own_quantity_ppml,5,own_opportunity,-.1085253172048649,.089776784,.22672625,-.10852532,3116,.37337905
local_price,own_quantity_ppml,5,community_retail,-.0537898420209076,.062873542,.392261,-.053789843,3116,.37337905
external_price,own_quantity_share,5,own_opportunity,.0491859806198304,.46434504,.91564149,.031881601,671,.41719896
external_price,own_quantity_share,5,community_retail,.3292768213506899,.25152457,.19049241,.21343221,671,.41719896
external_price,own_quantity_ppml,5,own_opportunity,-.0988424181196138,.29853401,.74057448,-.09884242,671,.9326998
external_price,own_quantity_ppml,5,community_retail,-.0248623344736928,.15457629,.87221795,-.024862334,671,.9326998
full,own_quantity_share,6,own_opportunity,-.106645506804849,.1597717,.50446117,-.096044533,3020,.79524153
full,own_quantity_share,6,community_retail,.092436335697847,.22609387,.68265671,.083247811,3020,.79524153
full,own_quantity_ppml,6,own_opportunity,-.3234704175104612,.18000296,.072331116,-.32347041,3020,.14890017
full,own_quantity_ppml,6,community_retail,.2436523605477767,.25315037,.33580816,.24365236,3020,.14890017
local_price,own_quantity_share,6,own_opportunity,-.1952479220096249,.15931851,.22037959,-.16953152,2095,.45604002
local_price,own_quantity_share,6,community_retail,-.0214291046860892,.20800205,.91794431,-.018606644,2095,.45604002
local_price,own_quantity_ppml,6,own_opportunity,-.5148744730277,.1702687,.0024954397,-.51487446,2095,.010002102
local_price,own_quantity_ppml,6,community_retail,-.062596161217524,.23062541,.78606862,-.062596165,2095,.010002102
external_price,own_quantity_share,6,own_opportunity,-.0763248762962624,.25969866,.76883596,-.070865273,1295,.00900965
external_price,own_quantity_share,6,community_retail,-.8752023102068194,.37028652,.018099254,-.81259811,1295,.00900965
external_price,own_quantity_ppml,6,own_opportunity,-.5899836900373964,.28258631,.036815882,-.5899837,1295,.026321126
external_price,own_quantity_ppml,6,community_retail,-1.076618037151578,.54469973,.048094224,-1.0766181,1295,.026321126
