data_year,village_id,nself1,nself2,nself3,nself4,nself5,nself6,pself1,pself1_source,pself2,pself2_source,pself3,pself3_source,pself4,pself4_source,pself5,pself5_source,pself6,pself6_source
2023,370783006269,4,1,0,0,3,0,2.333333373069763,own village median: at least 3 producers,3,nearest eligible producer village in county,32.63392007381418,retail times survey-year median eligible-village wedge,9.652698811674027,retail times province median eligible-village wedge,1.399999976158142,own village median: at least 3 producers,4,nearest eligible producer village in county
2023,621126108218,8,0,3,5,6,1,1,own village median: at least 3 producers,5.454198052355617,retail times survey-year median eligible-village wedge,11.94444465637207,own village median: at least 3 producers,9,own village median: at least 3 producers,2.895299077033997,own village median: at least 3 producers,2.216028902160289,retail times province median eligible-village wedge
2023,621126102215,7,1,2,8,6,1,1,own village median: at least 3 producers,4.012283624721374,retail times survey-year median eligible-village wedge,11.94444465637207,nearest eligible producer village in county,11.5,own village median: at least 3 producers,3.163964033126831,own village median: at least 3 producers,1.896409348964094,retail times province median eligible-village wedge
2023,621126108206,6,0,2,1,5,2,1,own village median: at least 3 producers,5.454198052355617,retail times survey-year median eligible-village wedge,13.84722232818604,same-town other eligible-village median,9,same-town other eligible-village median,3.617647171020508,own village median: at least 3 producers,2.216028902160289,retail times province median eligible-village wedge
2023,610725102001,4,3,3,3,4,2,1.6907017827034,own village median: at least 3 producers,1,own village median: at least 3 producers,12.61538505554199,own village median: at least 3 producers,11,own village median: at least 3 producers,2.283333301544189,own village median: at least 3 producers,4.142857193946838,same-town other eligible-village median
2023,621027107210,2,1,0,2,2,2,2.699237108230591,same-town other eligible-village median,2.799999952316284,same-town other eligible-village median,25.69883698596841,retail times province median eligible-village wedge,11.25,same-town other eligible-village median,2.689248263835907,same-town other eligible-village median,1.5,nearest eligible producer village in county
2023,621022206200,3,0,1,0,3,0,2.7826087474823,own village median: at least 3 producers,3,nearest eligible producer village in county,14,same-town other eligible-village median,9,same-town other eligible-village median,1.962406039237976,own village median: at least 3 producers,2.923255920410156,same-town other eligible-village median
2023,220221100214,9,0,1,2,7,1,2.019999980926514,own village median: at least 3 producers,5.125,same-town other eligible-village median,13,same-town other eligible-village median,10,same-town other eligible-village median,2.585365772247314,own village median: at least 3 producers,5.150000095367432,nearest eligible producer village in county
2023,620825113212,5,0,1,6,8,2,2.280373811721802,own village median: at least 3 producers,3.687760684486557,retail times survey-year median eligible-village wedge,8.223627835509889,retail times province median eligible-village wedge,7,own village median: at least 3 producers,3.116806745529175,own village median: at least 3 producers,2.311435523114356,retail times province median eligible-village wedge
2023,611026109211,8,2,4,1,8,4,2.771083831787109,own village median: at least 3 producers,2.899999976158142,same-town other eligible-village median,16,own village median: at least 3 producers,9.572349768018556,retail times province median eligible-village wedge,2.781690120697021,own village median: at least 3 producers,7.165714263916016,own village median: at least 3 producers
2023,220822107202,8,4,3,4,8,0,5.762961626052856,own village median: at least 3 producers,4.75,own village median: at least 3 producers,22.19765090942383,own village median: at least 3 producers,9.654999971389771,own village median: at least 3 producers,3.14513885974884,own village median: at least 3 producers,5,same-town other eligible-village median
2023,620825114206,2,0,0,0,3,0,2.369008421897888,same-town other eligible-village median,5.454198052355617,retail times survey-year median eligible-village wedge,11.5325672544282,retail times province median eligible-village wedge,8,nearest eligible producer village in county,1.799999952316284,own village median: at least 3 producers,3.728894787288948,retail times province median eligible-village wedge
