system,structural_interpretation,good,elasticity,N,mean,trimmed_mean,sd,p10,p50,p90,negative_rate,support_rate,min_share_floor
buy,1,1,eta_totalexp_income,3117,.1132988682979834,.11694667,.062122673,.11154737,.11962939,.12068687,.0096246395,.88963747,0
buy,1,2,eta_totalexp_income,3117,.1132988682979834,.11694667,.062122673,.11154737,.11962939,.12068687,.0096246395,.88963747,0
buy,1,3,eta_totalexp_income,3117,.1132988682979834,.11694667,.062122673,.11154737,.11962939,.12068687,.0096246395,.88963747,0
buy,1,4,eta_totalexp_income,3117,.1132988682979834,.11694667,.062122673,.11154737,.11962939,.12068687,.0096246395,.88963747,0
buy,1,5,eta_totalexp_income,3117,.1132988682979834,.11694667,.062122673,.11154737,.11962939,.12068687,.0096246395,.88963747,0
buy,1,6,eta_totalexp_income,3117,.1132988682979834,.11694667,.062122673,.11154737,.11962939,.12068687,.0096246395,.88963747,0
buy,1,1,expenditure_elasticity,2773,.7806004198628649,.78406549,.081494845,.69523251,.79599148,.85595667,.00072124053,.88963747,0
buy,1,2,expenditure_elasticity,2773,-.7154152789503211,.15774398,14.727664,-.80612576,.55259037,.88008404,.19834115,.88963747,0
buy,1,3,expenditure_elasticity,2773,1.018522843577571,1.0186739,.069220446,.92695177,1.0277591,1.1010206,0,.88963747,0
buy,1,4,expenditure_elasticity,2773,1.079773261069174,1.0793606,.036857523,1.0308255,1.0804114,1.1288083,0,.88963747,0
buy,1,5,expenditure_elasticity,2773,1.236439475535716,1.216372,.34844616,.99610698,1.2047231,1.4126463,.00072124053,.88963747,0
buy,1,6,expenditure_elasticity,2773,1.241846349259085,1.1970452,.97884434,1.0048696,1.1248046,1.4826357,.00072124053,.88963747,0
buy,1,1,income_quality_elasticity,2773,-.0233547041665267,-.023774296,.0097052688,-.032186091,-.02522655,-.013471185,.98052651,.88963747,0
buy,1,2,income_quality_elasticity,2773,.1795313044280721,.078383759,1.7689615,-.0063205725,.031794284,.19343589,.15903354,.88963747,0
buy,1,3,income_quality_elasticity,2773,-.028817406394404,-.029354636,.012424048,-.039880261,-.030571721,-.017595571,.98990262,.88963747,0
