specification,N,clusters,J,J_df,Hansen_p,converged,fruit_hicksian,se,p_value,ci_low,ci_high
main_unrestricted,3118,360,28.731956,19,.070319876,1,-.056216564,.087802865,.52200431,-.22830702,.11587389
main_curvature_local,3118,360,28.824924,19,.068789303,1,-.073994301,.086558484,.39263558,-.24364582,.095657207
allprice_direct_unrestricted,1443,166,19.000559,19,.45680022,1,-.1227853,.077739142,.11423223,-.27515122,.029580612
allgood_trim99_unrestricted,2783,338,35.57645,19,.011892688,1,-.13040446,.059814781,.029247258,-.24763927,-.013169642
fruit_tailclean_curvature_local,3061,357,32.632599,19,.026492935,1,-.12202395,.064217255,.057410311,-.24788745,.0038395587
fruit_direct_unrestricted,1709,196,27.240458,19,.099175654,1,-.028892444,.092184722,.75396234,-.20957118,.1517863
fruit_direct_curvature_local,1709,196,26.430206,19,.11864144,0,-.10159453,.088484429,.25090137,-.27502084,.071831763
weighted_basket_unrestricted,3118,360,31.963051,19,.031555396,1,-.096062258,.088371016,.277022,-.26926625,.077141747
weighted_basket_curvature_local,3118,360,31.981945,19,.031401306,1,-.10658564,.087982759,.22572769,-.27902868,.06585741
