group,cap_jin_pc_month,cap_kg_pc_day,flagged,observed_max_jin_pc_month
1,90,1.5,184,3040.170348139256
2,30,.5,15,166.0611570247934
3,60,1,27,698.5754285714285
4,21,.34999999,116,329.6703296703296
5,150,2.5,38,462.4043409629045
6,120,2,19,2144.234693877551
