dimension,category,good,N,eta_totalexp_income,expenditure_elasticity,income_quantity_elasticity,income_value_elasticity,income_quality_elasticity
education_group,secondary_plus,4,1709,.0831873103163104,.563375,.046865892,.26343516,.21645212
education_group,secondary_plus,5,1709,.0831873103163104,.5805791,.048134658,.17550962,.12730497
education_group,secondary_plus,6,1709,.0831873103163104,1.2760344,.10604832,.19512674,.089067958
child_group,child_present,1,708,.0845930972417142,.51469368,.043506607,.05818592,.014669538
child_group,child_present,2,708,.0845930972417142,.78457505,.066523045,.13538721,.068854533
child_group,child_present,3,708,.0845930972417142,1.3467739,.11373056,.10989068,-.0038558727
child_group,child_present,4,708,.0845930972417142,.65133172,.055134866,.26677522,.21162365
child_group,child_present,5,708,.0845930972417142,.61862302,.052182965,.17832209,.12611002
child_group,child_present,6,708,.0845930972417142,1.3146981,.11116472,.19729333,.086110987
child_group,missing,1,991,.0828456886237071,.53858817,.044402525,.057319384,.012908341
child_group,missing,2,991,.0828456886237071,.56410903,.046112768,.13311949,.086972199
child_group,missing,3,991,.0828456886237071,1.3779403,.11411901,.10738383,-.0067130262
child_group,missing,4,991,.0828456886237071,.52751529,.043085624,.26262349,.21939203
child_group,missing,5,991,.0828456886237071,.58719289,.048210666,.17482616,.12666933
child_group,missing,6,991,.0828456886237071,1.3668834,.11314084,.19460024,.081614628
child_group,no_child,1,1501,.0808238699199048,.53393728,.044226013,.056316767,.01208825
child_group,no_child,2,1501,.0808238699199048,.84240323,.06782572,.13049567,.062650993
child_group,no_child,3,1501,.0808238699199048,1.4424113,.11749694,.10448331,-.012997633
child_group,no_child,4,1501,.0808238699199048,.59739941,.048020311,.25781977,.20974076
child_group,no_child,5,1501,.0808238699199048,.64350677,.051863596,.17078122,.11875182
child_group,no_child,6,1501,.0808238699199048,1.3832361,.10901295,.19148424,.08338552
elderly_group,elderly_present,1,734,.0829403688432458,.53204721,.044014938,.057366334,.013347135
elderly_group,elderly_present,2,734,.0829403688432458,.82500035,.068460666,.13324237,.064769462
elderly_group,elderly_present,3,734,.0829403688432458,1.5134437,.12631552,.10751966,-.018750308
elderly_group,elderly_present,4,734,.0829403688432458,.6225993,.051382288,.26284844,.21140648
elderly_group,elderly_present,5,734,.0829403688432458,.67672485,.056352209,.17501557,.11860605
elderly_group,elderly_present,6,734,.0829403688432458,1.3728454,.11428474,.19474617,.08147002
elderly_group,missing,1,991,.0828456886237071,.53858817,.044402525,.057319384,.012908341
elderly_group,missing,2,991,.0828456886237071,.56410903,.046112768,.13311949,.086972199
elderly_group,missing,3,991,.0828456886237071,1.3779403,.11411901,.10738383,-.0067130262
elderly_group,missing,4,991,.0828456886237071,.52751529,.043085624,.26262349,.21939203
elderly_group,missing,5,991,.0828456886237071,.58719289,.048210666,.17482616,.12666933
elderly_group,missing,6,991,.0828456886237071,1.3668834,.11314084,.19460024,.081614628
elderly_group,no_elderly,1,1475,.0815798717735378,.52570236,.043988075,.056691669,.01269224
elderly_group,no_elderly,2,1475,.0815798717735378,.82341558,.066886604,.13147677,.064562634
elderly_group,no_elderly,3,1475,.0815798717735378,1.3612036,.11131084,.10556788,-.0057498552
elderly_group,no_elderly,4,1475,.0815798717735378,.61088586,.049780637,.25961599,.20982051
elderly_group,no_elderly,5,1475,.0815798717735378,.61491406,.0497697,.17229371,.12236162
elderly_group,no_elderly,6,1475,.0815798717735378,1.3553969,.10745139,.19264938,.085639395
