group,villages,unique_values,mean,sd,cv,min,max
1,361,236,3.201006613456427,1.3889278,.43390346,1.5,10.90375
2,361,195,5.218131447386355,3.7538247,.71938097,1.3773584,34.433964
3,361,161,13.45833758255123,4.3965249,.32667667,5.6778889,39.53793
4,361,229,8.69913523860602,3.2421243,.37269503,3.9859319,23.116804
5,361,149,2.343654226160449,1.1309551,.48256058,.60445684,7.9000001
6,361,132,6.36030285379265,3.2852502,.5165242,1.4844291,23.922501
