year,variable,n,mean,sd,p50,p99
2023,q1_pc,1598,12.93026465393426,17.699345,4.2708206,77.17775
2023,q2_pc,1598,1.381173968737426,2.7676086,.35119939,15.129683
2023,q3_pc,1598,3.440462402916619,6.0109706,1.3549196,33.954082
2023,q4_pc,1598,1.3824520283465,2.7070885,.30904189,14.285714
2023,q5_pc,1598,11.10991789329788,18.128635,2.7086766,87.340721
2023,q6_pc,1598,8.19010007311352,14.134091,2.5018208,67.984184
2023,p1,1598,2.855707568521946,.80262059,2.6500001,5.2382431
2023,p2,1598,3.980914374432501,1.3171806,3.7977941,8.6911764
2023,p3,1598,11.3041761886351,2.9230587,10.8,21.838034
2023,p4,1598,8.456291445897172,2.7768853,8,17.139507
2023,p5,1598,1.941158034427891,.75695151,1.75,4
2023,p6,1598,5.623085016521517,2.2577064,5.1999998,12.217993
2023,s1,1598,.2392230425885527,.15252331,.20788501,.74436384
2023,s2,1598,.0407182200449128,.062144581,.021369737,.32772601
2023,s3,1598,.2609690106150215,.18605635,.22279789,.83731651
2023,s4,1598,.0786912061580697,.10329726,.041964628,.51853853
2023,s5,1598,.1213065911493947,.10969273,.090664908,.57725972
2023,s6,1598,.2590919294440485,.18543209,.22180142,.77334064
2023,food_exp,1598,452.5049957336403,689.95447,162.25117,3193.3936
2023,income_annual,1581,53767.01156072096,150157.88,25060,370318.5
2024,q1_pc,1636,18.71813474738936,18.866407,12.781527,78.214287
2024,q2_pc,1636,1.992914668814061,3.0473106,.82644629,15
2024,q3_pc,1636,6.655550321795342,8.4188652,3.5578623,42.857143
2024,q4_pc,1636,2.46277562319702,3.458004,1.0714285,17.045454
2024,q5_pc,1636,20.81848628189812,25.24165,11.131562,111.1843
2024,q6_pc,1636,11.65057281039361,15.350194,5.413857,74.362823
2024,p1,1636,3.558351123166259,1.7107203,2.9175,10.751813
2024,p2,1636,6.45522795618628,4.9167275,4.98,34.433964
2024,p3,1636,15.65861472999747,4.5454001,14.882759,31.782759
2024,p4,1636,8.856568785553545,3.5124862,7.6100516,20.342787
2024,p5,1636,2.696105317955902,1.2698016,2.2667131,6.2047496
2024,p6,1636,6.904327628361858,3.8862665,6,16.122499
2024,s1,1636,.2107319290481063,.15310216,.17387374,.74094403
2024,s2,1636,.0442082133157263,.071769103,.022221554,.38026655
2024,s3,1636,.3032440070758998,.19249402,.27026251,.82602769
2024,s4,1636,.0668875903558086,.083423242,.040380087,.42629927
2024,s5,1636,.1556833009889511,.12394439,.12255352,.63129169
2024,s6,1636,.2192449592155079,.16703038,.18551776,.71719539
2024,food_exp,1636,972.3705904304235,975.28052,725.48383,4137.6963
2024,income_annual,1619,44385.15674274242,64491.137,27710,268000
