group,sample_n,consuming_n,positive_purchase_value_n,unit_value_observed_n,purchase_value_coverage
1,3234,3234,3102,3102,.9591836734693877
2,3234,3220,2435,2433,.7562111801242236
3,3234,3234,2715,2714,.839517625231911
4,3234,3219,2013,2013,.625349487418453
5,3234,3234,2738,2738,.8466295609152752
6,3234,3234,2630,2630,.8132343846629561
