good,N,total_quantity_mean,total_quantity_p50,total_quantity_p99,purchase_participation,self_participation,gift_participation,purchase_quantity_share_mean,purchase_quantity_share_p50,self_quantity_share_mean,self_quantity_share_p50,gift_quantity_share_mean,gift_quantity_share_p50,retail_price_p50,self_price_p50,self_retail_wedge_p50
1,3152,41.79615817835961,14.089907,257.14285,.98477155,.75666243,.15894671,.62774068,.69144511,.33628884,.25669235,.035970457,0,2.8,2.3600399,.81632656
2,3152,4.578262203047702,1.1538461,42.857143,.89974618,.27125636,.044416245,.83945501,1,.14193003,0,.01861494,0,4.1999998,4,1
3,3152,17.70996648594583,6.5460978,122.2562,.95145941,.40355331,.15323605,.79033542,.99327642,.16644152,0,.04322309,0,12.959655,18.666668,1.4578352
4,3152,5.099058255318642,1.1203327,42.857143,.70970809,.32043147,.059644669,.67904943,1,.2749134,0,.04603716,0,7.75,10.160735,1.3192612
5,3152,38.13731722744846,9.8927898,255.25729,.92131978,.83217007,.17988579,.46560612,.41240168,.49841985,.53325534,.035974003,0,2.02,2.5677505,1.2884995
6,3152,25.22108442098113,7.5022674,182.41429,.93305838,.2607868,.16687818,.8459695,1,.098967671,0,.055062804,0,5.5,3,.52704477
