good,statistic,value
1,unit_value_trim_low,1.046396851539612
1,unit_value_trim_high,11.39999961853027
1,quantity_adjustment,-.0217177272296185
1,within_regression_N,3032
1,within_regression_r2,.00624098618539
1,observations_exact_market,3221
1,observations_unresolved,0
2,unit_value_trim_low,1
2,unit_value_trim_high,16.28571510314941
2,quantity_adjustment,-.0289597332235779
2,within_regression_N,2358
2,within_regression_r2,.0116668504384597
2,observations_exact_market,3113
2,observations_unresolved,0
3,unit_value_trim_low,3.170731782913208
3,unit_value_trim_high,46.66666793823242
3,quantity_adjustment,.017402450459221
3,within_regression_N,2647
3,within_regression_r2,.0070674600022802
3,observations_exact_market,3203
3,observations_unresolved,0
4,unit_value_trim_low,2
4,unit_value_trim_high,30
4,quantity_adjustment,-.0267047164141161
4,within_regression_N,1883
4,within_regression_r2,.0099748485340688
4,observations_exact_market,2663
4,observations_unresolved,0
5,unit_value_trim_low,.4375
5,unit_value_trim_high,19
5,quantity_adjustment,-.02138969602487
5,within_regression_N,2674
5,within_regression_r2,.0042693705818495
5,observations_exact_market,3204
5,observations_unresolved,0
6,unit_value_trim_low,.6000000238418579
6,unit_value_trim_high,12.5
6,quantity_adjustment,-.0233316079031266
6,within_regression_N,2567
6,within_regression_r2,.0163416142652739
6,observations_exact_market,3172
6,observations_unresolved,0
