category,statistic,value,source_label
1,invalid_quote_cells,0,
1,five_mad_direct_outliers,0,
1,direct_villages,160,
2,invalid_quote_cells,0,
2,five_mad_direct_outliers,2,
2,direct_villages,104,
3,invalid_quote_cells,1,
3,five_mad_direct_outliers,1,
3,direct_villages,126,
4,invalid_quote_cells,0,
4,five_mad_direct_outliers,0,
4,direct_villages,152,
5,invalid_quote_cells,0,
5,five_mad_direct_outliers,0,
5,direct_villages,134,
6,invalid_quote_cells,0,
6,five_mad_direct_outliers,1,
6,direct_villages,74,
7,invalid_quote_cells,0,
7,five_mad_direct_outliers,0,
7,direct_villages,35,
1,completed_source_1_villages,159,own_village_direct
1,completed_source_3_villages,103,same_town_direct_median
1,completed_source_4_villages,50,nearest_direct_village_in_county
1,completed_source_5_villages,22,county_year_direct_median
1,completed_source_6_villages,27,province_year_direct_median
2,completed_source_1_villages,103,own_village_direct
2,completed_source_3_villages,72,same_town_direct_median
2,completed_source_4_villages,76,nearest_direct_village_in_county
2,completed_source_5_villages,20,county_year_direct_median
2,completed_source_6_villages,90,province_year_direct_median
3,completed_source_1_villages,126,own_village_direct
3,completed_source_3_villages,97,same_town_direct_median
3,completed_source_4_villages,84,nearest_direct_village_in_county
3,completed_source_5_villages,36,county_year_direct_median
3,completed_source_6_villages,18,province_year_direct_median
4,completed_source_1_villages,151,own_village_direct
4,completed_source_3_villages,102,same_town_direct_median
4,completed_source_4_villages,60,nearest_direct_village_in_county
4,completed_source_5_villages,39,county_year_direct_median
4,completed_source_6_villages,9,province_year_direct_median
5,completed_source_1_villages,133,own_village_direct
5,completed_source_3_villages,87,same_town_direct_median
5,completed_source_4_villages,47,nearest_direct_village_in_county
5,completed_source_5_villages,31,county_year_direct_median
5,completed_source_6_villages,63,province_year_direct_median
6,completed_source_1_villages,73,own_village_direct
6,completed_source_3_villages,72,same_town_direct_median
6,completed_source_4_villages,70,nearest_direct_village_in_county
6,completed_source_5_villages,20,county_year_direct_median
6,completed_source_6_villages,126,province_year_direct_median
7,completed_source_1_villages,35,own_village_direct
7,completed_source_3_villages,43,same_town_direct_median
7,completed_source_4_villages,47,nearest_direct_village_in_county
7,completed_source_5_villages,10,county_year_direct_median
7,completed_source_6_villages,135,province_year_direct_median
7,completed_source_8_villages,91,national_year_direct_median
