"year","est","se","lo","hi"
2013,0.0232511290511504,0.107324574378266,-0.187105036730251,0.233607294832552
2014,-0.0231291781836266,0.108370211624015,-0.235534792966696,0.189276436599443
2015,0.0172274198946873,0.096463311792763,-0.171840671219128,0.206295511008503
2016,0.0225005215646196,0.105091807923557,-0.183479421965552,0.228480465094791
2017,-0.00700340909726725,0.0903225534230206,-0.184035613806388,0.170028795611853
2018,-0.154899718723546,0.0864960383168066,-0.324431953824487,0.0146325163773946
2019,0,0,0,0
2020,-0.304797721507643,0.123096892458233,-0.546067630725778,-0.0635278122895068
2021,-0.366162645195879,0.08571660785866,-0.534167196598852,-0.198158093792905
2022,-0.0125771218567943,0.0593511933093276,-0.128905460743076,0.103751217029488
2023,-0.0607886753895644,0.086412522722784,-0.230157219926221,0.108579869147092
