metric,group_or_item,year,ci_2_5,median,ci_97_5,n_success_draws,target_reps
daily_kcal_per_cap_weighted,dairyegg,2030.0,71.37124534162893,79.78149023753792,88.11204688884207,646,700
daily_kcal_per_cap_weighted,dairyegg,2050.0,79.55026137484083,92.26717923342372,103.41438646881603,646,700
daily_kcal_per_cap_weighted,grain,2030.0,652.3954897033274,714.4203478850144,804.3154473108845,646,700
daily_kcal_per_cap_weighted,grain,2050.0,466.30673663052016,536.6171201534045,758.1089302163524,646,700
daily_kcal_per_cap_weighted,meatother,2030.0,83.19580902653802,92.9402686472442,122.06388054166017,646,700
daily_kcal_per_cap_weighted,meatother,2050.0,88.80454890437328,100.01537870999276,157.51146100993432,646,700
daily_kcal_per_cap_weighted,oil,2030.0,218.53483200446453,237.09000235917244,263.80213930890494,646,700
daily_kcal_per_cap_weighted,oil,2050.0,186.50451443864193,208.84576319165893,274.0309026300587,646,700
daily_kcal_per_cap_weighted,pork,2030.0,258.4813502222765,290.04623104537865,338.6841738303795,646,700
daily_kcal_per_cap_weighted,pork,2050.0,266.9281651293827,310.1475051116789,378.0304502099096,646,700
daily_kcal_per_cap_weighted,vegfruit,2030.0,116.54017638279426,124.0630523066844,132.59729103993425,646,700
daily_kcal_per_cap_weighted,vegfruit,2050.0,123.35700821967873,139.85771091033587,153.6586899163077,646,700
feed_grain_million_ton,aquatic,2030.0,24.664972526789217,27.551172498851408,36.59204857579771,646,700
feed_grain_million_ton,aquatic,2050.0,24.755075135478823,27.885330719778207,44.063305670728695,646,700
feed_grain_million_ton,beef,2030.0,39.64604744659198,44.29185909327177,57.574019990283205,646,700
feed_grain_million_ton,beef,2050.0,40.241628687926266,45.319803208043766,71.33862529663352,646,700
feed_grain_million_ton,egg,2030.0,50.73252312737925,56.68427928785121,62.65982932474232,646,700
feed_grain_million_ton,egg,2050.0,53.98542864877107,62.58675580892209,70.14793469844716,646,700
feed_grain_million_ton,milk,2030.0,11.635318789105755,13.008466795237613,14.351038453595123,646,700
feed_grain_million_ton,milk,2050.0,12.40225890200355,14.393935890056621,16.13053306253299,646,700
feed_grain_million_ton,mutton,2030.0,23.66398157666954,26.43728225842503,33.696444122895244,646,700
feed_grain_million_ton,mutton,2050.0,24.446218892860003,27.52553432424869,43.20940669899497,646,700
feed_grain_million_ton,pork,2030.0,145.3904492257882,163.14504621579485,190.50288980817962,646,700
feed_grain_million_ton,pork,2050.0,143.38388906751126,166.5997121208368,203.06390714058242,646,700
feed_grain_million_ton,poultry,2030.0,48.450091669451126,54.1295039782444,71.19700748987132,646,700
feed_grain_million_ton,poultry,2050.0,49.79597482839982,56.07544275803562,88.27012816509585,646,700
income_elasticity_median_income,dairyegg,,0.6034494989447727,0.7193631265261188,1.0773812538621061,646,700
income_elasticity_median_income,grain,,-0.4958562561509612,-0.3988480470307677,-0.0513062409260317,646,700
income_elasticity_median_income,meatother,,0.12674508987207206,0.1924312453528534,1.677213041249161,646,700
income_elasticity_median_income,nonfood,,1.0662255395994098,1.1319092138946645,1.1426854309347005,646,700
income_elasticity_median_income,oil,,-0.30506049434701354,-0.22594788320854445,0.16590118169501034,646,700
income_elasticity_median_income,pork,,0.2771699315607634,0.40636188792660666,1.011679198870226,646,700
income_elasticity_median_income,vegfruit,,0.27254632189714145,0.4538515655299036,0.5765500893032516,646,700
