variant,model,train_years,test_years,group,rmse_x,mae_x,mean_x,n_test,relative_rmse
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,dairyegg,0.012139250420711204,0.009909881870004758,0.03365878952849487,93,0.36065617898808733
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,grain,0.07208549822264779,0.05854856160007479,0.4202893830904221,93,0.17151396424196405
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,nonfood,3.9743255928165735,3.279052580350977,727.9238621383682,93,0.0054598094657063315
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,nonpork_meatsea,0.019085537119728463,0.014828346662394182,0.045447207536296316,93,0.4199496108641183
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,oil,0.03183268733495211,0.02519446913213417,0.1288846674059655,93,0.24698583606290722
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,pork,0.053903194688649285,0.04499121268942609,0.12509815587410958,93,0.4308872046274915
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,vegfruit,0.011889821707632177,0.009809091647211339,0.05503836229796534,93,0.21602789783720944
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,dairyegg,0.010280070894889264,0.008229894289645056,0.03365878952849487,93,0.30542010092746674
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,grain,0.05914009957728301,0.050242961364018394,0.4202893830904221,93,0.14071280873768696
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,nonfood,3.674990502881524,3.061170212323782,727.9238621383682,93,0.005048591884439364
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,nonpork_meatsea,0.01723260679063655,0.012805740130854833,0.045447207536296316,93,0.37917856178234416
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,oil,0.031108787536300576,0.025060358842575743,0.1288846674059655,93,0.2413691881464303
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,pork,0.050874514062320755,0.04197305592897917,0.12509815587410958,93,0.4066767707872326
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,vegfruit,0.009998446543609516,0.007871035872758623,0.05503836229796534,93,0.18166322772251417
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,dairyegg,0.011312100231712549,0.00866718581908267,0.03487623368244979,31,0.3243498232839562
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,grain,0.0664350426053209,0.054487192491100414,0.4046680667811247,31,0.16417169541883825
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,nonfood,3.7204628446077725,3.2281642403293245,745.9276446072297,31,0.004987699372057451
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,nonpork_meatsea,0.019031568939602308,0.014693335611152427,0.047461423332015425,31,0.40099026964419826
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,oil,0.03197508994049075,0.026243114565581555,0.12638537057445864,31,0.25299676533094434
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,pork,0.056560541656090736,0.04669652219301012,0.13618844860265755,31,0.41531085959508485
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,vegfruit,0.012327311851274201,0.010121794699238042,0.056314327533170526,31,0.2189018743766959
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,dairyegg,0.01052933156353917,0.008051549249242493,0.03487623368244979,31,0.30190563750115246
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,grain,0.062180372825846715,0.05408874489801674,0.4046680667811247,31,0.15365772080918505
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,nonfood,3.576919075552906,3.055981050749795,745.9276446072297,31,0.0047952627864279555
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,nonpork_meatsea,0.01751435464537518,0.013091513537508015,0.047461423332015425,31,0.3690229541337997
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,oil,0.03110595325177182,0.02578241844930519,0.12638537057445864,31,0.24611988800907988
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,pork,0.054214994333789235,0.042739091489345106,0.13618844860265755,31,0.3980880529153138
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,vegfruit,0.009965582289377996,0.007834915859688034,0.056314327533170526,31,0.17696353176743562
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,dairyegg,0.013184672034188783,0.010705339706374445,0.03365878952849487,93,0.391715573224251
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,grain,0.07038298723015958,0.05736433957953843,0.4202893830904221,93,0.16746315767633183
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,nonfood,3.9955620730778225,3.3022286756421098,727.9026063779181,93,0.005489143792134432
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,nonpork_meatsea,0.018819380601309943,0.01458551558315365,0.045447207536296316,93,0.4140932220374571
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,oil,0.031864534433638146,0.02520883402650489,0.1288846674059655,93,0.24723293371483906
