variant,income,group,group_label_cn,gdp_elasticity,marshallian_own_price,hicksian_own_price,budget_share,xhat
baseline_real_national_nonfood,66734.07986684717,grain,粮食/主粮,-0.23876229456299328,0.001234365194829399,-2.16955370808214e-05,0.005260716455289512,0.4131569700345005
baseline_real_national_nonfood,66734.07986684717,oil,食用油,-0.10916877254391,0.0010786981361101343,-1.1285675305886715e-05,0.009984391928356677,0.1283342425998725
baseline_real_national_nonfood,66734.07986684717,vegfruit,蔬菜水果,0.21624900214509352,-0.2649430251517954,-0.26347802860286557,0.006774581775627781,0.05366173860372156
baseline_real_national_nonfood,66734.07986684717,pork,猪肉,0.2505650710502863,-0.7350247615018108,-0.7338540269623267,0.004672377257439903,0.13128010861929656
baseline_real_national_nonfood,66734.07986684717,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),0.38415596726489337,-0.0025110679740781485,-2.2369851611830482e-05,0.006478353415112371,0.04183151960295838
baseline_real_national_nonfood,66734.07986684717,dairyegg,奶蛋类,0.44053754659077776,-0.5799198263172854,-0.5792762479812475,0.0014608932678233544,0.03195552472347699
baseline_real_national_nonfood,66734.07986684717,nonfood,其他/未覆盖支出,1.0323289451462898,-1.0028332994078488,-0.006255262215080104,0.9653686859003504,644.2299098582728
robust_real_derived_cpi_nonfood,66734.07986684717,grain,粮食/主粮,-0.22093115259791726,-0.12849847136093864,-0.12967046555964085,0.005304793755524279,0.4166186361339891
robust_real_derived_cpi_nonfood,66734.07986684717,oil,食用油,-0.10957962725723304,0.0009530449397919425,-0.0001329471812245792,0.009910529431417084,0.12738485202413233
robust_real_derived_cpi_nonfood,66734.07986684717,vegfruit,蔬菜水果,0.2191229125051855,-0.2601123911329139,-0.25862845466920725,0.006772164748729831,0.05364259323506388
robust_real_derived_cpi_nonfood,66734.07986684717,pork,猪肉,0.24986451989109876,-0.7331816114353867,-0.7320182847163619,0.004655829965502591,0.13081517820738978
robust_real_derived_cpi_nonfood,66734.07986684717,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),0.37473427773447415,-0.0026301232548710547,-0.00020346553405390733,0.006475675872215262,0.041814230381298
robust_real_derived_cpi_nonfood,66734.07986684717,dairyegg,奶蛋类,0.4504856876729021,-0.635138640272445,-0.6344763733596638,0.0014701175440275818,0.03215729619630988
robust_real_derived_cpi_nonfood,66734.07986684717,nonfood,其他/未覆盖支出,1.0322255636255133,-1.003514554369128,-0.00699275566854074,0.9654108886825833,644.2580734966741
