Province,Year,q_daogu_coef,q_xiaomai_coef,q_doulei_coef,q_zaliang_coef,q_shucai_coef,q_zhurou_coef,q_niurou_coef,q_yangrou_coef,q_qinlei_coef,q_shuichanpin_coef,q_danlei_coef,q_nailei_coef,q_guaguo_coef,q_youliao_coef,q_tang_coef,pop,q_liangshi,q_shucai,q_zhurou,q_niurou,q_yangrou,q_qinlei,q_shuichanpin,q_danlei,q_nailei,q_guaguo,q_tang,q_niurou,q_yangrou,q_niuyangrou,稻谷占比,小麦占比,豆类占比,杂粮占比,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
11,2015,1.3951869041561265,1.3997595818512998,1.3950102231804693,1.3298564261827024,1.3048519381161112,1.3385395578145187,1.4598712855098872,1.6723365092067035,1.5545339557566262,1.3018876079696502,1.2579195162309416,1.099566542908857,1.150430910611565,1.2090525645356018,1.250284472012567,2188,90.8,100.6,14.2,3.3,3.0,6.0,9.6,13.7,26.9,68.9,0.8,3.3,3.0,6.3,0.3775262296879566,0.3504087286722356,0.13603383778873746,0.13603120385107045,34.27938165566646,47.8261443685556,31.817112563438993,44.5363081775151,12.35187247121736,17.230988372769623,12.351633309677197,16.425898930726543,100.6,131.2681049744808,14.2,19.007261720966167,3.3,4.8175752421826274,3.0,5.017009527620111,6.0,9.327203734539758,9.6,12.49812103650864,13.7,17.2334973723639,26.9,29.578340004248254,68.9,79.26468974113685,0.8,1.0002275776100535
11,2016,1.366764609944724,1.308100834664717,1.3454973215508732,1.276576369283063,1.2453279278023432,1.3157272673730895,1.3333324856233688,1.7552811552377996,1.5605600568368805,1.43225940729281,1.2095648477598715,1.0815157941367604,1.1349139395631778,1.2130792510805284,1.1165477270590063,2195,83.8,95.4,13.1,2.9,3.1,5.7,8.5,12.0,23.2,63.2,1.2,2.9,3.1,6.0,0.35656929681343646,0.3851721758789099,0.12498060001496472,0.13327792729268892,29.880507072965976,40.839619594532905,32.27742833865265,42.222130950622116,10.473374281254044,14.091897043027117,11.168690307127331,14.257686121919546,95.4,118.80428431234355,13.1,17.236027202587472,2.9,3.8666642083077694,3.1,5.441371581237179,5.7,8.89519232397022,8.5,12.174204961988886,12.0,14.514778173118458,23.2,25.09116642397284,63.2,71.72656098039283,1.2,1.3398572724708075
11,2017,1.3751985475231252,1.3253118909998918,1.3644998424627666,1.2844781121683997,1.2551519707846697,1.290931135092969,1.3150436168414967,1.7372282697048147,1.56931753852762,1.4052970397171185,1.1409930885014172,1.0857740769906616,1.147051676894532,1.2478417420559798,1.1333735191500638,2194,75.7,91.9,12.7,2.9,2.8,5.5,8.6,12.1,22.5,63.9,1.1,2.9,2.8,5.699999999999999,0.34412057766857723,0.4028769544065102,0.12307184454707273,0.12993062337783992,26.049927729511296,35.823822776706315,30.497785448572824,40.41907770415703,9.316538632213407,12.712415495953472,9.835748189702482,12.633803266472798,91.9,115.34846611511115,12.7,16.394825415680707,2.9,3.8136264888403404,2.8,4.864239155173481,5.5,8.63124646190191,8.6,12.085554541567218,12.1,13.806016370867148,22.5,24.429916732289886,63.9,73.2966021535606,1.1,1.2467108710650703
11,2018,1.378386500941451,1.4211278681814778,1.3995251168855782,1.326372333385169,1.3080000751562162,1.3101733097150634,1.4251933079893386,1.690771140741356,1.5834861238869162,1.2983327894340582,1.2063023724024695,1.0940813030779435,1.1622736792634256,1.2801162214892252,1.2134393275128728,2192,91.9,106.3,16.3,3.3,2.7,5.8,8.9,14.6,26.0,74.7,1.1,3.3,2.7,6.0,0.35153708127299643,0.3834932331600388,0.12976037020551373,0.13520931536145112,32.306257768988374,44.530509604708456,35.24302812740757,50.08484943096258,11.924978021886712,16.689306259938952,12.425736081717359,16.48115256073574,106.3,139.04040798910577,16.3,21.355824948355533,3.3,4.703137916364817,2.7,4.565082080001662,5.8,9.184219518544113,8.9,11.555161825963118,14.6,17.612014637076054,26.0,28.44611388002653,74.7,86.82184384097789,1.1,1.33478326026416
11,2019,1.3793091654929357,1.4327984584014697,1.4113734185031306,1.3294009920023024,1.3108176968814709,1.302928588830092,1.4178424260453042,1.690498386807491,1.5901219412677536,1.3119375395337596,1.1890870753916294,1.1009162416094522,1.1775487984763162,1.3483204436726437,1.1947745079977363,2190,97.3,114.9,14.6,3.6,2.6,6.5,10.1,14.5,28.9,85.5,1.1,3.6,2.6,6.2,0.33292863284471924,0.39977365738550547,0.12734370244049753,0.13995400732927782,32.39395597579118,44.68128038398343,38.89797686360968,55.732961285115984,12.39054224746041,17.48768196890566,13.617524913138732,18.1031511281427,114.9,150.61295337168102,14.6,19.022757396919346,3.6,5.104232733763095,2.6,4.395295805699477,6.5,10.335792618240399,10.1,13.250569149290971,14.5,17.241762593178628,28.9,31.81647938251317,85.5,100.68042226972504,1.1,1.3142519587975101
11,2020,1.3661508225095955,1.3451304331581728,1.358881081090713,1.2904188880988867,1.2667592002327357,1.28903342254597,1.3135299278503436,1.7072382121740992,1.607880419782013,1.362110071885556,1.140056638551249,1.0887880031734547,1.173100796148794,1.238934124216593,1.1325426405893817,2189,107.2,122.7,15.3,3.9,3.1,7.9,9.5,16.9,30.1,81.9,1.2,3.9,3.1,7.0,0.35139159186727786,0.40095385288925195,0.11833763771461692,0.12931691752885333,37.669178648172185,51.46177939346132,42.98225302972781,57.81673663599195,12.685794763006934,17.238486502049767,13.862773559093077,17.888784842091535,122.7,155.43135386855667,15.3,19.722211364953342,3.9,5.12276671861634,3.1,5.292438457739708,7.9,12.702255316277903,9.5,12.940045682912784,16.9,19.266957191516106,30.1,32.77251889552099,81.9,96.07695520458624,1.2,1.359051168707258
11,2021,1.43611923924752,1.5014148126531028,1.4730498649538757,1.3436469072412642,1.3297334218806929,1.3470954716832968,1.433720567639044,1.6678563962021042,1.6250085961528369,1.3428705234790408,1.2655008850924605,1.1271780720900946,1.2329575593795503,1.3291988758403843,1.2373970699062449,2189,109.9,119.0,18.5,4.0,3.4,7.6,10.0,16.2,29.8,77.2,1.1,4.0,3.4,7.4,0.3272587319379718,0.41841517008591617,0.11925026657899111,0.13507583139712104,35.9657346399831,51.6510834701507,45.98382719244219,69.04079928921325,13.105604297031125,19.305208639880632,14.844833870543603,19.946215118666277,119.0,158.23827720380245,18.5,24.92126622614099,4.0,5.734882270556176,3.4,5.670711747087155,7.6,12.35006533076156,10.0,13.428705234790408,16.2,20.50111433849786,29.8,33.589906548284816,77.2,95.18432358410129,1.1,1.3611367768968694
11,2022,1.4065732411793936,1.4320252965970697,1.4204616487489186,1.3187409326428945,1.2995309371056658,1.330151328631787,1.4101924408371074,1.6830308892432069,1.6351459955958738,1.3192691734476534,1.20222139735926,1.1008553451262073,1.2216326312464512,1.279623548248135,1.1873874563759097,2184,94.5,109.9,17.5,3.8,2.9,6.9,9.4,16.3,22.0,62.9,0.9,3.8,2.9,6.699999999999999,0.3340234275955719,0.41705141765248865,0.11694732923389015,0.13197782551804946,31.565213907781544,44.39878523478916,39.41135896816018,56.438063015673166,11.05152261260262,15.698264031483474,12.471904511455675,16.44721098727018,109.9,142.8184499879127,17.5,23.277648251056274,3.8,5.3587312751810074,2.9,4.8807895788053,6.9,11.28250736961153,9.4,12.401130230407942,16.3,19.596208776955937,22.0,24.21881759277656,62.9,76.84069250540178,0.9,1.0686487107383187
11,2023,1.4092171205454356,1.4439977177951644,1.4657988885513555,1.318949212657913,1.3027921029311318,1.3083842275013569,1.349807906069962,1.689666698726648,1.6252264602874242,1.3322112739021923,1.1725169807304203,1.1138172169613252,1.235135315404163,1.4016695166996784,1.194456205485685,2186,91.5,112.0,18.2,3.8,3.4,7.3,10.2,17.4,20.7,70.6,0.9,3.8,3.4,7.199999999999999,0.30514479284737517,0.44091679412918816,0.11685423592979112,0.13708417709364562,27.920748545534828,39.346396868811745,40.343886662820715,58.256480268099885,10.692162587575888,15.672560037079123,12.543202204068574,16.543846671265246,112.0,145.91271552828675,18.2,23.812592940524695,3.8,5.129270043065855,3.4,5.744866775670603,7.3,11.864153160098196,10.2,13.58855499380236,17.4,20.401795464709313,20.7,23.05601639109943,70.6,87.2005532675339,0.9,1.0750105849371165
11,2024,1.420679963208614,1.4515073697419332,1.481043208793242,1.3204740737615803,1.3035840991671528,1.312194578657767,1.3247540092895036,1.7030771834143918,1.6321158757195318,1.3538460247333357,1.170198781968276,1.1222225566706066,1.24734345360919,1.4295983636136669,1.1908101613829716,2183,86.3,103.9,15.68,4.09,3.26,6.9,9.1,15.6,17.1,65.2,0.8,4.09,3.26,7.35,0.2999842151755188,0.4463041666923301,0.1146420265842991,0.1390695915478519,25.888637769647275,36.77946895410363,38.51604958554808,55.90632982676877,9.893606894225012,14.652859301161953,12.001705750579617,15.847941284555652,103.9,135.4423879034672,15.68,20.575210993353785,4.09,5.41824389799407,3.26,5.5520316179309175,6.9,11.26159954246477,9.1,12.319998825073354,15.6,18.255100998705103,17.1,19.190005719067372,65.2,81.3267931753192,0.8,0.9526481291063773
