Province,Year,q_daogu_coef,q_xiaomai_coef,q_doulei_coef,q_zaliang_coef,q_shucai_coef,q_zhurou_coef,q_niurou_coef,q_yangrou_coef,q_qinlei_coef,q_shuichanpin_coef,q_danlei_coef,q_nailei_coef,q_guaguo_coef,q_youliao_coef,q_tang_coef,pop,q_liangshi,q_shucai,q_zhurou,q_niurou,q_yangrou,q_qinlei,q_shuichanpin,q_danlei,q_nailei,q_guaguo,q_tang,q_niurou,q_yangrou,q_niuyangrou,稻谷占比,小麦占比,豆类占比,杂粮占比,户内消费量_daogu,户内外消费量_daogu,户内消费量_xiaomai,户内外消费量_xiaomai,户内消费量_doulei,户内外消费量_doulei,户内消费量_zaliang,户内外消费量_zaliang,户内消费量_shucai,户内外消费量_shucai,户内消费量_zhurou,户内外消费量_zhurou,户内消费量_niurou,户内外消费量_niurou,户内消费量_yangrou,户内外消费量_yangrou,户内消费量_qinlei,户内外消费量_qinlei,户内消费量_shuichanpin,户内外消费量_shuichanpin,户内消费量_danlei,户内外消费量_danlei,户内消费量_nailei,户内外消费量_nailei,户内消费量_guaguo,户内外消费量_guaguo,户内消费量_tang,户内外消费量_tang
11,2015,1.0072995707099044,1.3802882533280505,3.320595870753551,1.4354048744445438,1.1829551173837096,1.468604250432798,1.2907450150164406,1.0415535853392464,1.4826186258581373,1.2848469958922493,1.486594197793964,1.0542054571411337,1.0,1.0000013113039046,1.0289577626770785,2188,90.8,100.6,14.2,3.3,3.0,6.0,9.6,13.7,26.9,68.9,0.8,3.3,3.0,6.3,0.6391925964302841,0.22823376628351866,0.11571446473151803,0.016859172554679204,58.0386877558698,58.462345261053834,20.72362597854349,28.604577504547606,10.506873397621836,34.8890804186734,1.5308128679648716,2.1973362525392086,100.6,119.00528480880118,14.2,20.854180356145733,3.3,4.259458549554254,3.0,3.124660756017739,6.0,8.895711755148824,9.6,12.334531160565593,13.7,20.366340509777306,26.9,28.358126797096496,68.9,68.9,0.8,0.8231662101416628
11,2016,1.0,1.3185177966567905,1000000.0,1.5304176744956537,1.1545228851263487,1.3625594249207504,1.266053341384696,1.058188651850198,1.425406055378653,1.3939940460428386,1.7772561179853208,1.0107972627791428,1.0,1.0000013113039046,1.001137954043365,2195,83.8,95.4,13.1,2.9,3.1,5.7,8.5,12.0,23.2,63.2,1.2,2.9,3.1,6.0,0.6624114764510487,0.22581988433530337,0.10725229223112692,0.004516346982521001,55.51008172659788,55.51008172659788,18.92370630729842,24.951243544879322,8.987742088968435,8987742.088968435,0.37846987713525987,0.5792169892320002,95.4,110.14148324105368,13.1,17.84952846646183,2.9,3.671554690015618,3.1,3.280384820735614,5.7,8.124814515658322,8.5,11.848949391364128,12.0,21.32707341582385,23.2,23.450496496476113,63.2,63.2,1.2,1.201365544852038
11,2017,1.0,1.2227442219210285,1000000.0,1.4268759515856686,1.0843447376898048,1.3712955899646029,1.281088326913466,1.01113774041559,1.3262865632228642,1.4387042035828137,1.85268326414802,1.0048711997152353,1.0,1.0000013113039046,1.001137954043365,2194,75.7,91.9,12.7,2.9,2.8,5.5,8.6,12.1,22.5,63.9,1.1,2.9,2.8,5.699999999999999,0.6329217794398957,0.246964358422097,0.1201138621380073,0.0,47.912178703600105,47.912178703600105,18.69520193255274,22.859450140675712,9.092619363847152,9092619.363847153,0.0,0.0,91.9,99.65128139369307,12.7,17.415453992550457,2.9,3.7151561480490516,2.8,2.8311856731636516,5.5,7.294576097725753,8.6,12.372856150812197,12.1,22.41746749619104,22.5,22.609601993592793,63.9,63.9,1.1,1.1012517494477014
11,2018,1.0056143330175134,1.3785868618920587,4.731005196650581,1.6084475340027873,1.191001209727026,1.4272648743892071,1.4109323521437285,1.05007577071953,1.3294840048737877,1.4256195931330495,1.733833300331984,1.0096130145427655,1.0381431158730887,1.0000013113039046,1.0008787479375076,2192,91.9,106.3,16.3,3.3,2.7,5.8,8.9,14.6,26.0,74.7,1.1,3.3,2.7,6.0,0.6450092731876701,0.21848881105162316,0.13576559178737502,0.0007363239733317002,59.276352205946885,59.60914938729449,20.07912173564417,27.68081342309032,12.476857885259765,59.028079493034724,0.06766817314918325,0.10884070623227741,106.3,126.60342859398285,16.3,23.264417452544077,3.3,4.656076762074304,2.7,2.8352045809427313,5.8,7.7110072282679685,8.9,12.68801437888414,14.6,25.313966184846965,26.0,26.249938378111903,74.7,77.54929075571972,1.1,1.1009666227312584
11,2019,1.0290607630567956,1.3941240136992503,19.89845537515717,1.5575065473939789,1.2489004056250042,1.4936904255382608,1.3180830383980136,1.017663207978639,1.4599706304021025,1.402275205482452,1.9817609935113132,1.0079087709222334,1.0,1.0000013113039046,1.0003029429467387,2190,97.3,114.9,14.6,3.6,2.6,6.5,10.1,14.5,28.9,85.5,1.1,3.6,2.6,6.2,0.5995734573855491,0.2486418732923433,0.1331367084829491,0.0186479608391584,58.33849740361393,60.03385865374984,24.192854271345002,33.727839099608545,12.954201735390946,257.7686051524603,1.8144465896501123,2.826012443276726,114.9,143.49865660631298,14.6,21.807880212858606,3.6,4.745098938232849,2.6,2.6459243407444615,6.5,9.489809097613666,10.1,14.162979575372766,14.5,28.73553440591404,28.9,29.128563479652545,85.5,85.5,1.1,1.1003332372414127
11,2020,1.0571273675580186,1.343288233100303,37.18064651152676,1.483821451269603,1.2047730141213062,1.623634911465761,1.3508129733058252,1.0404452455452036,1.4716110007755747,1.5317096890140751,1.765994852712852,1.00753046814102,1.1497810187763395,1.0000013113039046,1.0016021727030773,2189,107.2,122.7,15.3,3.9,3.1,7.9,9.5,16.9,30.1,81.9,1.2,3.9,3.1,7.0,0.6561487120084593,0.22756361976716263,0.11628766822437821,0.0,70.33914192730684,74.35743194190374,24.394820039039836,32.76927470704169,12.466038033653344,463.49535352851314,0.0,0.0,122.7,147.82564883268427,15.3,24.841614145426146,3.9,5.268170595892718,3.1,3.225380261190131,7.9,11.62572690612704,9.5,14.551242045633714,16.9,29.845313010847196,30.1,30.326667091044705,81.9,94.16706543778221,1.2,1.2019226072436926
11,2021,1.015811323210872,1.3380173305984762,3.3904465088015177,1.3522075226969588,1.1818096776265887,1.5419777519472535,1.326219674389871,1.0189469336936885,1.5124322639287882,1.1860346762750946,1.9499094617682269,1.0008306841419146,1.0,1.0000013113039046,1.001048470957975,2189,109.9,119.0,18.5,4.0,3.4,7.6,10.0,16.2,29.8,77.2,1.1,4.0,3.4,7.4,0.6820827707779853,0.21200996716096923,0.10523288820709811,0.0006743738539474001,74.96089650850058,76.14612747137322,23.29989539099052,31.175663834276875,11.565094413960082,39.2108339797709,0.07411368654881928,0.10021708448611784,119.0,140.63535163756407,18.5,28.52658841102419,4.0,5.304878697559484,3.4,3.4644195745585407,7.6,11.494485205858789,10.0,11.860346762750947,16.2,31.588533280645272,29.8,29.824754387429056,77.2,77.2,1.1,1.1011533180537727
11,2022,1.0383388871195276,1.4159608475028873,19.89845537515717,1.583290811114432,1.2489004056250042,1.492238847999681,1.3168387736642544,1.0229733428542145,1.4832209092821893,1.402275205482452,2.086020602933882,1.003777293901035,1.0,1.0000013113039046,1.0,2184,94.5,109.9,17.5,3.8,2.9,6.9,9.4,16.3,22.0,62.9,0.9,3.8,2.9,6.699999999999999,0.5986962399396775,0.24823599211484862,0.13422215905105253,0.018845608894421405,56.57679467429952,58.74588601890218,23.458301254853193,33.216036125799974,12.683994030324465,252.3918891911713,1.7809100405228226,2.8196985025812156,109.9,137.25415457818795,17.5,26.11417983999442,3.8,5.0039873399241666,2.9,2.966622694277222,6.9,10.234224274047106,9.4,13.18138693153505,16.3,34.00213582782228,22.0,22.08310046582277,62.9,62.9,0.9,0.9
11,2023,1.0,1.24083500900975,30.48347006876612,1.4560484203418895,1.1464604335473907,1.4015151907521404,1.2869054131713231,1.07172957883812,1.4229917114365689,1.3555456714114598,1.7106026327463877,1.0,1.0,1.0000013113039046,1.001090104288772,2186,91.5,112.0,18.2,3.8,3.4,7.3,10.2,17.4,20.7,70.6,0.9,3.8,3.4,7.199999999999999,0.6568732669917736,0.21106164410421563,0.13206508890401084,0.0,60.10390392974729,60.10390392974729,19.31214043553573,23.963179951325536,12.083955634716991,368.3608999031931,0.0,0.0,112.0,128.40356855730775,18.2,25.507576471688953,3.8,4.890240570051027,3.4,3.643880568049608,7.3,10.387839493486952,10.2,13.82656584839689,17.4,29.764485809787143,20.7,20.7,70.6,70.6,0.9,0.9009810938598949
11,2024,1.0011049784416426,1.2357874487685525,15.089890816237276,1.550579077498196,1.0886838619441783,1.3851038649406962,1.2542979543177364,1.0106582501048476,1.2456445138035934,1.2866857160474494,1.661060334316637,1.0,1.040579407398991,1.0000013113039046,1.001090104288772,2183,86.3,103.9,15.68,4.09,3.26,6.9,9.1,15.6,17.1,65.2,0.8,4.09,3.26,7.35,0.6402172822191207,0.22594935999428412,0.13383335778659522,0.0,55.25075145551011,55.311802344753005,19.49942976750672,24.0971505648287,11.549818776983168,174.28550429200314,0.0,0.0,103.9,113.11425325600014,15.68,21.718428602270116,4.09,5.130078633159542,3.26,3.2947458953418027,6.9,8.594947145244795,9.1,11.70884001603179,15.6,25.912541215339537,17.1,17.1,65.2,67.84577736241421,0.8,0.8008720834310177
