scenario,year,function_evaluations,maximum_market_relative_residual,maximum_accounting_absolute_residual_mt,minimum_world_price_index,maximum_world_price_index,converged,accounting_passed,base_ssp,diet_pathway
SSP1__BASELINE,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP1,BASELINE
SSP1__BASELINE,2050,7,1.8945985411321557e-15,3.552713678800501e-15,0.6105737216718994,2.9897674146407374,True,True,SSP1,BASELINE
SSP1__PTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP1,PTS
SSP1__PTS,2050,7,1.2975888569534033e-15,1.4210854715202004e-14,0.6202501116919384,2.9863601508750044,True,True,SSP1,PTS
SSP1__MTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP1,MTS
SSP1__MTS,2050,7,1.1326840172038129e-15,7.105427357601002e-15,0.5693328547602162,2.980558519309902,True,True,SSP1,MTS
SSP1__CGS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP1,CGS
SSP1__CGS,2050,8,1.2621931189002265e-15,7.105427357601002e-15,0.45870465192982157,2.9741315340222982,True,True,SSP1,CGS
SSP2__BASELINE,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP2,BASELINE
SSP2__BASELINE,2024,5,1.67634470289345e-15,7.105427357601002e-15,0.9859158565608842,1.0943097693464945,True,True,SSP2,BASELINE
SSP2__BASELINE,2025,5,9.8899049503166e-16,7.105427357601002e-15,0.9732174116840392,1.1887546865249885,True,True,SSP2,BASELINE
SSP2__BASELINE,2026,5,1.9105968660397267e-15,7.105427357601002e-15,0.9584140064104492,1.2604469716404938,True,True,SSP2,BASELINE
SSP2__BASELINE,2027,5,1.1910224527969844e-15,1.4210854715202004e-14,0.9439707804557583,1.3391587828211706,True,True,SSP2,BASELINE
SSP2__BASELINE,2028,6,9.552430501521894e-16,1.7763568394002505e-15,0.930447905896511,1.4246788652719928,True,True,SSP2,BASELINE
SSP2__BASELINE,2029,5,9.166267528815316e-16,1.4210854715202004e-14,0.9178232808652631,1.5172728304640362,True,True,SSP2,BASELINE
SSP2__BASELINE,2030,5,1.0847540365824796e-15,7.105427357601002e-15,0.9060682313368991,1.6174478520713067,True,True,SSP2,BASELINE
SSP2__BASELINE,2031,5,8.886883268503886e-16,7.105427357601002e-15,0.8927728588058113,1.692185907508336,True,True,SSP2,BASELINE
SSP2__BASELINE,2032,5,9.20184474358329e-16,3.552713678800501e-15,0.8803369028846756,1.7716541237041032,True,True,SSP2,BASELINE
SSP2__BASELINE,2033,5,8.808479383027513e-16,3.552713678800501e-15,0.8687306320920986,1.85618398964005,True,True,SSP2,BASELINE
SSP2__BASELINE,2034,5,9.733367871476268e-16,1.7763568394002505e-15,0.8579264605363981,1.9461368033111865,True,True,SSP2,BASELINE
SSP2__BASELINE,2035,5,1.4097618248550893e-15,7.105427357601002e-15,0.8478988497054275,2.0419034286978968,True,True,SSP2,BASELINE
SSP2__BASELINE,2036,5,1.1684201599126204e-15,3.552713678800501e-15,0.8367894431132176,2.1070792442877484,True,True,SSP2,BASELINE
SSP2__BASELINE,2037,5,1.343001879828497e-15,1.7763568394002505e-15,0.8258394329976335,2.1742724423692845,True,True,SSP2,BASELINE
SSP2__BASELINE,2038,5,1.3016076373412272e-15,1.7763568394002505e-15,0.8150469562529047,2.2435383593035247,True,True,SSP2,BASELINE
SSP2__BASELINE,2039,5,9.648376971586295e-16,1.7763568394002505e-15,0.8044101597032988,2.314933210282852,True,True,SSP2,BASELINE
SSP2__BASELINE,2040,5,1.3326620043497973e-15,7.105427357601002e-15,0.7939272003773673,2.388514043320733,True,True,SSP2,BASELINE
SSP2__BASELINE,2041,5,1.0964859604721397e-15,3.552713678800501e-15,0.782220513090976,2.442376212630226,True,True,SSP2,BASELINE
SSP2__BASELINE,2042,5,1.278373148893138e-15,7.105427357601002e-15,0.7706961051001263,2.497290898329421,True,True,SSP2,BASELINE
SSP2__BASELINE,2043,5,1.3533038419531956e-15,3.552713678800501e-15,0.7593514839711185,2.553269803839782,True,True,SSP2,BASELINE
SSP2__BASELINE,2044,5,1.392037682525546e-15,7.105427357601002e-15,0.7479794400530774,2.6103241469443454,True,True,SSP2,BASELINE
SSP2__BASELINE,2045,5,2.8335730284033194e-15,3.552713678800501e-15,0.7346247040987843,2.6684646108467596,True,True,SSP2,BASELINE
SSP2__BASELINE,2046,5,1.29545679442886e-15,3.552713678800501e-15,0.7190863053130548,2.7045801502876077,True,True,SSP2,BASELINE
SSP2__BASELINE,2047,6,8.717757855692858e-16,7.105427357601002e-15,0.7039356429325916,2.740995703827338,True,True,SSP2,BASELINE
SSP2__BASELINE,2048,5,8.99917938382553e-16,3.552713678800501e-15,0.6891626597230922,2.7777065155753244,True,True,SSP2,BASELINE
SSP2__BASELINE,2049,5,7.818112133461164e-16,3.552713678800501e-15,0.6747575604806467,2.8147073379417935,True,True,SSP2,BASELINE
SSP2__BASELINE,2050,5,1.574812289862483e-15,3.552713678800501e-15,0.660710805473315,2.8519924081952395,True,True,SSP2,BASELINE
SSP2__PTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP2,PTS
SSP2__PTS,2024,5,1.67634470289345e-15,7.105427357601002e-15,0.9859158565608842,1.0943097693464945,True,True,SSP2,PTS
SSP2__PTS,2025,5,1.0919641642639464e-15,7.105427357601002e-15,0.9731768517519417,1.189008438271321,True,True,SSP2,PTS
SSP2__PTS,2026,5,1.5271774524534664e-15,3.552713678800501e-15,0.9587053397165318,1.260859285621241,True,True,SSP2,PTS
SSP2__PTS,2027,5,1.6319198234752722e-15,1.7763568394002505e-15,0.9443998672519766,1.3397347266782247,True,True,SSP2,PTS
SSP2__PTS,2028,5,9.34661345363857e-16,3.552713678800501e-15,0.9310103027696802,1.4254232632242971,True,True,SSP2,PTS
SSP2__PTS,2029,5,1.7915344810174216e-15,3.552713678800501e-15,0.9185148459567261,1.51818147027161,True,True,SSP2,PTS
SSP2__PTS,2030,5,1.0670611568431623e-15,7.105427357601002e-15,0.9068851876087963,1.6185091324868026,True,True,SSP2,PTS
SSP2__PTS,2031,5,1.778796400801838e-15,1.4210854715202004e-14,0.8937088936540695,1.6933762475817038,True,True,SSP2,PTS
SSP2__PTS,2032,5,1.4035880035737505e-15,3.552713678800501e-15,0.8813882143846928,1.7729532430076846,True,True,SSP2,PTS
SSP2__PTS,2033,5,1.4019721583190076e-15,7.105427357601002e-15,0.8698937739531853,1.8575679845806794,True,True,SSP2,PTS
SSP2__PTS,2034,5,9.99083837169785e-16,7.105427357601002e-15,0.8591983239094634,1.9475778435023199,True,True,SSP2,PTS
SSP2__PTS,2035,5,1.4203832345964373e-15,1.7763568394002505e-15,0.8492766464769523,2.0433693167249256,True,True,SSP2,PTS
SSP2__PTS,2036,5,9.897093718516537e-16,7.105427357601002e-15,0.8382666430376969,2.1085271456480696,True,True,SSP2,PTS
SSP2__PTS,2037,5,1.5801798139798469e-15,3.552713678800501e-15,0.8274121483711852,2.1756663161738516,True,True,SSP2,PTS
SSP2__PTS,2038,5,1.3640139624573884e-15,7.105427357601002e-15,0.8167113916720876,2.244839272981063,True,True,SSP2,PTS
SSP2__PTS,2039,5,1.1175327100629727e-15,3.552713678800501e-15,0.806162610692277,2.316099226238147,True,True,SSP2,PTS
SSP2__PTS,2040,5,1.6032186096033528e-15,3.552713678800501e-15,0.795764052017018,2.389500105639526,True,True,SSP2,PTS
SSP2__PTS,2041,5,1.1230832524090764e-15,1.7763568394002505e-15,0.7841344360314315,2.4431530526211636,True,True,SSP2,PTS
SSP2__PTS,2042,5,1.3060685910721418e-15,7.105427357601002e-15,0.7726833565636017,2.4978158874602645,True,True,SSP2,PTS
SSP2__PTS,2043,5,9.31226744644267e-16,7.105427357601002e-15,0.7614084269726208,2.553498417185798,True,True,SSP2,PTS
SSP2__PTS,2044,5,1.797804127554797e-15,3.552713678800501e-15,0.7503072816836939,2.6102099543006787,True,True,SSP2,PTS
SSP2__PTS,2045,5,8.238047072414191e-16,7.105427357601002e-15,0.7393775762973683,2.6679592719610903,True,True,SSP2,PTS
SSP2__PTS,2046,5,1.579748494141782e-15,3.552713678800501e-15,0.7273232256516257,2.7036716971422488,True,True,SSP2,PTS
SSP2__PTS,2047,5,9.025921556799294e-16,3.552713678800501e-15,0.713828601106824,2.7396436470192502,True,True,SSP2,PTS
SSP2__PTS,2048,5,1.4663688910353235e-15,7.105427357601002e-15,0.6992084635950764,2.775869761274712,True,True,SSP2,PTS
SSP2__PTS,2049,5,8.564532722455374e-16,2.6645352591003757e-15,0.6849412076487857,2.812344230834287,True,True,SSP2,PTS
SSP2__PTS,2050,5,1.0566998519631046e-15,1.7763568394002505e-15,0.6710180280489844,2.849060777254432,True,True,SSP2,PTS
SSP2__MTS,2023,1,1.5976837174976353e-15,1.4210854715202004e-14,1.0,1.0,True,True,SSP2,MTS
SSP2__MTS,2024,5,1.67634470289345e-15,7.105427357601002e-15,0.9859158565608842,1.0943097693464945,True,True,SSP2,MTS
