response_variant,demand_model_form,scenario,base_ssp,diet_pathway,year,commodity,world_price_index_2023,global_supply_mt,global_demand_mt,relative_market_residual
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,RIC,0.950662585179193,1059.8075329283413,1059.8075329283413,0.0
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,WHE,0.9506920991040403,1088.1442547586116,1088.1442547586116,0.0
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,CRN,1.0248722597671216,1504.9090389402859,1504.9090389402857,1.5108798575848951e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,OCG,1.0159389330030484,368.09840269803914,368.09840269803925,-3.0884903843192256e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,SBS,0.9698415915197851,439.3245802745547,439.3245802745548,-2.5877641003052393e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,SBO,1.1043280961623656,67.78175941214002,67.78175941214,2.0965603192437603e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,SBM,1.0706396607036512,283.15930263296366,283.15930263296343,8.029885415347206e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,NBS,0.8570071572596805,70.41112432192625,70.41112432192627,-2.018268398929215e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,NBO,1.1753717577177596,26.970649893719187,26.97064989371918,2.6345035754053834e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,NBM,0.8321814644334395,27.64072815194823,27.64072815194825,-6.426592055155553e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,RBS,0.6787001086833748,108.99331596477826,108.99331596477833,-6.519140458023272e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,RBO,0.660710805473315,35.74502086368968,35.74502086368969,-1.9878089831579307e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,RBM,0.8756395427027416,48.72980519587686,48.72980519587688,-4.374382780131987e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,DDG,1.1999606853079665,72.57969456866863,72.57969456866859,5.873896879694191e-16
V2_CENTRAL,independent_product_own_price,SSP2__BASELINE,SSP2,BASELINE,2050,ETH,1.3255295440122787,96.77292609155818,96.7729260915581,7.342371099617739e-16
