year,N,HB13_nn,HB13_miss_pct,HB14_nn,HG13_nn,HG13_miss_pct
2012,2599,1891,27.2,1920,1852,28.7
2013,2601,1607,38.2,1860,997,61.7
2014,2599,1625,37.5,1818,935,64.0
2015,2610,1581,39.4,1748,916,64.9
2016,2605,1573,39.6,1751,733,71.9
2017,2629,1546,41.2,1782,768,70.8
2018,2153,1412,34.4,1567,579,73.1
2019,1416,919,35.1,1032,449,68.3
2020,2019,1556,22.9,1701,927,54.1
2021,2156,0,100.0,0,2005,7.0
2022,2164,0,100.0,0,1966,9.1
2023,2206,0,100.0,0,1967,10.8
