prov_name,pid,year,covid_prov_cum
河北,13,2020,373.0
河北,13,2021,1458.0
河北,13,2022,3075.0
河北,13,2023,3292.0
吉林,22,2020,157.0
吉林,22,2021,589.0
吉林,22,2022,40504.0
吉林,22,2023,40769.0
福建,35,2020,513.0
福建,35,2021,1363.0
福建,35,2022,11679.0
福建,35,2023,17724.0
云南,53,2020,230.0
云南,53,2021,1817.0
云南,53,2022,8036.0
云南,53,2023,9783.0
