year,N_households,HB13_deposit_balance_nonmiss,HB13_missing_pct,HG13_interest_income_nonmiss,HG13_missing_pct,HB13_recoverable,HG13_usable_as_proxy
2012,2599,1891,27.2,1852,28.7,partial (nonresponse),weak
2013,2601,1607,38.2,997,61.7,partial (nonresponse),weak
2014,2599,1625,37.5,935,64.0,partial (nonresponse),weak
2015,2610,1581,39.4,916,64.9,partial (nonresponse),weak
2016,2605,1573,39.6,733,71.9,partial (nonresponse),weak
2017,2629,1546,41.2,768,70.8,partial (nonresponse),weak
2018,2153,1412,34.4,579,73.1,partial (nonresponse),weak
2019,1416,919,35.1,449,68.3,partial (nonresponse),weak
2020,2019,1556,22.9,927,54.1,partial (nonresponse),weak
2021,2156,0,100.0,2005,7.0,NO (item dropped),YES
2022,2164,0,100.0,1966,9.1,NO (item dropped),YES
2023,2206,0,100.0,1967,10.8,NO (item dropped),YES
