point,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,curvature_ok,n
aggregate,0.00168643046155441,-0.0819662325000619,-0.0905000263625769,-0.108206968786341,-0.118102375751509,-0.154387709295,-0.20299628098451,-0.237878038369093,-0.333043338282529,FALSE,583668
low_income,0.00161557849713068,-0.0784143524197506,-0.0876914818424759,-0.101525304089056,-0.123354884887001,-0.153308655967324,-0.203583509204735,-0.228143510136488,-0.330983246436572,FALSE,182410
non_low_income,0.00173339401938607,-0.0833035344208006,-0.0917637416812315,-0.110961821918485,-0.115645802746808,-0.155084324056188,-0.20266193469319,-0.243158786410628,-0.334789430107867,FALSE,401258
elderly,0.00156610597668113,-0.0797574455523609,-0.0865788271783046,-0.112120755982552,-0.128200615052899,-0.148910069684943,-0.197189528014371,-0.2038896174849,-0.329713305379923,FALSE,137581
non_elderly,0.00178496012073794,-0.0802676457487459,-0.0945190862264795,-0.106719402076045,-0.114925159417027,-0.155277011138058,-0.207244064384625,-0.257563837679303,-0.335308955165636,FALSE,446087
large_family,0.00258383698107335,-0.0780008586480618,-0.105108759502555,-0.110505943055004,-0.120425684612422,-0.15674192642295,-0.21900655291113,-0.304607537175056,-0.370150263102181,FALSE,99142
small_family,0.001644624481457,-0.0822650932085473,-0.0880184964664824,-0.108355486295028,-0.117611414325296,-0.153374614263946,-0.202452525040292,-0.231539363970999,-0.331721320878608,FALSE,484526
xq1,0.00180919443147594,-0.0295055792680581,-0.0332321805673988,-0.0901622544665311,-0.0969802820872092,-0.130241201729577,-0.210436975561182,-0.30066772466832,-0.402006984727299,FALSE,116749
xq2,0.00166361881361515,-0.0597134080778103,-0.0688093993990257,-0.105212866000143,-0.11585625617595,-0.149656273991047,-0.219569432479091,-0.276286451349778,-0.339093226810378,FALSE,116859
xq3,0.00163024820478772,-0.0737336575208902,-0.0899339631214656,-0.107189478919556,-0.121019878991397,-0.159479199452037,-0.210326627770612,-0.278081225897851,-0.309458286671371,FALSE,116593
xq4,0.0016446826190627,-0.086739308653835,-0.100566896973113,-0.114775699052225,-0.124818588180562,-0.163182761196833,-0.196349927878394,-0.252361692749039,-0.31013395139078,FALSE,116733
xq5,0.00156360323448068,-0.087005365895509,-0.104604962537133,-0.11887583592248,-0.13641417605759,-0.144067754482411,-0.169501041980252,-0.20291858537485,-0.328565201213954,FALSE,116734
inc1,0.00161815292385256,-0.076581035239958,-0.088300656210052,-0.0979995072867963,-0.123676126052962,-0.153197217713027,-0.204466607848624,-0.22982020236367,-0.330704674520078,FALSE,82983
inc2,0.0016152185512342,-0.0798477215692568,-0.0871684388286001,-0.104333237852796,-0.123054006959122,-0.153390917889114,-0.202827609061342,-0.226879035402746,-0.331313152852828,FALSE,99427
inc3,0.00173145562243658,-0.0810020961960504,-0.0877997717928868,-0.107159974537691,-0.120461288838337,-0.154476785702395,-0.201845855138326,-0.232849087762027,-0.33713019203585,FALSE,103395
inc4,0.00170718683042043,-0.0829798693890807,-0.0891874931973819,-0.111077154174719,-0.116776657848202,-0.155660796865602,-0.202697250205601,-0.24032338968739,-0.333789255585517,FALSE,110455
inc5,0.00176738862594683,-0.084329430022752,-0.0954435705687816,-0.111119837254142,-0.11400106397507,-0.155054708616939,-0.203651363710321,-0.251925579922832,-0.334507944155224,FALSE,187408
