point,eig_max_constrained,curvature_ok_constrained,eig_max_unconstrained,curvature_ok_unconstrained,n
aggregate,1.76453906545096e-16,TRUE,0.0909947791310801,FALSE,583668
low_income,-1.11780749685014e-16,TRUE,0.0868356898694839,FALSE,182410
non_low_income,-1.26146698277837e-16,TRUE,0.093241315066092,FALSE,401258
elderly,6.17055338868399e-17,TRUE,0.076503515119977,FALSE,137581
non_elderly,-5.04153744440818e-17,TRUE,0.100864353707166,FALSE,446087
large_family,-1.22514841200906e-17,TRUE,0.127764556718067,FALSE,99142
small_family,1.00912142678463e-16,TRUE,0.0845817530213019,FALSE,484526
xq1,1.09170264923344e-16,TRUE,0.209239706988737,FALSE,116749
xq2,5.51113516888798e-17,TRUE,0.116931447003121,FALSE,116859
xq3,-5.98998330156595e-17,TRUE,0.08527729936374,FALSE,116593
xq4,9.36750677027476e-17,TRUE,0.0803723251994267,FALSE,116733
xq5,-1.96667059776853e-17,TRUE,0.149979966032188,FALSE,116734
inc1,9.87712744385186e-17,TRUE,0.0865343904678151,FALSE,82983
inc2,1.0983325097783e-16,TRUE,0.0871005939592303,FALSE,99427
inc3,-4.38220933011883e-17,TRUE,0.0873602400222178,FALSE,103395
inc4,4.8301361888146e-17,TRUE,0.090769486029282,FALSE,110455
inc5,-1.98407491692115e-17,TRUE,0.0981837095609768,FALSE,187408
