obs_id,province,provincechn,year,population_10k,m,m_consumption_real,pgdp_nominal,monetary_deflator,food_price_index_2023,covered_food_exp_split,nonfood_exp_split,covered_daily_kcal_split,x_grain,p_grain_model,x_oil,p_oil_model,x_vegfruit,p_vegfruit_model,x_pork,p_pork_model,x_aquatic,p_aquatic_model,x_othermeat,p_othermeat_model,x_dairyegg,p_dairyegg_model,x_nonfood,p_nonfood_model
11_2015,11.0,北京,2015,2188,129447.94007304106,38487.30551090741,113692.0,0.8782835782156846,82.4844498132478,2602.5143933968934,126845.42567964416,1243.678248221881,0.27928291419322815,952.492628970482,0.1325254555849315,6189.55093593473,0.05847404245978083,11473.723595937738,0.07153634571731508,3304.870252080553,0.010006759580821917,10709.249008192222,0.024733010583849316,13104.9466459781,0.045280595991013695,3922.285227397536,1419.0204488474142,89.38942760315621
11_2016,11.0,北京,2016,2195,136638.41161128762,39218.02893452088,121687.3748946726,0.8905795483107042,85.20643665708498,2162.823824116737,134475.5877871709,1140.2831664411158,0.257820426562503,911.1511033171773,0.11956476897123287,5695.686536840867,0.05455606020453424,8727.856728181494,0.06598099315824658,3669.684200013934,0.008863184716438358,10081.803285482356,0.023831074311821916,12136.985360234014,0.039525075295780816,3795.71302307327,1491.2541350585097,90.17617093272617
11_2017,11.0,北京,2017,2194,145220.78473592646,39912.29441309149,131787.94343208088,0.9075005597286075,84.69519803714248,1978.9444033147965,143241.84033261167,1046.6663579564986,0.23266685748709856,927.8872298287143,0.10227710818356164,5543.935868897587,0.053832028791054795,9346.568366768566,0.06376801697580824,3147.1397567026142,0.00891402395821918,10252.882777958577,0.022755051062068495,11887.389527309013,0.039120092520438354,3331.1238078959123,1549.244788306517,92.45913971360824
11_2018,11.0,北京,2018,2192,153253.28535868856,40447.41658487019,142554.37829933933,0.9301880737218228,87.15135878021962,2082.560905688558,151170.724453,1190.6335817790089,0.28270336221454545,879.4997542140694,0.08888179909315069,5440.327658401072,0.06259543929219177,9275.71025497311,0.08198711577764385,2686.130838980439,0.009298463968493154,10138.643320133766,0.023452645242876713,12150.499831908415,0.046397965300602736,3670.3507823580994,1596.7036689909644,94.67675648827952
11_2019,11.0,北京,2019,2190,156929.6348478328,41748.69958820237,149331.478468201,0.9515823994174246,92.55474302459324,2327.756317162467,154601.8785306703,1221.4405886009642,0.2990679260443452,832.2515573049811,0.08458353453698629,4942.802433042952,0.06964763426446574,11611.676427500846,0.0734307940511507,3763.631146525298,0.010450473768493153,9661.479093512862,0.02518523721827397,12316.513591195964,0.048354694416767124,3402.426686774664,1611.3235676876118,95.94713416408185
11_2020,11.0,北京,2020,2189,153961.1073298024,36486.48837370888,148997.2934886646,0.967759300207521,98.20058234909344,2305.6927914412568,151655.41453836116,1325.5442029271433,0.3296421438348593,784.1354173872052,0.09269882345342464,4571.168590822027,0.07043756775884932,8273.924973478881,0.07711796269430138,5364.40194662875,0.009866138876027398,9391.386672098444,0.029375848706931502,13254.99549085314,0.05363361613917808,2702.5288281914004,1572.858347141213,96.42026239299054
11_2021,11.0,北京,2021,2189,172071.18216552245,40043.44138787901,168355.2451936091,0.9784046525098036,97.2185765256025,2208.488471119797,169862.69369440264,1351.975188136109,0.33796887899956124,802.3101852856556,0.08498342465753424,5223.899098782642,0.06739924657534246,7347.770117225862,0.09318982191780824,3523.435038217715,0.010390410958904112,11700.705894768156,0.02989333424657534,13269.111594684784,0.052162476712328765,2905.7703312972867,1732.7668520069583,98.0297456046444
11_2022,11.0,北京,2022,2184,168219.86122103228,37792.5360364724,167549.66257074926,0.99601593625498,101.010101010101,1896.107768495523,166323.75345253677,1190.337225247285,0.29045760454528635,800.2778869169981,0.07438381159315068,5058.407794032158,0.05874473892142465,7540.367240505515,0.08833436521964386,2851.2572557112744,0.009781028941780822,11491.18519602874,0.02694596221868493,12820.79580731892,0.046521101183671226,2895.720773140035,1676.1975459471537,99.22682076148352
11_2023,11.0,北京,2023,2186,175920.69102390145,41799.109015962975,175920.69102390145,1.0,100.0,1964.07948790253,173956.61153599893,1200.5742352605328,0.28137973277819794,832.5932501877371,0.07752926983561644,5516.518798605855,0.0625574987029863,7132.452277843986,0.0917772657090411,2532.376701962099,0.010623725558904111,12834.24704653717,0.02888333820968493,12158.869352260672,0.04753628683583561,2860.41924000051,1739.5661153599895,100.0
12_2015,12.0,天津,2015,1439,87578.65052777773,27892.070044926553,75868.0,0.8662841861891512,80.63145603231898,2727.5462217170775,84851.10430606066,1507.152601244341,0.3916584675059102,1018.9491232795402,0.135591645230137,5781.40814318676,0.06437066645275343,10694.97964012559,0.07950842770783562,3665.7348264391735,0.017269236029452056,8783.650176196397,0.021424722819041092,12410.098093734183,0.04375313487704109,3361.7227353625044,949.5568825061397,89.35863229395531
12_2016,12.0,天津,2016,1443,88197.76055201638,28934.54783657256,78008.81605320281,0.8844761540991233,82.88913680122391,2516.5925726177193,85681.16797939866,1530.1697832081718,0.3901662995398668,941.1585515676637,0.13549281812876712,5286.942776598337,0.07142678030967123,8160.621505017444,0.081014642206274,3709.2015496242257,0.017596924654109593,8324.870298020229,0.023842577820958902,11203.91655087483,0.04554484894443835,2986.78175121611,941.9848490269814,90.9581168613302
12_2017,12.0,天津,2017,1410,92715.29920219563,29575.186358605977,83726.56516106216,0.9030501533352048,82.8062476644227,2634.9158501687693,90080.38335202687,1483.3169468935168,0.369275096173772,937.6225987779806,0.13431470153424657,5129.759410798467,0.06997625361460273,10427.023853868492,0.07981485599145208,3922.594251687216,0.017569931405479456,9712.186966148956,0.024042105983863013,10749.672134066344,0.04666552874334246,2739.9345423279588,960.6553734604399,93.7697178828474
12_2018,12.0,天津,2018,1383,97748.0489201656,30546.363721039343,90036.81837688411,0.921111156401909,85.62166008501308,2387.0366080477165,95361.01231211789,1455.4207747526605,0.36371157488223427,901.4602329125362,0.12208846877260275,4915.263206428519,0.07050427453306848,9702.68386414955,0.08465258647430139,2358.263067244285,0.017357974295205483,9931.034335011207,0.0227558682190274,11461.711474294676,0.046639640199890406,3047.8481022767774,1002.6283261404361,95.1110295070208
12_2019,12.0,天津,2019,1385,98359.21302850176,30850.637662215635,93045.96220376254,0.9459811576247606,90.75895969011388,2333.9629490791226,96025.25007942264,1331.5357668556996,0.3234035243258499,847.4222749900138,0.10742854474109591,4595.007143694106,0.07131544184339726,10519.643423978485,0.0757874387152603,3165.456127417133,0.018120419534246576,8676.936892456682,0.02289242052158904,12481.184658387436,0.046820093746410954,2844.9232354205274,995.6363566343847,96.44610649215656
12_2020,12.0,天津,2020,1387,94084.59072271398,26494.83359782864,90782.2950474553,0.964900780777256,97.6566406265625,2219.967532956179,91864.62318975781,1393.1963139049092,0.34173618641879705,787.320985363034,0.11870472439726028,4366.468460382302,0.07043950022834246,8096.7300260006205,0.07093226914249315,4727.664875684682,0.017504199587671236,8309.498552922494,0.025058029841890407,10652.569738618988,0.052223247336000006,2193.1589312128544,956.2359049514444,96.06899585560166
12_2021,12.0,天津,2021,1373,103108.29346908118,30106.96853468121,100782.63342027491,0.9774444909273602,97.85195390781564,2199.977829970938,100908.31563911024,1369.5879385640662,0.3296657309258686,810.4093782207206,0.10468972602739726,4606.800440079221,0.07004762876712328,7948.973055591131,0.08865626301369865,3702.2142750254834,0.017975410958904113,9303.239987599063,0.023959757534246576,10987.419213314277,0.049799452054794524,2711.120101986395,1032.6329548207236,97.71944151891708
12_2022,12.0,天津,2022,1363,103025.20048978901,27366.21903872929,102614.74152369423,0.99601593625498,100.2004008016032,2244.1715952074305,100781.02889458158,1322.1713663667429,0.3113000469055084,797.8021947879953,0.10181897362602739,5134.344703521871,0.06493043331661644,8602.244625720052,0.09226918707386304,3764.1659058860187,0.01786148945410959,9334.01425231469,0.024605855385109586,10828.90704314385,0.04829969742213698,2774.4295873570845,1014.2060851820927,99.36937903156748
