"draw","wald_chisq","wald_df","wald_p","n","n_clusters"
1,2.87934665904978,4,0.578215188862991,27568,350
2,1.79092368224703,4,0.774142497801962,27568,350
3,5.19867804092695,4,0.267512550153279,27568,350
4,3.7270450011479,4,0.4442046097033,27576,350
5,6.91643741028737,4,0.140370571739381,27600,350
6,6.12752341800995,4,0.189825009271003,27576,350
7,13.4302735294212,4,0.00935398753807848,27568,350
8,7.46386775181103,4,0.113313167045983,27584,350
9,5.33313306839604,4,0.254791208529514,27584,350
10,0.77556963811721,4,0.941692963622352,27568,350
11,4.69965894950296,4,0.319524912991753,27592,350
12,0.421770999418248,4,0.980655954590964,27576,350
13,10.678943520519,4,0.0304193514007518,27584,350
14,2.54779200928042,4,0.63609882486458,27576,350
15,7.53638190476099,4,0.110115664003097,27592,350
16,7.26531718015956,4,0.122514280870627,27576,350
17,5.86801821084592,4,0.209223949724556,27568,350
18,1.55089272782944,4,0.817589828759055,27576,350
19,4.05887418001456,4,0.398096728569104,27576,350
20,2.42118806323854,4,0.65880166087556,27568,350
21,7.64004117127717,4,0.105690275983908,27600,350
22,4.42538213053809,4,0.351487144644645,27568,350
23,3.93997693112207,4,0.414190031824194,27576,350
24,6.58730105040365,4,0.159372154741823,27576,350
25,2.88218587439356,4,0.577730909565087,27576,350
26,5.29031553153481,4,0.258784885978218,27568,350
27,0.63395349103482,4,0.959216973380735,27568,350
28,3.60890803490886,4,0.461512959761737,27576,350
29,5.68383286705093,4,0.224036762970387,27584,350
30,11.5773000643132,4,0.0207876144781063,27568,350
31,11.5811410933596,4,0.0207535994237122,27584,350
32,3.899691702566,4,0.419751278948954,27584,350
33,2.98321202160767,4,0.560638747919917,27600,350
34,5.07195998492796,4,0.279993327642674,27584,350
35,3.59741037745409,4,0.463222253415266,27576,350
36,1.19821591654816,4,0.878392268044847,27568,350
37,8.25777387293848,4,0.0825791317788771,27584,350
38,0.80761851114123,4,0.937423788177935,27576,350
39,3.62921840215177,4,0.458504223188431,27576,350
40,2.79724354327972,4,0.592308620779007,27584,350
41,1.34494064188638,4,0.853705874808017,27576,350
42,0.923128890209697,4,0.921219405933931,27568,350
43,1.54386714713633,4,0.818843574753815,27576,350
44,2.97443351999937,4,0.562112966231169,27584,350
45,3.27674172715581,4,0.5126257490676,27584,350
46,1.23238414922337,4,0.872738540407741,27576,350
47,2.48796927536201,4,0.646791368693983,27592,350
48,2.15523792916019,4,0.707232045741856,27592,350
49,8.92108707225835,4,0.0631024803109541,27568,350
50,2.42440271527238,4,0.658221848670947,27568,350
51,2.03169953400933,4,0.72992832111996,27568,350
52,1.76242603307299,4,0.779349075573352,27608,350
53,5.09138065292345,4,0.278049130356134,27592,350
54,1.20654672030381,4,0.877019571260351,27584,350
55,4.00623449553793,4,0.405162760032128,27568,350
56,6.63978115837468,4,0.156193367175408,27568,350
57,5.782448128441,4,0.215994942349056,27568,350
58,6.54482372043332,4,0.161987945991323,27584,350
59,0.899648873141152,4,0.924611189329269,27568,350
60,7.16606111428274,4,0.127368593618975,27584,350
61,0.238360916450282,4,0.993437851064513,27568,350
62,4.67663620623574,4,0.32211360506501,27576,350
63,4.87483650009205,4,0.300382814592946,27576,350
64,2.40193960966266,4,0.662276775049157,27568,350
65,4.3374119057902,4,0.362263777600314,27592,350
66,1.5410321126445,4,0.819349132311307,27568,350
67,4.92848542467374,4,0.294714361734896,27576,350
68,1.31774928133909,4,0.858356988508126,27568,350
69,3.59769198602399,4,0.463180335995306,27584,350
70,1.25677705709823,4,0.86866508085051,27576,350
71,1.61141818025827,4,0.806738479916759,27568,350
72,1.64564484873036,4,0.800565967652707,27584,350
73,2.68787896751994,4,0.611337297810338,27576,350
74,1.77447143790712,4,0.777149497952752,27576,350
75,3.95233672930887,4,0.412494801735883,27568,350
76,1.15666944025611,4,0.885179877235382,27584,350
77,2.48530497171759,4,0.647269084631457,27568,350
78,4.5396880336764,4,0.33786741142827,27592,350
79,1.53604524317003,4,0.820237897057465,27576,350
80,2.50224835432251,4,0.644233235559424,27576,350
81,3.26980001973869,4,0.513731370559067,27584,350
82,2.06831568544423,4,0.723195316515894,27576,350
83,3.99213916641528,4,0.407070743189803,27576,350
84,3.75760757811072,4,0.439802756960647,27568,350
85,9.08681967883529,4,0.0589656602891931,27576,350
86,13.0852676983491,4,0.0108665891657963,27576,350
87,3.55853162916537,4,0.469034469625506,27568,350
88,5.74984885040256,4,0.21862479883959,27568,350
89,4.91864191501363,4,0.295747673453352,27568,350
90,3.96996402447314,4,0.410086038433424,27576,350
91,5.30728240611284,4,0.257195973249943,27584,350
92,3.67855205816693,4,0.451253086826989,27576,350
93,2.69868357667934,4,0.609444989363987,27568,350
94,4.45293644643574,4,0.348164533489467,27568,350
95,9.12875908718756,4,0.0579604697000027,27576,350
96,3.16841760806313,4,0.530047096606556,27576,350
97,1.80132931427427,4,0.772239138065042,27576,350
98,1.87214575244747,4,0.759259816904791,27568,350
99,2.52129660752956,4,0.640826408991173,27584,350
