"food_category","food_category_label","variable","threshold_quantile","n_nonmissing","n_positive","threshold"
"danlei","蛋类","cons_kg_month",0.995,3565,3565,32.6802714285711
"doulei","豆类","cons_kg_month",0.995,3565,3550,27.9031000411688
"nailei","奶类","cons_kg_month",0.995,3565,3175,38.5714285714285
"roulei","肉类和水产品及加工品","cons_kg_month",0.995,3565,3565,92.0780672268907
"shucai","蔬菜","cons_kg_month",0.995,3565,3564,190.899126077756
"shuiguo","水果","cons_kg_month",0.995,3565,3565,147.057142857141
"youzhi","油脂","cons_kg_month",0.995,3565,3549,107.163311688312
"zhushi","主食","cons_kg_month",0.995,3565,3565,1010.36173499379
"danlei","蛋类","selfprod_kg_month",0.995,3565,1605,17.1428571428571
"doulei","豆类","selfprod_kg_month",0.995,3565,836,15
"nailei","奶类","selfprod_kg_month",0.995,3565,4,NA
"roulei","肉类和水产品及加工品","selfprod_kg_month",0.995,3565,1243,32.1428571428572
"shucai","蔬菜","selfprod_kg_month",0.995,3565,3333,164.207142857142
"shuiguo","水果","selfprod_kg_month",0.995,3565,1097,75
"youzhi","油脂","selfprod_kg_month",0.995,3565,1391,44.7857142857125
"zhushi","主食","selfprod_kg_month",0.995,3565,3001,337.208857949899
"danlei","蛋类","purchase_qty_kg_month",0.995,2594,2594,24.0349999999999
"doulei","豆类","purchase_qty_kg_month",0.995,3184,3184,27.2550000000001
"nailei","奶类","purchase_qty_kg_month",0.995,2159,2159,31.4450000000002
"roulei","肉类和水产品及加工品","purchase_qty_kg_month",0.995,3399,3399,144.010499999999
"shucai","蔬菜","purchase_qty_kg_month",0.995,3143,3143,58.2634999999999
"shuiguo","水果","purchase_qty_kg_month",0.995,3339,3339,101.55
"youzhi","油脂","purchase_qty_kg_month",0.995,2545,2545,83.8800000000017
"zhushi","主食","purchase_qty_kg_month",0.995,3501,3501,502.875
